Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
40,2269.096,0.691,112.061,3s2(1S)3p,2P～,3月2日,4
40,2269.096,0.691,44168.847,3s2(1S)5d,2D,5月2日,6
50,2367.052,0.628,0,3s2(1S)3p,2P～,1月2日,2
50,2367.052,0.628,42233.742,3s2(1S)4d,2D,3月2日,4
500,3082.153,0.622,0,3s2(1S)3p,2P～,1月2日,2
500,3082.153,0.622,32435.453,3s2(1S)3d,2D,3月2日,4
800,3092.71,0.738,112.061,3s2(1S)3p,2P～,3月2日,4
800,3092.71,0.738,32436.796,3s2(1S)3d,2D,5月2日,6
500,3944.006,0.498,0,3s2(1S)3p,2P～,1月2日,2
500,3944.006,0.498,25347.756,3s2(1S)4s,2S,1月2日,2
1000,3961.52,0.982,112.061,3s2(1S)3p,2P～,3月2日,4
1000,3961.52,0.982,25347.756,3s2(1S)4s,2S,1月2日,2
