Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
800,1539.83,8.8,59852.02,3s3p,1P¡ã,1,3
800,1539.83,8.8,124794.13,3s4d,1D,2,5
1000,1670.7886,14.6,0,3s2,1S,0,1
1000,1670.7886,14.6,59852.02,3s3p,1P¡ã,1,3
800,1719.44,6.79,37393.03,3s3p,3P¡ã,0,1
800,1719.44,6.79,95551.44,3s3d,3D,1,3
900,1721.271,9.14,37453.91,3s3p,3P¡ã,1,3
900,1721.271,9.14,95550.51,3s3d,3D,2,5
900,1724.984,12.1,37577.79,3s3p,3P¡ã,2,5
900,1724.984,12.1,95549.42,3s3d,3D,3,7
700,1763.952,9.8,37577.79,3s3p,3P¡ã,2,5
700,1763.952,9.8,94268.68,3p2,3P,2,5
700,1858.026,2.48,37453.91,3s3p,3P¡ã,1,3
700,1858.026,2.48,91274.5,3s4s,3S,1,3
1000,1862.311,4.12,37577.79,3s3p,3P¡ã,2,5
1000,1862.311,4.12,91274.5,3s4s,3S,1,3
600,2816.185,3.83,59852.02,3s3p,1P¡ã,1,3
600,2816.185,3.83,95350.6,3s4s,1S,0,1
1000,4663.056,0.53,85481.35,3p2,1D,2,5
1000,4663.056,0.53,106920.56,3s4p,1P¡ã,1,3
400,6243.36,1.1,105470.93,3s4p,3P¡ã,2,5
400,6243.36,1.1,121483.5,3s4d,3D,3,7
