Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
700,3158.869,3.1,25191.51,4p,2P¡ã,1/2,2
700,3158.869,3.1,56839.25,4d,2D,3/2,4
800,3179.332,3.6,25414.4,4p,2P¡ã,3/2,4
800,3179.332,3.6,56858.46,4d,2D,5/2,6
700,3706.026,0.88,25191.51,4p,2P¡ã,1/2,2
700,3706.026,0.88,52166.93,5s,2S,1/2,2
800,3736.901,1.7,25414.4,4p,2P¡ã,3/2,4
800,3736.901,1.7,52166.93,5s,2S,1/2,2
1000,3933.6614,1.35,0,4s,2S,1/2,2
1000,3933.6614,1.35,25414.4,4p,2P¡ã,3/2,4
1000,3968.4673,1.32,0,4s,2S,1/2,2
1000,3968.4673,1.32,25191.51,4p,2P¡ã,1/2,2
