Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
1000,3578.682,1.48,0,3d5(6S)4s,a 7S,3,7
1000,3578.682,1.48,27935.26,3d4(5D)4s4p(3P¡ã),y 7P¡ã,4,9
800,3593.481,1.5,0,3d5(6S)4s,a 7S,3,7
800,3593.481,1.5,27820.23,3d4(5D)4s4p(3P¡ã),y 7P¡ã,3,7
600,3605.32,1.62,0,3d5(6S)4s,a 7S,3,7
600,3605.32,1.62,27728.87,3d4(5D)4s4p(3P¡ã),y 7P¡ã,2,5
1000,4254.331,0.315,0,3d5(6S)4s,a 7S,3,7
1000,4254.331,0.315,23498.84,3d5(6S)4p,z 7P¡ã,4,9
800,4274.806,0.307,0,3d5(6S)4s,a 7S,3,7
800,4274.806,0.307,23386.35,3d5(6S)4p,z 7P¡ã,3,7
500,4289.733,0.316,0,3d5(6S)4s,a 7S,3,7
500,4289.733,0.316,23305.01,3d5(6S)4p,z 7P¡ã,2,5
250,5204.505,0.509,7593.16,3d5(6S)4s,a 5S,2,5
250,5204.505,0.509,26801.93,3d5(6S)4p,z 5P¡ã,1,3
400,5206.021,0.514,7593.16,3d5(6S)4s,a 5S,2,5
400,5206.021,0.514,26796.28,3d5(6S)4p,z 5P¡ã,2,5
600,5208.415,0.506,7593.16,3d5(6S)4s,a 5S,2,5
600,5208.415,0.506,26787.5,3d5(6S)4p,z 5P¡ã,3,7
