Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
1000,2055.59,1.22,0,3d5,a 6S,5月2日,6
1000,2055.59,1.22,48632.12,3d4(5D)4p,z 6P～,7月2日,8
700,2061.54,1.19,0,3d5,a 6S,5月2日,6
700,2061.54,1.19,48491.1,3d4(5D)4p,z 6P～,5月2日,6
500,2065.46,1.2,0,3d5,a 6S,5月2日,6
500,2065.46,1.2,48398.95,3d4(5D)4p,z 6P～,3月2日,4
130,2835.63,2,12496.44,3d4(5D)4s,a 6D,9月2日,10
130,2835.63,2,47751.62,3d4(5D)4p,z 6F～,11月2日,12
90,2843.24,0.64,12303.86,3d4(5D)4s,a 6D,7月2日,8
90,2843.24,0.64,47464.55,3d4(5D)4p,z 6F～,9月2日,10
60,2849.83,0.92,12147.82,3d4(5D)4s,a 6D,5月2日,6
60,2849.83,0.92,47227.24,3d4(5D)4p,z 6F～,7月2日,8
40,2862.57,0.63,12303.86,3d4(5D)4s,a 6D,7月2日,8
40,2862.57,0.63,47227.24,3d4(5D)4p,z 6F～,7月2日,8
