Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
200,1358.773,3.17,0,3d10,1S,0,1
200,1358.773,3.17,73595.813,3d94p,1P¡ã,1,3
150,1367.951,2.13,0,3d10,1S,0,1
150,1367.951,2.13,73102.038,3d94p,3D¡ã,1,3
150,1999.698,2.21,21928.754,3d94s,3D,3,7
150,1999.698,2.21,71920.102,3d94p,3D¡ã,3,7
150,2037.127,1.41,22847.131,3d94s,3D,2,5
150,2037.127,1.41,71920.102,3d94p,3D¡ã,3,7
600,2135.981,3.33,21928.754,3d94s,3D,3,7
600,2135.981,3.33,68730.893,3d94p,3F¡ã,4,9
600,2192.268,2.54,22847.131,3d94s,3D,2,5
600,2192.268,2.54,68447.741,3d94p,3F¡ã,3,7
700,2247.002,3.27,21928.754,3d94s,3D,3,7
700,2247.002,3.27,66418.687,3d94p,3P¡ã,2,5
