Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,
,,(108s-1),Levels (cm -1 ),,,,,
400,2343.4951,1.73,0,3d6(5D)4s,a 6D,9月2日,10,
400,2343.4951,1.73,42658.224,3d6(5D)4p,z 6P～,7月2日,8,
1000,2382.0376,3.13,0,3d6(5D)4s,a 6D,9月2日,10,
1000,2382.0376,3.13,41968.046,3d6(5D)4p,z 6F～,11月2日,12,
700,2395.6254,2.67,384.79,3d6(5D)4s,a 6D,7月2日,8,
700,2395.6254,2.67,42114.818,3d6(5D)4p,z 6F～,9月2日,10,
500,2404.8858,2.05,667.683,3d6(5D)4s,a 6D,5月2日,6,
500,2404.8858,2.05,42237.033,3d6(5D)4p,z 6F～,7月2日,8,
300,2493.2637,3.4,21251.608,3d6(3H)4s,a 4H,2月13日,14,
300,2493.2637,3.4,61347.614,3d6(3H)4p,z 4I～,2月15日,16,
300,2585.8758,0.861,0,3d6(5D)4s,a 6D,9月2日,10,
300,2585.8758,0.861,38660.043,3d6(5D)4p,z 6D～,7月2日,8,
400,2598.3692,1.42,384.79,3d6(5D)4s,a 6D,7月2日,8,
400,2598.3692,1.42,38858.958,3d6(5D)4p,z 6D～,5月2日,6,
800,2599.3956,2.36,0,3d6(5D)4s,a 6D,9月2日,10,
800,2599.3956,2.36,38458.981,3d6(5D)4p,z 6D～,9月2日,10,
300,2607.0871,1.74,667.683,3d6(5D)4s,a 6D,5月2日,6,N
300,2607.0871,1.74,39013.206,3d6(5D)4p,z 6D～,3月2日,4,N
400,2611.8736,1.23,384.79,3d6(5D)4s,a 6D,7月2日,8,
400,2611.8736,1.23,38660.043,3d6(5D)4p,z 6D～,7月2日,8,
400,2739.5474,1.9,7955.299,3d6(5D)4s,a 4D,7月2日,8,
400,2739.5474,1.9,44446.878,3d6(5D)4p,z 4D～,7月2日,8,
400,2749.3216,2.1,8391.938,3d6(5D)4s,a 4D,5月2日,6,N
400,2749.3216,2.1,44753.799,3d6(5D)4p,z 4F～,7月2日,8,N
500,2755.7365,2.1,7955.299,3d6(5D)4s,a 4D,7月2日,8,
500,2755.7365,2.1,44232.512,3d6(5D)4p,z 4F～,9月2日,10,
