Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1000,7664.8991,0.379,0,4s,2S,1月2日,2
1000,7664.8991,0.379,13042.876,4p,2P～,3月2日,4
1000,7698.9645,0.374,0,4s,2S,1月2日,2
1000,7698.9645,0.374,12985.17,4p,2P～,1月2日,2
700,11690.21,0.22,12985.17,4p,2P～,1月2日,2
700,11690.21,0.22,21536.988,3d,2D,3月2日,4
600,11769.62,0.0434,13042.876,4p,2P～,3月2日,4
600,11769.62,0.0434,21536.988,3d,2D,3月2日,4
700,11772.83,0.259,13042.876,4p,2P～,3月2日,4
700,11772.83,0.259,21534.68,3d,2D,5月2日,6
12,5112.25,0.00422,13042.9,,,,4
12,5112.25,0.00422,32598.29,,,,6
13,5339.69,0.01311,13042.9,,,,4
13,5339.69,0.01311,31765.38,,,,2
14,5359.58,0.00486,13042.9,,,,4
14,5359.58,0.00486,31695.9,,,,6
17,5801.77,0.02348,13042.9,,,,4
17,5801.77,0.02348,30274.25,,,,2
