Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,, 
15,4602.831,0.1935,14903.622,2p,2P～,1月2日,2
15,4602.831,0.1935,36623.297,4d,2D,3月2日,4
30,4602.898,0.2322,14903.957,2p,2P～,3月2日,4
30,4602.898,0.2322,36623.312,4d,2D,5月2日,6
300,6103.542,0.5713,14903.622,2p,2P～,1月2日,2
300,6103.542,0.5713,31283.018,3d,2D,3月2日,4
400,6103.654,0.6856,14903.957,2p,2P～,3月2日,4
400,6103.654,0.6856,31283.053,3d,2D,5月2日,6
500,6707.775,0.369,0,2s,2S,1月2日,2
500,6707.775,0.369,14903.957,2p,2P～,3月2日,4
1000,6707.926,0.369,0,2s,2S,1月2日,2
1000,6707.926,0.369,14903.622,2p,2P～,1月2日,2
150,8126.232,0.1115,14903.622,2p,2P～,1月2日,2
150,8126.232,0.1115,27206.066,3s,2S,1月2日,2
300,8126.453,0.223,14903.957,2p,2P～,3月2日,4
300,8126.453,0.223,27206.066,3s,2S,1月2日,2
10,26877.67,0.038,27206.066,3s,2S,1月2日,2
10,26877.67,0.038,30925.613,3p,2P～,3月2日,4
5,26878.36,0.038,27206.066,3s,2S,1月2日,2
5,26878.36,0.038,30925.517,3p,2P～,1月2日,2
