Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
300,178.014,77.9,0,1s2,1S,0,1
300,178.014,77.9,561751.5,1s3p,1P¡ã,1,3
1000,199.28,256,0,1s2,1S,0,1
1000,199.28,256,501807.59,1s2p,1P¡ã,1,3
300,5483.56,0.228,476034.24,1s2s,3S,1,3
300,5483.56,0.228,494265.57,1s2p,3P¡ã,0,1
500,5484.5,0.228,476034.24,1s2s,3S,1,3
500,5484.5,0.228,494262.48,1s2p,3P¡ã,2,5
400,5485.11,0.228,476034.24,1s2s,3S,1,3
400,5485.11,0.228,494260.32,1s2p,3P¡ã,1,3
100,9581.42,0.0518,491373.58,1s2s,1S,0,1
100,9581.42,0.0518,501807.59,1s2p,1P¡ã,1,3
