Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,
,,(108s-1),Levels (cm -1 ),,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
15,2779.834,3.92,21911.178,3s3p,3P¡«,2,5,
15,2779.834,3.92,57873.94,3p2,3P,2,5,
1000,2852.1251,5,0,3s2,1S,0,1,
1000,2852.1251,5,35051.264,3s3p,1P¡«,1,3,
25,3829.355,0.94,21850.405,3s3p,3P¡«,0,1,
25,3829.355,0.94,47957.058,3s3d,3D,1,3,
50,3832.3,1.27,21870.464,3s3p,3P¡«,1,3,
50,3832.3,1.27,47957.027,3s3d,3D,2,5,
80,3838.292,1.68,21911.178,3s3p,3P¡«,2,5,N
80,3838.292,1.68,47957.045,3s3d,3D,3,7,N
12,5167.322,0.116,21850.405,3s3p,3P¡«,0,1,
12,5167.322,0.116,41197.403,3s4s,3S,1,3,
40,5172.684,0.346,21870.464,3s3p,3P¡«,1,3,
40,5172.684,0.346,41197.403,3s4s,3S,1,3,
70,5183.604,0.575,21911.178,3s3p,3P¡«,2,5,
70,5183.604,0.575,41197.403,3s4s,3S,1,3,
8,11828.17,0.26,35051.264,3s3p,1P¡«,1,3,
8,11828.17,0.26,43503.333,3s4s,1S,0,1,
6,15025,0.139,41197.403,3s4s,3S,1,3,
6,15025,0.139,47851.162,3s4p,3P¡«,2,5,
