Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,
,,(108s-1),Levels (cm -1 ),,,,,
14,1025.9681,0.032,0,3s,2S,1月2日,2,N
14,1025.9681,0.032,97468.92,5p,2P～,3月2日,4,N
12,1026.1134,0.032,0,3s,2S,1月2日,2,N
12,1026.1134,0.032,97455.12,5p,2P～,1月2日,2,N
25,1239.9253,0.014,0,3s,2S,1月2日,2,N
25,1239.9253,0.014,80650.02,4p,2P～,3月2日,4,N
20,1240.3946,0.015,0,3s,2S,1月2日,2,N
20,1240.3946,0.015,80619.5,4p,2P～,1月2日,2,N
13,2790.7767,4,35669.31,3p,2P～,1月2日,2,N
13,2790.7767,4,71491.06,3d,2D,3月2日,4,N
1000,2795.5301,2.6,0,3s,2S,1月2日,2,N
1000,2795.5301,2.6,35760.88,3p,2P～,3月2日,4,N
15,2797.998,4.8,35760.88,3p,2P～,3月2日,4,N
15,2797.998,4.8,71490.19,3d,2D,5月2日,6,N
600,2802.7056,2.6,0,3s,2S,1月2日,2,N
600,2802.7056,2.6,35669.31,3p,2P～,1月2日,2,N
14,4481.126,2.23,71490.19,3d,2D,5月2日,6,N
14,4481.126,2.23,93799.75,4f,2F～,7月2日,8,N
13,4481.325,2.08,71491.06,3d,2D,3月2日,4,N
13,4481.325,2.08,93799.63,4f,2F～,5月2日,6,N
