Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
,,,,,,,
,,,,,,,
250,2794.817,3.7,0,3d54s2,a 6S,5月2日,6
250,2794.817,3.7,35769.97,3d5(6S)4s4p(1P～),y 6P～,7月2日,8
200,2798.27,3.6,0,3d54s2,a 6S,5月2日,6
200,2798.27,3.6,35725.85,3d5(6S)4s4p(1P～),y 6P～,5月2日,6
140,2801.084,3.7,0,3d54s2,a 6S,5月2日,6
140,2801.084,3.7,35689.98,3d5(6S)4s4p(1P～),y 6P～,3月2日,4
120,3806.715,0.59,17052.29,3d6(5D)4s,a 6D,9月2日,10
120,3806.715,0.59,43314.23,3d6(5D)4p,z 6F～,11月2日,12
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
200,4041.357,0.787,17052.29,3d6(5D)4s,a 6D,9月2日,10
200,4041.357,0.787,41789.48,3d6(5D)4p,z 6D～,9月2日,10
