Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
1000,2576.103,2.8,0,3d5(6S)4s,a 7S,3,7
1000,2576.103,2.8,38806.67,3d5(6S)4p,z 7P¡ã,4,9
500,2593.72,2.76,0,3d5(6S)4s,a 7S,3,7
500,2593.72,2.76,38543.08,3d5(6S)4p,z 7P¡ã,3,7
400,2605.68,2.69,0,3d5(6S)4s,a 7S,3,7
400,2605.68,2.69,38366.18,3d5(6S)4p,z 7P¡ã,2,5
90,2933.054,2.04,9472.97,3d5(6S)4s,a 5S,2,5
90,2933.054,2.04,43557.14,3d5(6S)4p,z 5P¡ã,1,3
120,2939.308,1.98,9472.97,3d5(6S)4s,a 5S,2,5
120,2939.308,1.98,43484.64,3d5(6S)4p,z 5P¡ã,2,5
150,2949.205,1.96,9472.97,3d5(6S)4s,a 5S,2,5
150,2949.205,1.96,43370.51,3d5(6S)4p,z 5P¡ã,3,7
60,3441.985,0.362,14325.86,3d6,a 5D,4,9
60,3441.985,0.362,43370.51,3d5(6S)4p,z 5P¡ã,3,7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
