Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
500,3132.594,1.79,0,4d5(6S)5s,a 7S,3,7
500,3132.594,1.79,31913.171,4d45s(6D)5p,y 7P¡«,4,9
200,3158.167,0.463,0,4d5(6S)5s,a 7S,3,7
200,3158.167,0.463,31654.786,4d45s(6D)5p,z 7D¡«,3,7
300,3170.344,1.37,0,4d5(6S)5s,a 7S,3,7
300,3170.344,1.37,31533.206,4d45s(6D)5p,y 7P¡«,3,7
250,3193.979,1.53,0,4d5(6S)5s,a 7S,3,7
250,3193.979,1.53,31299.876,4d45s(6D)5p,y 7P¡«,2,5
100,3208.838,0.277,0,4d5(6S)5s,a 7S,3,7
100,3208.838,0.277,31154.935,4d45s(6D)5p,z 7D¡«,2,5
110,3447.124,0.88,12346.28,4d45s2,a 5D,4,9
110,3447.124,0.88,41347.664,4d5(4G)5p,y 5F¡«,5,11
1000,3798.252,0.69,0,4d5(6S)5s,a 7S,3,7
1000,3798.252,0.69,26320.42,4d5(6S)5p,z 7P¡«,4,9
1000,3864.104,0.624,0,4d5(6S)5s,a 7S,3,7
1000,3864.104,0.624,25871.887,4d5(6S)5p,z 7P¡«,3,7
700,3902.953,0.617,0,4d5(6S)5s,a 7S,3,7
700,3902.953,0.617,25614.367,4d5(6S)5p,z 7P¡«,2,5
80,4069.882,0.325,16783.856,4d5(4G)5s,a 5G,6,13
80,4069.882,0.325,41347.664,4d5(4G)5p,y 5F¡«,5,11
90,4188.324,0.332,16784.522,4d5(4G)5s,a 5G,5,11
90,4188.324,0.332,40653.701,4d5(4G)5p,z 5H¡«,6,13
90,4411.695,0.263,16784.522,4d5(4G)5s,a 5G,5,11
90,4411.695,0.263,39445.182,4d5(4G)5p,z 5G¡«,5,11
250,5506.494,0.361,10768.332,4d5(6S)5s,a 5S,2,5
250,5506.494,0.361,28923.668,4d5(6S)5p,z 5P¡«,3,7
200,5533.031,0.372,10768.332,4d5(6S)5s,a 5S,2,5
200,5533.031,0.372,28836.592,4d5(6S)5p,z 5P¡«,2,5
90,5570.444,0.33,10768.332,4d5(6S)5s,a 5S,2,5
90,5570.444,0.33,28715.242,4d5(6S)5p,z 5P¡«,1,3
