Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
500,2015.109,0.88,0,4d5,a 6S,5/2,6
500,2015.109,0.88,49608.74,4d4(5D)5p,z 6P¡ã,5/2,6
1000,2020.314,2.15,0,4d5,a 6S,5/2,6
1000,2020.314,2.15,49481.04,4d4(5D)5p,z 6P¡ã,7/2,8
500,2038.452,1.84,0,4d5,a 6S,5/2,6
500,2038.452,1.84,49040.82,4d4(5D)5p,z 6P¡ã,3/2,4
400,2045.973,1.18,0,4d5,a 6S,5/2,6
400,2045.973,1.18,48860.57,4d4(5D)5p,z 4P¡ã,5/2,6
120,2081.681,0.2,0,4d5,a 6S,5/2,6
120,2081.681,0.2,48022.45,4d4(5D)5p,z 4P¡ã,3/2,4
130,2775.402,2.26,13460.7,4d4(5D)5s,a 6D,9/2,10
130,2775.402,2.26,49481.04,4d4(5D)5p,z 6P¡ã,7/2,8
130,2816.158,2.33,13460.7,4d4(5D)5s,a 6D,9/2,10
130,2816.158,2.33,48959.68,4d4(5D)5p,z 6F¡ã,11/2,12
130,2848.233,1.66,12900.33,4d4(5D)5s,a 6D,7/2,8
130,2848.233,1.66,47999.47,4d4(5D)5p,z 6F¡ã,9/2,10
130,2871.512,1.15,12417.28,4d4(5D)5s,a 6D,5/2,6
130,2871.512,1.15,47231.98,4d4(5D)5p,z 6F¡ã,7/2,8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
