Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9,5688.2,0.121,16973.37,,,,4
9,5688.2,0.121,34548.73,,,,6
1000,5889.95,0.616,0,3s,2S,1月2日,2
1000,5889.95,0.616,16973.368,3p,2P～,3月2日,4
500,5895.924,0.614,0,3s,2S,1月2日,2
500,5895.924,0.614,16956.172,3p,2P～,1月2日,2
60,8183.256,0.453,16956.172,3p,2P～,1月2日,2
60,8183.256,0.453,29172.889,3d,2D,3月2日,4
110,8194.824,0.54,16973.368,3p,2P～,3月2日,4
110,8194.824,0.54,29172.839,3d,2D,5月2日,6
5,11381.45,0.09,16956.172,3p,2P～,1月2日,2
5,11381.45,0.09,25739.991,4s,2S,1月2日,2
12,11403.78,0.176,16973.368,3p,2P～,3月2日,4
12,11403.78,0.176,25739.991,4s,2S,1月2日,2
5,18465.25,0.14,29172.839,3d,2D,5月2日,6
5,18465.25,0.14,34586.92,4f,2F～,7月2日,8
