Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
300,2320.034,6.94,0,3d8(3F)4s2,3F,4,9
300,2320.034,6.94,43089.578,3d8(3F)4s4p(1P¡«),3G¡«,5,11
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
500,3012.001,1.3,3409.937,3d9(2D)4s,1D,2,5
500,3012.001,1.3,36600.791,3d8(3F)4s4p(3P¡«),1D¡«,2,5
400,3050.816,0.604,204.787,3d9(2D)4s,3D,3,7
400,3050.816,0.604,32973.376,3d8(3F)4s4p(3P¡«),3F¡«,4,9
,,,,,,,
,,,,,,,
400,3134.104,0.73,1713.087,3d9(2D)4s,3D,1,3
400,3134.104,0.73,33610.89,3d8(3F)4s4p(3P¡«),3D¡«,2,5
1000,3414.764,0.55,204.787,3d9(2D)4s,3D,3,7
1000,3414.764,0.55,29480.989,3d9(2D)4p,3F¡«,4,9
600,3446.259,0.44,879.816,3d9(2D)4s,3D,2,5
600,3446.259,0.44,29888.477,3d9(2D)4p,3D¡«,2,5
600,3458.46,0.61,1713.087,3d9(2D)4s,3D,1,3
600,3458.46,0.61,30619.414,3d9(2D)4p,3F¡«,2,5
600,3461.652,0.278,204.787,3d9(2D)4s,3D,3,7
600,3461.652,0.278,29084.456,3d8(3F)4s4p(3P¡«),5F¡«,4,9
700,3492.956,0.98,879.816,3d9(2D)4s,3D,2,5
700,3492.956,0.98,29500.674,3d9(2D)4p,3P¡«,1,3
800,3515.052,0.42,879.816,3d9(2D)4s,3D,2,5
800,3515.052,0.42,29320.762,3d9(2D)4p,3F¡«,3,7
1000,3524.536,1,204.787,3d9(2D)4s,3D,3,7
1000,3524.536,1,28569.203,3d9(2D)4p,3P¡«,2,5
