Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,G
,,(108s-1),Levels (cm -1 ),,,,
300,1190.416,6.86,0,3s2(1S)3p,2P～,1月2日,2
300,1190.416,6.86,84004.26,3s3p2,2P,3月2日,4
700,1193.2898,27.3,0,3s2(1S)3p,2P～,1月2日,2
700,1193.2898,27.3,83801.95,3s3p2,2P,1月2日,2
800,1194.5004,34,287.24,3s2(1S)3p,2P～,3月2日,4
800,1194.5004,34,84004.26,3s3p2,2P,3月2日,4
500,1260.4223,24.7,0,3s2(1S)3p,2P～,1月2日,2
500,1260.4223,24.7,79338.5,3s2(1S)3d,2D,3月2日,4
1000,1264.7379,29.3,287.24,3s2(1S)3p,2P～,3月2日,4
1000,1264.7379,29.3,79355.02,3s2(1S)3d,2D,5月2日,6
300,1533.4318,7.5,287.24,3s2(1S)3p,2P～,3月2日,4
300,1533.4318,7.5,65500.47,3s2(1S)4s,2S,1月2日,2
130,5041.026,0.98,81191.34,3s2(1S)4p,2P～,1月2日,2
130,5041.026,0.98,101023.05,3s2(1S)4d,2D,3月2日,4
130,5055.981,1.26,81251.32,3s2(1S)4p,2P～,3月2日,4
130,5055.981,1.26,101024.35,3s2(1S)4d,2D,5月2日,6
130,5669.562,0.5,114529.14,3s3p(3P～)3d,4F～,9月2日,10
130,5669.562,0.5,132162.29,3s3p(3P～)4p,4D,7月2日,8
130,6347.103,0.66,65500.47,3s2(1S)4s,2S,1月2日,2
130,6347.103,0.66,81251.32,3s2(1S)4p,2P～,3月2日,4
100,6371.359,0.77,65500.47,3s2(1S)4s,2S,1月2日,2
100,6371.359,0.77,81191.34,3s2(1S)4p,2P～,1月2日,2
