Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
600,3635.462,0.909,0,3d24s2,a 3F,2,5
600,3635.462,0.909,27498.983,3d2(3F)4s4p(1P¡«),y 3G¡«,3,7
800,3642.674,0.895,170.134,3d24s2,a 3F,3,7
800,3642.674,0.895,27614.678,3d2(3F)4s4p(1P¡«),y 3G¡«,4,9
900,3653.495,0.869,386.875,3d24s2,a 3F,4,9
900,3653.495,0.869,27750.136,3d2(3F)4s4p(1P¡«),y 3G¡«,5,11
700,3752.858,0.581,386.875,3d24s2,a 3F,4,9
700,3752.858,0.581,27025.658,3d2(1D)4s4p(3P¡«),x 3F¡«,4,9
600,3948.67,0.56,0,3d24s2,a 3F,2,5
600,3948.67,0.56,25317.815,3d3(4F)4p,y 3D¡«,1,3
600,3956.334,0.346,170.134,3d24s2,a 3F,3,7
600,3956.334,0.346,25438.906,3d3(4F)4p,y 3D¡«,2,5
700,3958.201,0.488,386.875,3d24s2,a 3F,4,9
700,3958.201,0.488,25643.699,3d3(4F)4p,y 3D¡«,3,7
600,3981.761,0.442,0,3d24s2,a 3F,2,5
600,3981.761,0.442,25107.41,3d2(3F)4s4p(1P¡«),y 3F¡«,2,5
700,3989.758,0.448,170.134,3d24s2,a 3F,3,7
700,3989.758,0.448,25227.22,3d2(3F)4s4p(1P¡«),y 3F¡«,3,7
1000,3998.636,0.481,386.875,3d24s2,a 3F,4,9
1000,3998.636,0.481,25388.331,3d2(3F)4s4p(1P¡«),y 3F¡«,4,9
700,4981.73,0.66,6842.965,3d3(4F)4s,a 5F,5,11
700,4981.73,0.66,26910.712,3d3(4F)4p,y 5G¡«,6,13
600,4991.066,0.584,6742.755,3d3(4F)4s,a 5F,4,9
600,4991.066,0.584,26772.969,3d3(4F)4p,y 5G¡«,5,11
400,5007.206,0.492,6598.764,3d3(4F)4s,a 5F,2,5
400,5007.206,0.492,26564.398,3d3(4F)4p,y 5G¡«,3,7
,,,,,,,
,,,,,,,
200,5064.651,0.0437,386.875,3d24s2,a 3F,4,9
200,5064.651,0.0437,20126.06,3d2(3F)4s4p(3P¡«),z 3D¡«,3,7
200,5210.384,0.0389,386.875,3d24s2,a 3F,4,9
200,5210.384,0.0389,19573.973,3d2(3F)4s4p(3P¡«),z 3F¡«,4,9
