Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,
,,(108s-1),Levels (cm -1 ),,,,,
200,2525.6,0.406,1215.8329,,,,10,
200,2525.6,0.406,40798.43333,,,,8,
100,2555.986,0.32,4628.6571,,,,6,N
100,2555.986,0.32,43740.7678,,,,8,N
50,2571.03,0.126,4897.7179,,,,8,
50,2571.03,0.126,43780.9533,,,,10,
200,3078.651,1.34,225.73,3d2(3F)4s,a 4F,7月2日,8,
200,3078.651,1.34,32697.99,3d2(3F)4p,z 4D～,5月2日,6,
300,3088.042,1.5,393.44,3d2(3F)4s,a 4F,9月2日,10,
300,3088.042,1.5,32767.07,3d2(3F)4p,z 4D～,7月2日,8,
130,3162.56,0.465,1087.36,,,,8,
130,3162.56,0.465,32698.1,,,,6,
,,,,,,,,
,,,,,,,,
300,3239.038,1.26,94.1,3d2(3F)4s,a 4F,5月2日,6,
300,3239.038,1.26,30958.5,3d2(3F)4p,z 4F～,5月2日,6,
400,3349.029,1.61,4897.65,3d2(3F)4s,a 2F,7月2日,8,
400,3349.029,1.61,34748.4,3d2(3F)4p,z 2G～,9月2日,10,
,,,,,,,,
,,,,,,,,
600,3361.227,1.58,225.73,3d2(3F)4s,a 4F,7月2日,8,
600,3361.227,1.58,29968.3,3d2(3F)4p,z 4G～,9月2日,10,
500,3372.798,1.41,94.1,3d2(3F)4s,a 4F,5月2日,6,
500,3372.798,1.41,29734.54,3d2(3F)4p,z 4G～,7月2日,8,
500,3383.769,1.39,0,3d2(3F)4s,a 4F,3月2日,4,
500,3383.769,1.39,29544.37,3d2(3F)4p,z 4G～,5月2日,6,
100,3761.32,1.2,4628.66,,,,6,
100,3761.32,1.2,31207.51,,,,6,
50,4300.04,0.163,9518.15,,,,6,
50,4300.04,0.163,32767.2,,,,8,
