Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
1000,2138.5735,7.14,0,4s2,1S,0,1
1000,2138.5735,7.14,46745.404,4s4p,1P¡ã,1,3
60,3075.8971,0.000375,0,4s2,1S,0,1
60,3075.8971,0.000375,32501.399,4s4p,3P¡ã,1,3
50,3282.3256,0.9,32311.319,4s4p,3P¡ã,0,1
50,3282.3256,0.9,62768.747,4s4d,3D,1,3
200,3302.5829,1.2,32501.399,4s4p,3P¡ã,1,3
200,3302.5829,1.2,62772.014,4s4d,3D,2,5
70,3302.9395,0.67,32501.399,4s4p,3P¡ã,1,3
70,3302.9395,0.67,62768.747,4s4d,3D,1,3
400,3345.0134,1.7,32890.327,4s4p,3P¡ã,2,5
400,3345.0134,1.7,62776.981,4s4d,3D,3,7
80,3345.5694,0.4,32890.327,4s4p,3P¡ã,2,5
80,3345.5694,0.4,62772.014,4s4d,3D,2,5
15,3345.9353,0.045,32890.327,4s4p,3P¡ã,2,5
15,3345.9353,0.045,62768.747,4s4d,3D,1,3
30,6362.3458,0.474,46745.404,4s4p,1P¡ã,1,3
30,6362.3458,0.474,62458.533,4s4d,1D,2,5
