Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
1000,2025.4845,4.07,0,3d104s,2S,1/2,2
1000,2025.4845,4.07,49355.003,3d104p,2P¡ã,3/2,4
1000,2062.0011,3.86,0,3d104s,2S,1/2,2
1000,2062.0011,3.86,48481.077,3d104p,2P¡ã,1/2,2
400,2064.2266,4.6,48481.077,3d104p,2P¡ã,1/2,2
400,2064.2266,4.6,96909.893,3d104d,2D,3/2,4
1000,2099.9273,5.6,49355.003,3d104p,2P¡ã,3/2,4
1000,2099.9273,5.6,96960.588,3d104d,2D,5/2,6
80,4911.6269,1.6,96909.893,3d104d,2D,3/2,4
80,4911.6269,1.6,117264.063,3d104f,2F¡ã,5/2,6
