Wavelength (nm),Sum(calc),Al I (1.3e-1),Al II (8.7e-1),Al III (2.5e-5)
200.98,4.510e-17,,4.510e-17,
201,5.298e-16,,5.298e-16,
201.03,1.803e-14,,1.803e-14,
201.05,1.716e-13,,1.716e-13,
201.07,1.511e-12,,1.511e-12,
201.1,3.408e-11,,3.408e-11,
201.12,2.467e-10,,2.467e-10,
201.15,4.150e-9,,4.150e-9,
201.17,2.471e-8,,2.471e-8,
201.2,3.100e-7,,3.100e-7,
201.22,1.518e-6,,1.518e-6,
201.25,1.421e-5,,1.421e-5,
201.27,5.728e-5,,5.728e-5,
201.3,4.003e-4,,4.003e-4,
201.32,1.328e-3,,1.328e-3,
201.35,6.930e-3,,6.930e-3,
201.37,1.892e-2,,1.892e-2,
201.4,7.379e-2,,7.379e-2,
201.42,1.659e-1,,1.659e-1,
201.45,4.838e-1,,4.838e-1,
201.47,8.964e-1,,8.964e-1,
201.49,1.537e+0,,1.537e+0,
201.52,2.986e+0,,2.986e+0,
201.54,4.221e+0,,4.221e+0,
201.57,6.140e+0,,6.140e+0,
201.59,7.160e+0,,7.160e+0,
201.62,7.805e+0,,7.805e+0,
201.64,7.510e+0,,7.510e+0,
201.67,6.139e+0,,6.139e+0,
201.69,4.877e+0,,4.877e+0,
201.72,2.991e+0,,2.991e+0,
201.74,1.963e+0,,1.963e+0,
201.77,9.038e-1,,9.038e-1,
201.79,4.899e-1,,4.899e-1,
201.82,1.694e-1,,1.694e-1,
201.84,7.587e-2,,7.587e-2,
201.87,1.973e-2,,1.973e-2,
201.89,7.383e-3,,7.383e-3,
201.92,1.964e-3,,1.964e-3,
201.94,2.054e-3,,2.054e-3,
201.96,4.601e-3,,4.601e-3,
201.99,1.780e-2,,1.780e-2,
202.01,4.046e-2,,4.046e-2,
202.04,1.198e-1,,1.198e-1,
202.06,2.241e-1,,2.241e-1,
202.09,4.951e-1,,4.951e-1,
202.11,7.614e-1,,7.614e-1,
202.14,1.254e+0,,1.254e+0,
202.16,1.586e+0,,1.586e+0,
202.19,1.948e+0,,1.948e+0,
202.21,2.025e+0,,2.025e+0,
202.24,1.855e+0,,1.855e+0,
202.26,1.586e+0,,1.586e+0,
202.29,1.083e+0,,1.083e+0,
202.31,7.614e-1,,7.614e-1,
202.34,3.877e-1,,3.877e-1,
202.36,2.241e-1,,2.241e-1,
202.38,1.198e-1,,1.198e-1,
202.41,4.046e-2,,4.046e-2,
202.43,1.779e-2,,1.779e-2,
202.46,4.478e-3,,4.478e-3,
202.48,1.619e-3,,1.619e-3,
202.51,3.039e-4,,3.039e-4,
202.53,9.034e-5,,9.034e-5,
202.56,1.265e-5,,1.265e-5,
202.58,3.091e-6,,3.091e-6,
202.61,3.226e-7,,3.226e-7,
202.63,6.485e-8,,6.485e-8,
202.66,5.047e-9,,5.047e-9,
202.68,8.342e-10,,8.342e-10,
202.71,4.841e-11,,4.841e-11,
202.73,6.580e-12,,6.580e-12,
202.76,2.847e-13,,2.847e-13,
202.78,3.182e-14,,3.182e-14,
202.81,1.027e-15,,1.027e-15,
202.83,9.437e-17,,9.437e-17,
206.71,9.597e-27,,4.942e-17,9.597e-27
206.74,4.908e-17,,4.908e-17,3.354e-25
206.76,5.507e-16,,5.507e-16,3.268e-24
206.78,5.736e-15,,5.736e-15,2.957e-23
206.81,1.677e-13,,1.677e-13,6.999e-22
206.83,1.450e-12,,1.450e-12,5.260e-21
206.86,3.209e-11,,3.209e-11,9.428e-20
206.88,2.304e-10,,2.304e-10,5.885e-19
206.91,3.856e-9,,3.856e-9,7.988e-18
206.93,2.299e-8,,2.299e-8,4.142e-17
206.96,2.911e-7,,2.911e-7,4.257e-16
206.98,1.441e-6,,1.441e-6,1.834e-15
207.01,1.381e-5,,1.381e-5,1.427e-14
207.03,5.675e-5,,5.675e-5,5.108e-14
207.06,4.113e-4,,4.113e-4,3.010e-13
207.08,1.404e-3,,1.404e-3,8.950e-13
207.11,7.696e-3,,7.696e-3,3.994e-12
207.13,2.181e-2,,2.181e-2,9.867e-12
207.16,9.047e-2,,9.047e-2,3.335e-11
207.18,2.128e-1,,2.128e-1,6.845e-11
207.21,6.680e-1,,6.680e-1,1.752e-10
207.23,1.305e+0,,1.305e+0,2.988e-10
207.25,2.366e+0,,2.366e+0,4.732e-10
207.28,5.025e+0,,5.025e+0,8.209e-10
207.3,7.565e+0,,7.565e+0,1.080e-9
207.33,1.216e+1,,1.216e+1,1.419e-9
207.35,1.520e+1,,1.520e+1,1.552e-9
207.38,1.847e+1,,1.847e+1,1.544e-9
207.4,1.917e+1,,1.917e+1,1.403e-9
207.43,1.763e+1,,1.763e+1,1.058e-9
207.45,1.520e+1,,1.520e+1,7.984e-10
207.48,1.057e+1,,1.057e+1,4.558e-10
207.5,7.565e+0,,7.565e+0,2.860e-10
207.53,3.983e+0,,3.983e+0,1.237e-10
207.55,2.366e+0,,2.366e+0,6.447e-11
207.58,9.423e-1,,9.423e-1,2.112e-11
207.6,4.648e-1,,4.648e-1,9.148e-12
207.63,1.401e-1,,1.401e-1,2.270e-12
207.65,5.736e-2,,5.736e-2,8.171e-13
207.67,2.181e-2,,2.181e-2,2.731e-13
207.7,4.446e-3,,4.446e-3,4.593e-14
207.72,1.404e-3,,1.404e-3,1.276e-14
207.75,2.165e-4,,2.165e-4,1.625e-15
207.77,5.675e-5,,5.675e-5,3.751e-16
207.8,6.623e-6,,6.623e-6,3.619e-17
207.82,1.441e-6,,1.441e-6,6.941e-18
207.85,1.273e-7,,1.273e-7,5.073e-19
207.87,2.299e-8,,2.299e-8,8.084e-20
207.9,1.536e-9,,1.536e-9,4.475e-21
207.92,2.304e-10,,2.304e-10,5.924e-22
207.95,1.165e-11,,1.165e-11,2.484e-23
207.97,1.450e-12,,1.450e-12,2.732e-24
208,5.546e-14,,5.546e-14,8.676e-26
