Wavelength (nm),Sum(calc),Ca I (3.8e-2),Ca II (9.5e-1),Ca III (1.3e-2)
199.47,3.202e-30,,,3.202e-30
199.5,1.204e-28,,,1.204e-28
199.52,1.222e-27,,,1.222e-27
199.54,1.146e-26,,,1.146e-26
199.57,2.831e-25,,,2.831e-25
199.59,2.173e-24,,,2.173e-24
199.62,3.979e-23,,,3.979e-23
199.64,2.501e-22,,,2.501e-22
199.67,3.394e-21,,,3.394e-21
199.69,1.747e-20,,,1.747e-20
199.72,1.756e-19,,,1.756e-19
199.74,7.403e-19,,,7.403e-19
199.77,5.516e-18,,,5.516e-18
199.79,1.904e-17,,,1.904e-17
199.82,1.051e-16,,,1.051e-16
199.84,2.971e-16,,,2.971e-16
199.87,1.215e-15,,,1.215e-15
199.89,2.813e-15,,,2.813e-15
199.92,8.527e-15,,,8.527e-15
199.94,1.616e-14,,,1.616e-14
199.96,2.828e-14,,,2.828e-14
199.99,5.635e-14,,,5.635e-14
200.01,8.075e-14,,,8.075e-14
200.04,1.193e-13,,,1.193e-13
200.06,1.400e-13,,,1.400e-13
200.09,1.535e-13,,,1.535e-13
200.11,1.482e-13,,,1.482e-13
200.14,1.224e-13,,,1.224e-13
200.16,9.963e-14,,,9.963e-14
200.19,6.868e-14,,,6.868e-14
200.21,5.468e-14,,,5.468e-14
200.24,4.494e-14,,,4.494e-14
200.26,4.365e-14,,,4.365e-14
200.29,4.361e-14,,,4.361e-14
200.31,4.201e-14,,,4.201e-14
200.33,3.815e-14,,,3.815e-14
200.36,2.888e-14,,,2.888e-14
200.38,2.180e-14,,,2.180e-14
200.41,1.234e-14,,,1.234e-14
200.43,7.643e-15,,,7.643e-15
200.46,3.210e-15,,,3.210e-15
200.48,1.629e-15,,,1.629e-15
200.51,5.075e-16,,,5.075e-16
200.53,2.110e-16,,,2.110e-16
200.56,4.874e-17,,,4.874e-17
200.58,1.660e-17,,,1.660e-17
200.61,2.843e-18,,,2.843e-18
200.63,7.935e-19,,,7.935e-19
200.66,1.007e-19,,,1.007e-19
200.68,2.304e-20,,,2.304e-20
200.71,2.169e-21,,,2.169e-21
200.73,4.062e-22,,,4.062e-22
200.75,7.025e-23,,,7.025e-23
200.78,4.351e-24,,,4.351e-24
200.8,6.165e-25,,,6.165e-25
200.83,2.831e-26,,,2.831e-26
200.85,3.286e-27,,,3.286e-27
200.88,1.119e-28,,,1.119e-28
200.9,1.064e-29,,,1.064e-29
201.25,5.584e-30,,,5.584e-30
201.27,6.124e-29,,,6.124e-29
201.3,1.920e-27,,,1.920e-27
201.32,1.731e-26,,,1.731e-26
201.35,4.042e-25,,,4.042e-25
201.37,2.994e-24,,,2.994e-24
201.4,5.209e-23,,,5.209e-23
201.42,3.170e-22,,,3.170e-22
201.45,4.109e-21,,,4.109e-21
201.47,2.055e-20,,,2.055e-20
201.49,9.502e-20,,,9.502e-20
201.52,8.155e-19,,,8.155e-19
201.54,3.098e-18,,,3.098e-18
201.57,1.981e-17,,,1.981e-17
201.59,6.185e-17,,,6.185e-17
201.62,2.945e-16,,,2.945e-16
201.64,7.557e-16,,,7.557e-16
201.67,2.681e-15,,,2.681e-15
201.69,5.653e-15,,,5.653e-15
201.72,1.494e-14,,,1.494e-14
201.74,2.588e-14,,,2.588e-14
201.77,5.095e-14,,,5.095e-14
201.79,7.254e-14,,,7.254e-14
