Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
199.33,2.107e-24,,,2.107e-24
199.36,2.267e-17,,2.267e-17,1.073e-22
199.38,3.303e-16,,3.303e-16,1.333e-21
199.41,1.581e-14,,1.581e-14,5.026e-20
199.43,1.887e-13,,1.887e-13,5.114e-19
199.46,6.692e-12,,6.692e-12,1.428e-17
199.48,6.537e-11,,6.537e-11,1.190e-16
199.51,1.718e-9,,1.718e-9,2.463e-15
199.53,1.374e-8,,1.374e-8,1.680e-14
199.56,2.675e-7,,2.675e-7,2.575e-13
199.58,1.752e-6,,1.752e-6,1.438e-12
199.61,2.527e-5,,2.527e-5,1.633e-11
199.63,1.355e-4,,1.355e-4,7.467e-11
199.66,1.448e-3,,1.448e-3,6.284e-10
199.68,6.359e-3,,6.359e-3,2.353e-9
199.7,2.577e-2,,2.577e-2,8.133e-9
199.73,1.810e-1,,1.810e-1,4.501e-8
199.75,6.007e-1,,6.007e-1,1.275e-7
199.78,3.126e+0,,3.126e+0,5.240e-7
199.8,8.494e+0,,8.494e+0,1.219e-6
199.83,3.275e+1,,3.275e+1,3.740e-6
199.85,7.286e+1,,7.286e+1,7.191e-6
199.88,2.081e+2,,2.081e+2,1.677e-5
199.9,3.791e+2,,3.791e+2,2.718e-5
199.93,8.024e+2,,8.024e+2,5.059e-5
199.95,1.197e+3,,1.197e+3,7.254e-5
199.98,1.877e+3,,1.877e+3,1.181e-4
200,2.292e+3,,2.292e+3,1.593e-4
200.03,2.663e+3,,2.663e+3,2.402e-4
200.05,2.663e+3,,2.663e+3,3.045e-4
200.07,2.458e+3,,2.458e+3,3.708e-4
200.1,1.877e+3,,1.877e+3,4.537e-4
200.12,1.419e+3,,1.419e+3,4.850e-4
200.15,8.024e+2,,8.024e+2,4.883e-4
200.17,4.966e+2,,4.966e+2,4.718e-4
200.2,2.081e+2,,2.081e+2,4.610e-4
200.22,1.055e+2,,1.055e+2,4.937e-4
200.25,3.275e+1,,3.275e+1,6.391e-4
200.27,1.359e+1,,1.359e+1,7.992e-4
200.3,3.127e+0,,3.126e+0,1.082e-3
200.32,1.063e+0,,1.062e+0,1.247e-3
200.35,1.837e-1,,1.823e-1,1.379e-3
200.37,5.661e-2,,5.524e-2,1.371e-3
200.4,3.953e-2,,3.828e-2,1.253e-3
200.42,1.036e-1,,1.024e-1,1.152e-3
200.44,2.965e-1,,2.955e-1,1.070e-3
200.47,1.272e+0,,1.271e+0,1.009e-3
200.49,3.046e+0,,3.045e+0,9.990e-4
200.52,9.731e+0,,9.730e+0,9.848e-4
200.54,1.912e+1,,1.911e+1,9.535e-4
200.57,4.535e+1,,4.535e+1,8.655e-4
200.59,7.304e+1,,7.304e+1,7.899e-4
200.62,1.286e+2,,1.286e+2,6.822e-4
200.64,1.699e+2,,1.699e+2,6.348e-4
200.67,2.221e+2,,2.221e+2,6.356e-4
200.69,2.405e+2,,2.405e+2,7.009e-4
200.72,2.334e+2,,2.334e+2,9.001e-4
200.74,2.072e+2,,2.072e+2,1.080e-3
200.77,1.495e+2,,1.495e+2,1.344e-3
200.79,1.094e+2,,1.094e+2,1.464e-3
200.81,7.522e+1,,7.522e+1,1.503e-3
200.84,4.401e+1,,4.401e+1,1.392e-3
200.86,4.140e+1,,4.139e+1,1.221e-3
200.89,7.764e+1,,7.764e+1,8.896e-4
200.91,1.420e+2,,1.420e+2,6.647e-4
200.94,3.294e+2,,3.294e+2,3.821e-4
200.96,5.286e+2,,5.286e+2,2.472e-4
200.99,9.287e+2,,9.287e+2,1.263e-4
201.01,1.225e+3,,1.225e+3,9.134e-5
201.04,1.600e+3,,1.600e+3,8.843e-5
201.06,1.732e+3,,1.732e+3,1.097e-4
201.09,1.681e+3,,1.681e+3,1.618e-4
201.11,1.493e+3,,1.493e+3,2.021e-4
201.14,1.077e+3,,1.077e+3,2.575e-4
201.16,7.848e+2,,7.848e+2,2.850e-4
201.19,4.208e+2,,4.208e+2,3.071e-4
201.21,2.516e+2,,2.516e+2,3.086e-4
201.23,1.390e+2,,1.390e+2,3.002e-4
201.26,4.944e+1,,4.944e+1,2.708e-4
201.28,2.310e+1,,2.310e+1,2.415e-4
201.31,9.543e+0,,9.542e+0,1.889e-4
201.33,1.129e+1,,1.129e+1,1.538e-4
201.36,3.102e+1,,3.102e+1,1.127e-4
201.38,6.230e+1,,6.230e+1,9.807e-5
201.41,1.554e+2,,1.554e+2,9.743e-5
201.43,2.592e+2,,2.592e+2,1.079e-4
201.46,4.820e+2,,4.820e+2,1.291e-4
201.48,6.606e+2,,6.606e+2,1.398e-4
201.51,9.142e+2,,9.142e+2,1.423e-4
201.53,1.029e+3,,1.029e+3,1.345e-4
201.56,1.060e+3,,1.060e+3,1.145e-4
201.58,9.797e+2,,9.797e+2,1.013e-4
201.6,8.375e+2,,8.375e+2,9.189e-5
201.63,5.737e+2,,5.737e+2,8.772e-5
201.65,4.097e+2,,4.097e+2,9.023e-5
201.68,2.379e+2,,2.379e+2,9.635e-5
201.7,1.911e+2,,1.911e+2,9.878e-5
201.73,2.404e+2,,2.404e+2,9.753e-5
201.75,3.611e+2,,3.611e+2,9.412e-5
201.78,6.757e+2,,6.757e+2,8.816e-5
201.8,9.564e+2,,9.564e+2,8.492e-5
201.83,1.401e+3,,1.401e+3,8.078e-5
201.85,1.643e+3,,1.643e+3,7.695e-5
201.88,1.811e+3,,1.811e+3,6.702e-5
201.9,1.768e+3,,1.768e+3,5.731e-5
201.93,1.529e+3,,1.529e+3,4.018e-5
201.95,1.332e+3,,1.332e+3,2.906e-5
201.97,1.170e+3,,1.170e+3,1.955e-5
202,1.069e+3,,1.069e+3,9.556e-6
202.02,1.095e+3,,1.095e+3,5.723e-6
202.05,1.192e+3,,1.192e+3,3.386e-6
202.07,1.227e+3,,1.227e+3,3.569e-6
202.1,1.157e+3,,1.157e+3,5.841e-6
202.12,1.021e+3,,1.021e+3,8.515e-6
202.15,7.360e+2,,7.360e+2,1.421e-5
202.17,5.374e+2,,5.374e+2,1.929e-5
202.2,2.898e+2,,2.898e+2,2.947e-5
202.22,1.741e+2,,1.741e+2,3.837e-5
202.25,7.000e+1,,7.000e+1,5.472e-5
202.27,3.458e+1,,3.458e+1,6.635e-5
202.3,1.036e+1,,1.036e+1,8.072e-5
202.32,4.208e+0,,4.208e+0,8.554e-5
202.35,9.403e-1,,9.402e-1,8.355e-5
202.37,3.139e-1,,3.139e-1,7.767e-5
202.39,9.695e-2,,9.688e-2,7.156e-5
202.42,1.442e-2,,1.434e-2,7.118e-5
202.44,3.723e-3,,3.640e-3,8.272e-5
202.47,5.253e-4,,4.017e-4,1.236e-4
202.49,2.493e-4,,8.379e-5,1.655e-4
202.52,2.458e-4,,6.893e-6,2.389e-4
202.54,2.849e-4,,1.182e-6,2.837e-4
202.57,3.238e-4,,7.247e-8,3.237e-4
202.59,3.242e-4,,1.022e-8,3.242e-4
202.62,2.847e-4,,4.670e-10,2.847e-4
202.64,2.389e-4,,5.520e-11,2.389e-4
202.67,1.606e-4,,3.424e-11,1.606e-4
202.69,1.126e-4,,2.837e-10,1.126e-4
202.72,5.791e-5,,6.347e-9,5.790e-5
202.74,3.434e-5,,4.576e-8,3.429e-5
202.76,1.994e-5,,3.054e-7,1.964e-5
202.79,1.471e-5,,4.551e-6,1.016e-5
202.81,3.469e-5,,2.502e-5,9.666e-6
202.84,2.937e-4,,2.789e-4,1.481e-5
202.86,1.284e-3,,1.263e-3,2.101e-5
202.89,1.057e-2,,1.053e-2,3.221e-5
202.91,3.935e-2,,3.931e-2,3.923e-5
202.94,2.452e-1,,2.451e-1,4.600e-5
202.96,7.538e-1,,7.537e-1,4.680e-5
202.99,3.515e+0,,3.515e+0,4.248e-5
203.01,8.905e+0,,8.905e+0,3.704e-5
203.04,3.106e+1,,3.106e+1,2.775e-5
203.06,6.483e+1,,6.483e+1,2.202e-5
203.09,1.691e+2,,1.691e+2,1.505e-5
203.11,2.908e+2,,2.908e+2,1.146e-5
