Wavelength (nm),Sum(calc),K I (3.1e-2),K II (9.7e-1),K III (2.7e-11)
202.83,6.546e-23,,6.546e-23,
202.85,7.472e-22,,7.472e-22,
202.87,7.894e-21,,7.894e-21,
202.9,2.358e-19,,2.358e-19,
202.92,2.057e-18,,2.057e-18,
202.95,4.589e-17,,4.589e-17,
202.97,3.305e-16,,3.305e-16,
203,5.537e-15,,5.537e-15,
203.02,3.297e-14,,3.297e-14,
203.05,4.160e-13,,4.160e-13,
203.07,2.054e-12,,2.054e-12,
203.1,1.962e-11,,1.962e-11,
203.12,8.072e-11,,8.072e-11,
203.15,5.897e-10,,5.897e-10,
203.17,2.037e-9,,2.037e-9,
203.2,1.154e-8,,1.154e-8,
203.22,3.384e-8,,3.384e-8,
203.25,1.512e-7,,1.512e-7,
203.27,3.805e-7,,3.805e-7,
203.3,1.359e-6,,1.359e-6,
203.32,2.947e-6,,2.947e-6,
203.35,8.413e-6,,8.413e-6,
203.37,1.567e-5,,1.567e-5,
203.4,3.534e-5,,3.534e-5,
203.42,5.594e-5,,5.594e-5,
203.45,9.805e-5,,9.805e-5,
203.47,1.306e-4,,1.306e-4,
203.5,1.760e-4,,1.760e-4,
203.52,1.967e-4,,1.967e-4,
203.55,2.051e-4,,2.051e-4,
203.57,1.956e-4,,1.956e-4,
203.6,1.675e-4,,1.675e-4,
203.62,1.466e-4,,1.466e-4,
203.65,1.209e-4,,1.209e-4,
203.67,1.086e-4,,1.086e-4,
203.7,9.339e-5,,9.339e-5,
203.72,8.260e-5,,8.260e-5,
203.75,6.329e-5,,6.329e-5,
203.77,4.921e-5,,4.921e-5,
203.8,2.967e-5,,2.967e-5,
203.82,1.933e-5,,1.933e-5,
203.85,8.825e-6,,8.825e-6,
203.87,4.757e-6,,4.757e-6,
203.9,1.631e-6,,1.631e-6,
203.92,7.254e-7,,7.254e-7,
203.95,1.863e-7,,1.863e-7,
203.97,6.836e-8,,6.836e-8,
204,1.315e-8,,1.315e-8,
204.02,3.979e-9,,3.979e-9,
204.05,5.734e-10,,5.734e-10,
204.07,1.449e-10,,1.449e-10,
204.1,3.530e-11,,3.530e-11,
204.12,9.190e-11,,9.190e-11,
204.15,7.376e-10,,7.376e-10,
204.17,2.781e-9,,2.781e-9,
204.2,1.795e-8,,1.795e-8,
204.22,5.714e-8,,5.714e-8,
204.25,2.855e-7,,2.855e-7,
204.27,7.653e-7,,7.653e-7,
204.3,2.945e-6,,2.945e-6,
204.32,6.618e-6,,6.618e-6,
204.35,1.949e-5,,1.949e-5,
204.37,3.658e-5,,3.658e-5,
204.4,8.201e-5,,8.201e-5,
204.42,1.281e-4,,1.281e-4,
204.45,2.176e-4,,2.176e-4,
204.47,2.822e-4,,2.822e-4,
