Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
199.82,2.036e-44,,,2.036e-44
199.85,1.017e-42,,,1.017e-42
199.87,1.249e-41,,,1.249e-41
199.9,4.627e-40,,,4.627e-40
199.92,4.655e-39,,,4.655e-39
199.95,1.280e-37,,,1.280e-37
199.97,1.055e-36,,,1.055e-36
199.99,8.036e-36,,,8.036e-36
200.02,1.455e-34,,,1.455e-34
200.04,9.077e-34,,,9.077e-34
200.07,1.219e-32,,,1.219e-32
200.09,6.234e-32,,,6.234e-32
200.12,6.211e-31,,,6.211e-31
200.14,2.603e-30,,,2.603e-30
200.17,1.924e-29,,,1.924e-29
200.19,6.609e-29,,,6.609e-29
200.22,3.624e-28,,,3.624e-28
200.24,1.020e-27,,,1.020e-27
200.27,4.150e-27,,,4.150e-27
200.29,9.573e-27,,,9.573e-27
200.32,2.889e-26,,,2.889e-26
200.34,5.463e-26,,,5.463e-26
200.36,9.537e-26,,,9.537e-26
200.39,1.895e-25,,,1.895e-25
200.41,2.712e-25,,,2.712e-25
200.44,3.997e-25,,,3.997e-25
200.46,4.687e-25,,,4.687e-25
200.49,5.127e-25,,,5.127e-25
200.51,4.926e-25,,,4.926e-25
200.54,3.997e-25,,,3.997e-25
200.56,3.148e-25,,,3.148e-25
200.59,1.895e-25,,,1.895e-25
200.61,1.223e-25,,,1.223e-25
200.64,5.463e-26,,,5.463e-26
200.66,2.889e-26,,,2.889e-26
200.69,9.573e-27,,,9.573e-27
200.71,4.150e-27,,,4.150e-27
200.73,1.661e-27,,,1.661e-27
200.76,3.624e-28,,,3.624e-28
200.78,1.189e-28,,,1.189e-28
200.81,1.924e-29,,,1.924e-29
200.83,5.173e-30,,,5.173e-30
200.86,6.211e-31,,,6.211e-31
200.88,1.368e-31,,,1.368e-31
200.91,1.219e-32,,,1.219e-32
200.93,2.201e-33,,,2.201e-33
200.96,1.455e-34,,,1.455e-34
200.98,2.152e-35,,,2.152e-35
201.01,1.055e-36,,,1.055e-36
201.03,1.280e-37,,,1.280e-37
