Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
199.76,2.441e-58,,,2.441e-58
199.79,1.151e-56,,,1.151e-56
199.81,1.361e-55,,,1.361e-55
199.84,4.760e-54,,,4.760e-54
199.86,4.624e-53,,,4.624e-53
199.88,4.142e-52,,,4.142e-52
199.91,9.574e-51,,,9.574e-51
199.93,7.044e-50,,,7.044e-50
199.96,1.216e-48,,,1.216e-48
199.98,7.379e-48,,,7.379e-48
200.01,9.601e-47,,,9.601e-47
200.03,4.858e-46,,,4.858e-46
200.06,4.880e-45,,,4.880e-45
200.08,2.105e-44,,,2.105e-44
200.11,1.705e-43,,,1.705e-43
200.13,6.486e-43,,,6.486e-43
200.16,4.450e-42,,,4.450e-42
200.18,1.527e-41,,,1.527e-41
200.21,8.929e-41,,,8.929e-41
200.23,2.721e-40,,,2.721e-40
200.26,1.298e-39,,,1.298e-39
200.28,3.392e-39,,,3.392e-39
200.3,8.277e-39,,,8.277e-39
200.33,2.753e-38,,,2.753e-38
200.35,5.584e-38,,,5.584e-38
200.38,1.397e-37,,,1.397e-37
200.4,2.335e-37,,,2.335e-37
200.43,4.358e-37,,,4.358e-37
200.45,5.984e-37,,,5.984e-37
200.48,8.302e-37,,,8.302e-37
200.5,9.351e-37,,,9.351e-37
200.53,9.633e-37,,,9.633e-37
200.55,8.896e-37,,,8.896e-37
200.58,6.802e-37,,,6.802e-37
200.6,5.149e-37,,,5.149e-37
200.63,2.922e-37,,,2.922e-37
200.65,1.814e-37,,,1.814e-37
200.68,7.649e-38,,,7.649e-38
200.7,3.909e-38,,,3.909e-38
200.72,1.868e-38,,,1.868e-38
200.75,5.914e-39,,,5.914e-39
200.77,3.169e-39,,,3.169e-39
200.8,2.197e-39,,,2.197e-39
200.82,2.231e-39,,,2.231e-39
200.85,2.320e-39,,,2.320e-39
200.87,2.217e-39,,,2.217e-39
200.9,1.800e-39,,,1.800e-39
200.92,1.427e-39,,,1.427e-39
200.95,9.058e-40,,,9.058e-40
200.97,6.814e-40,,,6.814e-40
201,6.842e-40,,,6.842e-40
201.02,1.021e-39,,,1.021e-39
201.05,2.275e-39,,,2.275e-39
201.07,3.750e-39,,,3.750e-39
201.1,6.959e-39,,,6.959e-39
201.12,9.542e-39,,,9.542e-39
201.14,1.209e-38,,,1.209e-38
201.17,1.488e-38,,,1.488e-38
201.19,1.548e-38,,,1.548e-38
201.22,1.417e-38,,,1.417e-38
201.24,1.210e-38,,,1.210e-38
201.27,8.236e-39,,,8.236e-39
201.29,5.781e-39,,,5.781e-39
201.32,2.950e-39,,,2.950e-39
201.34,1.726e-39,,,1.726e-39
201.37,7.044e-40,,,7.044e-40
201.39,3.845e-40,,,3.845e-40
201.42,1.784e-40,,,1.784e-40
201.44,1.240e-40,,,1.240e-40
201.47,8.195e-41,,,8.195e-41
201.49,6.280e-41,,,6.280e-41
201.52,4.189e-41,,,4.189e-41
201.54,3.487e-41,,,3.487e-41
201.56,3.507e-41,,,3.507e-41
201.59,5.012e-41,,,5.012e-41
201.61,6.900e-41,,,6.900e-41
201.64,1.045e-40,,,1.045e-40
201.66,1.270e-40,,,1.270e-40
201.69,1.477e-40,,,1.477e-40
201.71,1.483e-40,,,1.483e-40
201.74,1.288e-40,,,1.288e-40
201.76,1.064e-40,,,1.064e-40
201.79,6.893e-41,,,6.893e-41
201.81,4.682e-41,,,4.682e-41
201.84,2.276e-41,,,2.276e-41
201.86,1.307e-41,,,1.307e-41
201.89,6.409e-42,,,6.409e-42
201.91,6.508e-42,,,6.508e-42
201.94,1.463e-41,,,1.463e-41
201.96,2.797e-41,,,2.797e-41
201.98,5.112e-41,,,5.112e-41
202.01,1.123e-40,,,1.123e-40
202.03,1.760e-40,,,1.760e-40
202.06,3.134e-40,,,3.134e-40
202.08,4.366e-40,,,4.366e-40
202.11,6.742e-40,,,6.742e-40
202.13,8.682e-40,,,8.682e-40
202.16,1.197e-39,,,1.197e-39
202.18,1.417e-39,,,1.417e-39
202.21,1.684e-39,,,1.684e-39
202.23,1.781e-39,,,1.781e-39
202.26,1.767e-39,,,1.767e-39
202.28,1.654e-39,,,1.654e-39
202.31,1.373e-39,,,1.373e-39
202.33,1.146e-39,,,1.146e-39
202.36,8.003e-40,,,8.003e-40
202.38,5.922e-40,,,5.922e-40
202.4,4.153e-40,,,4.153e-40
202.43,2.184e-40,,,2.184e-40
202.45,1.314e-40,,,1.314e-40
202.48,5.399e-41,,,5.399e-41
202.5,2.733e-41,,,2.733e-41
202.53,8.758e-42,,,8.758e-42
202.55,4.292e-42,,,4.292e-42
202.58,4.744e-42,,,4.744e-42
202.6,1.142e-41,,,1.142e-41
202.63,4.651e-41,,,4.651e-41
202.65,1.093e-40,,,1.093e-40
202.68,3.408e-40,,,3.408e-40
202.7,6.599e-40,,,6.599e-40
202.73,1.537e-39,,,1.537e-39
202.75,2.451e-39,,,2.451e-39
202.78,4.266e-39,,,4.266e-39
202.8,5.601e-39,,,5.601e-39
202.82,6.804e-39,,,6.804e-39
202.85,7.878e-39,,,7.878e-39
202.87,7.890e-39,,,7.890e-39
202.9,6.875e-39,,,6.875e-39
202.92,5.759e-39,,,5.759e-39
202.95,4.054e-39,,,4.054e-39
202.97,3.234e-39,,,3.234e-39
203,2.802e-39,,,2.802e-39
203.02,3.047e-39,,,3.047e-39
203.05,3.931e-39,,,3.931e-39
203.07,4.592e-39,,,4.592e-39
203.1,5.214e-39,,,5.214e-39
203.12,5.196e-39,,,5.196e-39
203.15,4.485e-39,,,4.485e-39
203.17,3.694e-39,,,3.694e-39
203.2,2.387e-39,,,2.387e-39
203.22,1.620e-39,,,1.620e-39
203.24,1.017e-39,,,1.017e-39
203.27,4.376e-40,,,4.376e-40
203.29,2.267e-40,,,2.267e-40
203.32,7.523e-41,,,7.523e-41
203.34,3.770e-41,,,3.770e-41
203.37,3.356e-41,,,3.356e-41
203.39,6.133e-41,,,6.133e-41
203.42,1.719e-40,,,1.719e-40
203.44,3.180e-40,,,3.180e-40
203.47,6.947e-40,,,6.947e-40
203.49,1.062e-39,,,1.062e-39
203.52,1.739e-39,,,1.739e-39
203.54,2.195e-39,,,2.195e-39
203.57,2.701e-39,,,2.701e-39
203.59,2.828e-39,,,2.828e-39
203.62,2.667e-39,,,2.667e-39
203.64,2.389e-39,,,2.389e-39
203.66,2.065e-39,,,2.065e-39
203.69,1.664e-39,,,1.664e-39
203.71,1.514e-39,,,1.514e-39
203.74,1.444e-39,,,1.444e-39
203.76,1.436e-39,,,1.436e-39
203.79,1.360e-39,,,1.360e-39
203.81,1.231e-39,,,1.231e-39
203.84,9.358e-40,,,9.358e-40
203.86,7.123e-40,,,7.123e-40
203.89,4.125e-40,,,4.125e-40
203.91,2.648e-40,,,2.648e-40
203.94,1.389e-40,,,1.389e-40
203.96,1.214e-40,,,1.214e-40
203.99,2.138e-40,,,2.138e-40
204.01,3.832e-40,,,3.832e-40
204.04,8.710e-40,,,8.710e-40
204.06,1.388e-39,,,1.388e-39
204.08,2.064e-39,,,2.064e-39
204.11,3.317e-39,,,3.317e-39
204.13,4.253e-39,,,4.253e-39
204.16,5.805e-39,,,5.805e-39
204.18,7.062e-39,,,7.062e-39
204.21,9.700e-39,,,9.700e-39
204.23,1.217e-38,,,1.217e-38
204.26,1.682e-38,,,1.682e-38
204.28,2.001e-38,,,2.001e-38
204.31,2.348e-38,,,2.348e-38
204.33,2.411e-38,,,2.411e-38
204.36,2.202e-38,,,2.202e-38
204.38,1.899e-38,,,1.899e-38
204.41,1.350e-38,,,1.350e-38
204.43,1.013e-38,,,1.013e-38
204.46,6.453e-39,,,6.453e-39
204.48,5.030e-39,,,5.030e-39
204.5,4.240e-39,,,4.240e-39
204.53,3.674e-39,,,3.674e-39
204.55,3.381e-39,,,3.381e-39
204.58,2.781e-39,,,2.781e-39
204.6,2.267e-39,,,2.267e-39
204.63,1.465e-39,,,1.465e-39
204.65,1.003e-39,,,1.003e-39
204.68,5.125e-40,,,5.125e-40
204.7,3.272e-40,,,3.272e-40
204.73,2.285e-40,,,2.285e-40
204.75,2.547e-40,,,2.547e-40
204.78,3.863e-40,,,3.863e-40
204.8,5.075e-40,,,5.075e-40
204.83,6.827e-40,,,6.827e-40
204.85,7.607e-40,,,7.607e-40
204.88,7.780e-40,,,7.780e-40
204.9,7.189e-40,,,7.189e-40
204.92,6.164e-40,,,6.164e-40
204.95,4.274e-40,,,4.274e-40
204.97,3.096e-40,,,3.096e-40
205,1.841e-40,,,1.841e-40
205.02,1.455e-40,,,1.455e-40
205.05,1.583e-40,,,1.583e-40
205.07,2.103e-40,,,2.103e-40
205.1,3.376e-40,,,3.376e-40
205.12,4.386e-40,,,4.386e-40
205.15,5.737e-40,,,5.737e-40
205.17,6.277e-40,,,6.277e-40
205.2,6.268e-40,,,6.268e-40
205.22,5.714e-40,,,5.714e-40
205.25,4.338e-40,,,4.338e-40
205.27,3.309e-40,,,3.309e-40
205.3,2.004e-40,,,2.004e-40
205.32,1.460e-40,,,1.460e-40
205.34,1.263e-40,,,1.263e-40
205.37,1.735e-40,,,1.735e-40
205.39,2.625e-40,,,2.625e-40
205.42,4.836e-40,,,4.836e-40
205.44,6.763e-40,,,6.763e-40
205.47,9.766e-40,,,9.766e-40
205.49,1.136e-39,,,1.136e-39
205.52,1.237e-39,,,1.237e-39
205.54,1.191e-39,,,1.191e-39
205.57,9.764e-40,,,9.764e-40
205.59,7.780e-40,,,7.780e-40
205.62,4.810e-40,,,4.810e-40
205.64,3.192e-40,,,3.192e-40
205.67,1.571e-40,,,1.571e-40
205.69,1.019e-40,,,1.019e-40
205.72,8.675e-41,,,8.675e-41
205.74,1.163e-40,,,1.163e-40
205.76,1.750e-40,,,1.750e-40
205.79,3.113e-40,,,3.113e-40
205.81,4.244e-40,,,4.244e-40
205.84,5.996e-40,,,5.996e-40
205.86,7.036e-40,,,7.036e-40
205.89,8.313e-40,,,8.313e-40
205.91,9.095e-40,,,9.095e-40
205.94,1.054e-39,,,1.054e-39
205.96,1.182e-39,,,1.182e-39
205.99,1.399e-39,,,1.399e-39
206.01,1.516e-39,,,1.516e-39
206.04,1.565e-39,,,1.565e-39
206.06,1.483e-39,,,1.483e-39
206.09,1.210e-39,,,1.210e-39
206.11,9.748e-40,,,9.748e-40
206.14,6.468e-40,,,6.468e-40
206.16,4.919e-40,,,4.919e-40
206.18,4.071e-40,,,4.071e-40
206.21,4.055e-40,,,4.055e-40
206.23,4.645e-40,,,4.645e-40
206.26,5.811e-40,,,5.811e-40
206.28,6.404e-40,,,6.404e-40
206.31,6.578e-40,,,6.578e-40
206.33,6.173e-40,,,6.173e-40
206.36,5.117e-40,,,5.117e-40
206.38,4.512e-40,,,4.512e-40
206.41,4.776e-40,,,4.776e-40
206.43,6.689e-40,,,6.689e-40
206.46,1.515e-39,,,1.515e-39
206.48,2.757e-39,,,2.757e-39
206.51,6.404e-39,,,6.404e-39
206.53,1.052e-38,,,1.052e-38
206.56,1.967e-38,,,1.967e-38
206.58,2.739e-38,,,2.739e-38
206.6,3.553e-38,,,3.553e-38
206.63,4.582e-38,,,4.582e-38
206.65,4.953e-38,,,4.953e-38
206.68,4.846e-38,,,4.846e-38
206.7,4.354e-38,,,4.354e-38
206.73,3.226e-38,,,3.226e-38
206.75,2.408e-38,,,2.408e-38
206.78,1.351e-38,,,1.351e-38
206.8,8.379e-39,,,8.379e-39
206.83,3.562e-39,,,3.562e-39
206.85,1.836e-39,,,1.836e-39
206.88,5.917e-40,,,5.917e-40
206.9,2.537e-40,,,2.537e-40
206.93,6.211e-41,,,6.211e-41
206.95,2.234e-41,,,2.234e-41
206.98,5.214e-42,,,5.214e-42
207,4.342e-42,,,4.342e-42
207.02,8.553e-42,,,8.553e-42
207.05,3.057e-41,,,3.057e-41
207.07,6.676e-41,,,6.676e-41
207.1,1.876e-40,,,1.876e-40
207.12,3.405e-40,,,3.405e-40
207.15,7.238e-40,,,7.238e-40
207.17,1.090e-39,,,1.090e-39
207.2,1.753e-39,,,1.753e-39
207.22,2.192e-39,,,2.192e-39
207.25,2.665e-39,,,2.665e-39
207.27,2.766e-39,,,2.766e-39
207.3,2.544e-39,,,2.544e-39
207.32,2.192e-39,,,2.192e-39
207.35,1.524e-39,,,1.524e-39
207.37,1.090e-39,,,1.090e-39
207.4,5.735e-40,,,5.735e-40
207.42,3.405e-40,,,3.405e-40
207.44,1.876e-40,,,1.876e-40
207.47,6.675e-41,,,6.675e-41
207.49,3.053e-41,,,3.053e-41
207.52,8.215e-42,,,8.215e-42
207.54,3.119e-42,,,3.119e-42
207.57,6.347e-43,,,6.347e-43
207.59,2.000e-43,,,2.000e-43
207.62,3.079e-44,,,3.079e-44
207.64,8.055e-45,,,8.055e-45
207.67,9.374e-46,,,9.374e-46
207.69,2.036e-46,,,2.036e-46
207.72,1.792e-47,,,1.792e-47
207.74,3.231e-48,,,3.231e-48
207.77,2.151e-49,,,2.151e-49
207.79,3.219e-50,,,3.219e-50
207.82,1.620e-51,,,1.620e-51
207.84,2.013e-52,,,2.013e-52
207.86,2.321e-53,,,2.321e-53
207.89,7.903e-55,,,7.903e-55
207.91,7.565e-56,,,7.565e-56
207.94,1.948e-57,,,1.948e-57
208.8,1.624e-58,,,1.624e-58
208.83,6.167e-57,,,6.167e-57
208.85,6.361e-56,,,6.361e-56
208.88,1.838e-54,,,1.838e-54
208.9,1.580e-53,,,1.580e-53
208.93,3.472e-52,,,3.472e-52
208.95,2.487e-51,,,2.487e-51
208.98,4.158e-50,,,4.158e-50
209,2.482e-49,,,2.482e-49
209.03,3.157e-48,,,3.157e-48
209.05,1.571e-47,,,1.571e-47
209.07,7.263e-47,,,7.263e-47
209.1,6.300e-46,,,6.300e-46
209.12,2.428e-45,,,2.428e-45
209.15,1.602e-44,,,1.602e-44
209.17,5.145e-44,,,5.145e-44
209.2,2.583e-43,,,2.583e-43
209.22,6.913e-43,,,6.913e-43
209.25,2.640e-42,,,2.640e-42
209.27,5.888e-42,,,5.888e-42
209.3,1.711e-41,,,1.711e-41
209.32,3.179e-41,,,3.179e-41
209.35,7.026e-41,,,7.026e-41
209.37,1.088e-40,,,1.088e-40
209.4,1.830e-40,,,1.830e-40
209.42,2.362e-40,,,2.362e-40
209.45,3.021e-40,,,3.021e-40
209.47,3.249e-40,,,3.249e-40
209.49,3.249e-40,,,3.249e-40
209.52,2.834e-40,,,2.834e-40
209.54,2.362e-40,,,2.362e-40
209.57,1.567e-40,,,1.567e-40
209.59,1.088e-40,,,1.088e-40
209.62,5.496e-41,,,5.496e-41
209.64,3.187e-41,,,3.187e-41
209.67,1.263e-41,,,1.263e-41
209.69,7.050e-42,,,7.050e-42
209.72,6.387e-42,,,6.387e-42
209.74,1.147e-41,,,1.147e-41
209.77,3.321e-41,,,3.321e-41
209.79,6.386e-41,,,6.386e-41
209.82,1.498e-40,,,1.498e-40
209.84,2.422e-40,,,2.422e-40
209.87,4.373e-40,,,4.373e-40
209.89,5.952e-40,,,5.952e-40
209.91,7.575e-40,,,7.575e-40
209.94,9.623e-40,,,9.623e-40
209.96,1.043e-39,,,1.043e-39
209.99,1.053e-39,,,1.053e-39
210.01,9.890e-40,,,9.890e-40
210.04,8.234e-40,,,8.234e-40
210.06,7.022e-40,,,7.022e-40
210.09,5.761e-40,,,5.761e-40
210.11,5.744e-40,,,5.744e-40
210.14,7.699e-40,,,7.699e-40
210.16,1.062e-39,,,1.062e-39
210.19,1.731e-39,,,1.731e-39
210.21,2.274e-39,,,2.274e-39
210.24,3.039e-39,,,3.039e-39
210.26,3.381e-39,,,3.381e-39
210.29,3.471e-39,,,3.471e-39
210.31,3.229e-39,,,3.229e-39
210.33,2.794e-39,,,2.794e-39
210.36,1.965e-39,,,1.965e-39
210.38,1.421e-39,,,1.421e-39
210.41,7.663e-40,,,7.663e-40
210.43,4.664e-40,,,4.664e-40
210.46,1.977e-40,,,1.977e-40
210.48,1.053e-40,,,1.053e-40
210.51,3.970e-41,,,3.970e-41
210.53,2.133e-41,,,2.133e-41
