Wavelength (nm),Sum(calc),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
199.49,1.202e-28,,,1.202e-28
199.51,1.376e-27,,,1.376e-27
199.54,4.585e-26,,,4.585e-26
199.56,4.296e-25,,,4.296e-25
199.58,3.717e-24,,,3.717e-24
199.61,8.141e-23,,,8.141e-23
199.63,5.768e-22,,,5.768e-22
199.66,9.362e-21,,,9.362e-21
199.68,5.431e-20,,,5.431e-20
199.71,6.534e-19,,,6.534e-19
199.73,3.104e-18,,,3.104e-18
199.76,2.767e-17,,,2.767e-17
199.78,1.077e-16,,,1.077e-16
199.81,7.111e-16,,,7.111e-16
199.83,2.266e-15,,,2.266e-15
199.86,1.109e-14,,2.848e-19,1.109e-14
199.88,2.894e-14,,3.497e-18,2.894e-14
199.91,1.051e-13,,1.295e-16,1.050e-13
199.93,2.256e-13,,1.303e-15,2.243e-13
199.95,4.545e-13,,1.211e-14,4.424e-13
199.98,1.350e-12,,2.952e-13,1.055e-12
200,3.952e-12,,2.248e-12,1.704e-12
200.03,4.369e-11,,4.068e-11,3.011e-12
200.05,2.578e-10,,2.538e-10,3.983e-12
200.08,3.413e-9,,3.407e-9,5.216e-12
200.1,1.743e-8,,1.742e-8,5.650e-12
200.13,1.736e-7,,1.735e-7,5.484e-12
200.15,7.273e-7,,7.273e-7,4.864e-12
200.18,5.375e-6,,5.375e-6,3.498e-12
200.2,1.846e-5,,1.846e-5,2.541e-12
200.23,1.012e-4,,1.012e-4,1.354e-12
200.25,2.849e-4,,2.849e-4,8.056e-13
200.28,1.159e-3,,1.159e-3,3.182e-13
200.3,2.673e-3,,2.673e-3,1.550e-13
200.33,8.066e-3,,8.066e-3,4.536e-14
200.35,1.525e-2,,1.525e-2,1.810e-14
200.37,2.662e-2,,2.662e-2,6.664e-15
200.4,5.290e-2,,5.290e-2,1.282e-15
200.42,7.569e-2,,7.569e-2,3.866e-16
200.45,1.116e-1,,1.116e-1,5.513e-17
200.47,1.308e-1,,1.308e-1,1.364e-17
200.5,1.431e-1,,1.431e-1,1.804e-18
200.52,1.375e-1,,1.375e-1,2.076e-18
200.55,1.116e-1,,1.116e-1,1.662e-17
200.57,8.787e-2,,8.787e-2,6.646e-17
200.6,5.290e-2,,5.290e-2,4.592e-16
200.62,3.414e-2,,3.414e-2,1.509e-15
200.65,1.525e-2,,1.525e-2,7.750e-15
200.67,8.066e-3,,8.066e-3,2.090e-14
200.7,2.673e-3,,2.673e-3,7.987e-14
200.72,1.159e-3,,1.159e-3,1.770e-13
200.74,4.639e-4,,4.639e-4,3.626e-13
200.77,1.012e-4,,1.012e-4,9.189e-13
200.79,3.320e-5,,3.320e-5,1.551e-12
200.82,5.375e-6,,5.375e-6,2.949e-12
200.84,1.445e-6,,1.445e-6,4.121e-12
200.87,1.736e-7,,1.735e-7,5.938e-12
200.89,3.825e-8,,3.824e-8,6.936e-12
200.92,3.415e-9,,3.407e-9,7.717e-12
200.94,6.230e-10,,6.154e-10,7.650e-12
200.97,4.881e-11,,4.206e-11,6.748e-12
200.99,2.212e-11,,1.634e-11,5.781e-12
201.02,1.860e-10,,1.818e-10,4.137e-12
201.04,1.116e-9,,1.113e-9,3.093e-12
201.07,1.456e-8,,1.456e-8,1.800e-12
201.09,7.325e-8,,7.325e-8,1.166e-12
201.11,3.407e-7,,3.407e-7,7.096e-13
201.14,2.947e-6,,2.947e-6,2.980e-13
201.16,1.125e-5,,1.125e-5,1.533e-13
201.19,7.245e-5,,7.245e-5,4.947e-14
201.21,2.272e-4,,2.272e-4,2.122e-14
201.24,1.088e-3,,1.088e-3,5.174e-15
201.26,2.802e-3,,2.802e-3,1.835e-15
201.29,9.988e-3,,9.988e-3,3.352e-16
201.31,2.112e-2,,2.112e-2,9.787e-17
201.34,5.603e-2,,5.603e-2,1.333e-17
201.36,9.733e-2,,9.733e-2,3.199e-18
201.39,1.924e-1,,1.924e-1,3.244e-19
201.41,2.750e-1,,2.750e-1,6.391e-20
201.44,4.076e-1,,4.076e-1,4.819e-21
201.46,4.843e-1,,4.843e-1,7.790e-22
201.48,5.394e-1,,5.394e-1,1.164e-22
201.51,5.795e-1,,5.795e-1,5.791e-24
201.53,5.931e-1,,5.931e-1,7.096e-25
201.56,6.392e-1,,6.392e-1,2.624e-26
201.58,7.086e-1,,7.086e-1,2.638e-27
201.61,8.673e-1,,8.673e-1,7.249e-29
201.63,9.789e-1,,9.789e-1,1.108e-28
201.66,1.078e+0,,1.078e+0,1.682e-28
201.68,1.063e+0,,1.063e+0,2.065e-28
201.71,9.087e-1,,9.087e-1,2.639e-28
201.73,7.446e-1,,7.446e-1,3.022e-28
201.76,4.776e-1,,4.776e-1,3.596e-28
201.78,3.221e-1,,3.221e-1,3.979e-28
201.81,1.540e-1,,1.540e-1,4.553e-28
201.83,8.535e-2,,8.535e-2,4.936e-28
201.85,4.373e-2,,4.373e-2,5.318e-28
201.88,1.383e-2,,1.383e-2,5.893e-28
201.9,5.822e-3,,5.822e-3,6.275e-28
201.93,1.371e-3,,1.371e-3,6.850e-28
201.95,4.741e-4,,4.741e-4,7.232e-28
201.98,8.314e-5,,8.314e-5,7.807e-28
202,2.361e-5,,2.361e-5,8.189e-28
202.03,3.082e-6,,3.082e-6,8.764e-28
202.05,7.189e-7,,7.189e-7,9.146e-28
202.08,6.987e-8,,6.987e-8,9.721e-28
202.1,1.339e-8,,1.339e-8,1.010e-27
202.13,9.688e-10,,9.688e-10,1.068e-27
202.15,1.525e-10,,1.525e-10,1.106e-27
202.18,8.214e-12,,8.214e-12,1.163e-27
202.2,1.062e-12,,1.062e-12,1.202e-27
202.23,4.259e-14,,4.259e-14,1.259e-27
202.25,4.523e-15,,4.523e-15,1.297e-27
202.27,4.440e-16,,4.440e-16,1.336e-27
204.35,5.317e-27,,1.746e-16,5.317e-27
204.37,5.854e-26,,1.720e-16,5.854e-26
204.4,1.854e-24,,1.681e-16,1.854e-24
204.42,1.687e-23,,1.655e-16,1.687e-23
204.45,4.017e-22,,1.616e-16,4.017e-22
204.47,3.022e-21,,1.590e-16,3.022e-21
204.5,5.406e-20,,1.551e-16,5.406e-20
204.52,3.362e-19,,1.525e-16,3.362e-19
204.54,1.938e-18,,1.500e-16,1.938e-18
204.57,2.324e-17,,1.461e-16,2.324e-17
204.59,1.107e-16,,1.435e-16,1.107e-16
204.62,9.983e-16,,1.396e-16,9.983e-16
204.64,3.932e-15,,1.370e-16,3.932e-15
204.67,2.664e-14,,1.331e-16,2.664e-14
204.69,8.672e-14,,1.305e-16,8.672e-14
204.72,4.416e-13,,1.266e-16,4.416e-13
204.74,1.189e-12,,1.240e-16,1.189e-12
204.77,4.549e-12,,1.202e-16,4.549e-12
204.79,1.012e-11,,1.176e-16,1.012e-11
204.82,2.911e-11,,1.137e-16,2.911e-11
204.84,5.353e-11,,1.111e-16,5.353e-11
204.87,1.157e-10,,1.072e-16,1.157e-10
204.89,1.759e-10,,1.046e-16,1.759e-10
204.91,2.479e-10,,1.020e-16,2.479e-10
204.94,3.593e-10,,9.815e-17,3.593e-10
204.96,4.184e-10,,9.556e-17,4.184e-10
204.99,4.558e-10,,9.167e-17,4.558e-10
205.01,4.388e-10,,8.908e-17,4.388e-10
205.04,3.593e-10,,8.520e-17,3.593e-10
205.06,2.859e-10,,8.260e-17,2.859e-10
205.09,1.759e-10,,7.872e-17,1.759e-10
205.11,1.157e-10,,7.613e-17,1.157e-10
205.14,5.353e-11,,7.224e-17,5.353e-11
205.16,2.911e-11,,6.965e-17,2.911e-11
205.19,1.235e-11,2.229e-12,6.577e-17,1.012e-11
205.21,2.687e-11,2.232e-11,6.318e-17,4.549e-12
205.24,6.152e-10,6.140e-10,5.929e-17,1.189e-12
205.26,5.092e-9,5.091e-9,5.670e-17,4.416e-13
205.29,1.055e-7,1.055e-7,5.282e-17,8.672e-14
205.31,7.242e-7,7.242e-7,5.023e-17,2.664e-14
205.33,4.610e-6,4.610e-6,4.764e-17,7.582e-15
205.36,6.425e-5,6.425e-5,4.375e-17,9.983e-16
205.38,3.386e-4,3.386e-4,4.116e-17,2.349e-16
205.41,3.555e-3,3.555e-3,3.727e-17,2.324e-17
205.43,1.551e-2,1.551e-2,3.468e-17,4.521e-18
205.46,1.227e-1,1.227e-1,3.080e-17,3.362e-19
205.48,4.431e-1,4.431e-1,2.821e-17,5.406e-20
205.51,2.640e+0,2.640e+0,2.432e-17,3.022e-21
205.53,7.894e+0,7.894e+0,2.173e-17,4.017e-22
205.56,3.543e+1,3.543e+1,1.785e-17,1.687e-23
205.58,8.772e+1,8.772e+1,1.526e-17,1.854e-24
205.61,2.966e+2,2.966e+2,5.191e-16,5.854e-26
205.63,6.079e+2,6.079e+2,4.962e-15,5.762e-26
205.66,1.548e+3,1.548e+3,1.273e-13,5.624e-26
205.68,2.627e+3,2.627e+3,1.008e-12,5.532e-26
205.7,4.134e+3,4.134e+3,7.406e-12,5.440e-26
205.73,7.081e+3,7.081e+3,1.280e-10,5.302e-26
205.75,9.224e+3,9.224e+3,7.792e-10,5.210e-26
205.78,1.190e+4,1.190e+4,1.016e-8,5.072e-26
205.8,1.284e+4,1.284e+4,5.122e-8,4.980e-26
205.83,1.248e+4,1.248e+4,5.035e-7,4.842e-26
205.85,1.114e+4,1.114e+4,2.103e-6,4.751e-26
205.88,8.158e+3,8.158e+3,1.560e-5,4.613e-26
205.9,6.031e+3,6.031e+3,5.398e-5,4.521e-26
205.93,3.327e+3,3.327e+3,3.018e-4,4.383e-26
205.95,2.036e+3,2.036e+3,8.655e-4,4.291e-26
205.98,8.460e+2,8.460e+2,3.650e-3,4.153e-26
206,4.286e+2,4.286e+2,8.671e-3,4.061e-26
206.03,1.342e+2,1.342e+2,2.757e-2,3.923e-26
206.05,5.633e+1,5.628e+1,5.428e-2,3.831e-26
206.07,2.199e+1,2.189e+1,9.909e-2,3.739e-26
206.1,4.821e+0,4.609e+0,2.123e-1,3.601e-26
206.12,1.805e+0,1.484e+0,3.211e-1,3.509e-26
206.15,7.541e-1,2.354e-1,5.188e-1,3.371e-26
206.17,7.129e-1,6.274e-2,6.502e-1,3.280e-26
206.2,7.996e-1,7.496e-3,7.921e-1,3.142e-26
206.22,8.242e-1,1.654e-3,8.225e-1,3.050e-26
206.25,7.559e-1,1.489e-4,7.557e-1,2.912e-26
206.27,6.502e-1,2.721e-5,6.502e-1,2.820e-26
206.3,4.505e-1,1.845e-6,4.505e-1,2.682e-26
