wavelength,intensity
299.2,3.419e-29
299.22,1.235e-27
299.25,1.261e-25
299.27,2.585e-24
299.29,4.836e-23
299.32,3.429e-21
299.34,5.3810000000000004e-20
299.37,2.934e-18
299.39,3.865e-17
299.42,1.621e-15
299.44,1.794e-14
299.47,5.793e-13
299.49,5.383e-12
299.52,1.338e-10
299.54,1.044e-09
299.57,1.998e-08
299.59,1.309e-07
299.62,1.926e-06
299.64,1.06e-05
299.67,0.0001197
299.69,0.0005519
299.72,0.004778
299.74,0.01842
299.77,0.1217
299.79,0.3914
299.82,1.967
299.84,5.262
299.87,20.03
299.89,44.46
299.92,127.7
299.94,234.7
299.97,507.3
299.99,771.0
300.02,1251.0
300.04,1570.0
300.07,1910.0
300.09,1978.0
300.12,1806.0
300.14,1548.0
300.16,1235.0
300.19,779.1
300.21,540.2
300.24,307.1
300.26,221.9
300.29,156.4
300.31,132.1
300.34,102.7
300.36,83.83
300.39,58.19
300.41,44.84
300.44,32.13
300.46,28.15
300.49,27.0
300.51,28.55
300.54,34.72
300.56,43.41
300.59,70.07
300.61,102.3
300.64,182.4
300.66,262.0
300.69,424.6
300.71,558.4
300.74,775.3
300.76,907.6
300.79,1040.0
300.81,1064.0
300.84,999.4
300.86,909.3
300.89,753.0
300.91,657.7
300.94,540.5
300.96,473.4
300.99,374.4
301.01,307.1
301.03,242.5
301.06,161.9
301.08,124.2
301.11,90.73
301.13,78.92
301.16,66.77
301.18,58.34
301.21,43.27
301.23,32.67
301.26,18.7
301.28,11.73
301.31,5.061
301.33,2.655
301.36,1.033
301.38,0.8329
301.41,1.702
301.43,3.377
301.46,8.744
301.48,15.21
301.51,30.96
301.53,46.17
301.56,76.51
301.58,101.8
301.61,147.8
301.63,183.9
301.66,244.5
301.68,285.1
301.71,334.5
301.73,352.4
301.76,351.8
301.78,337.6
301.81,317.9
301.83,327.3
301.86,431.9
301.88,615.8
301.9,954.4
301.93,1902.0
301.95,2910.0
301.98,4988.0
302.0,6604.0
302.03,8861.0
302.05,9888.0
302.08,10240.0
302.1,9614.0
302.13,7699.0
302.15,6103.0
302.18,3802.0
302.2,2557.0
302.23,1258.0
302.25,739.0
302.28,333.8
302.3,224.6
302.33,186.9
302.35,202.4
302.38,245.8
302.4,280.1
302.43,349.3
302.45,421.9
302.48,592.1
302.5,744.6
302.53,990.3
302.55,1124.0
302.58,1208.0
302.6,1167.0
302.63,976.2
302.65,797.7
302.68,522.2
302.7,364.3
302.73,190.0
302.75,115.3
302.77,67.81
302.8,34.27
302.82,30.28
302.85,45.78
302.87,69.1
302.9,120.8
302.92,162.3
302.95,222.6
302.97,252.4
303.0,269.9
303.02,262.0
303.05,229.2
303.07,201.9
303.1,165.5
303.12,147.3
303.15,126.5
303.17,113.4
303.2,90.73
303.22,73.74
303.25,48.88
303.27,34.89
303.3,19.65
303.32,13.09
303.35,7.122
303.37,4.777
303.4,2.606
303.42,1.745
303.45,1.265
303.47,1.796
303.5,5.774
303.52,13.36
303.55,42.37
303.57,83.68
303.6,201.9
303.62,330.6
303.64,501.8
303.67,814.1
303.69,1022.0
303.72,1248.0
