Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
710,3485.05,0.249,0,,,,8,
710,3485.05,0.249,28685.758,,,,6,
210,3507.94,0.06,1410.304,,,,10,N
210,3507.94,0.06,29908.9,,,,10,N
1200,3560.8,0.73,5455.84,,,,16,
1200,3560.8,0.73,33531.39,,,,14,
1000,3577.45,0.6,3793.63,,,,14,
1000,3577.45,0.6,31738.48,,,,12,
500,3655.843,0.449,2563.233,4f(2F～)5d2(3F),4I～,11月2日,12,
500,3655.843,0.449,29908.904,4f5d(3G～)6p,4H,9月2日,10,
700,3801.52,1.39,7233.627,4f5d(3G～)6s,4G～,11月2日,12,N
700,3801.52,1.39,33531.388,4f5d(3G～)6p,4H,2月13日,14,N
600,3942.157,0.431,0,4f(2F～)5d2(3F),4H～,7月2日,8,N
600,3942.157,0.431,25359.686,4f5d(3F～)6p,4G,5月2日,6,N
800,3942.746,1.32,6913.392,4f5d(3H～)6s,4H～,2月13日,14,N
800,3942.746,1.32,32269.252,4f5d(3H～)6p,4I,2月15日,16,N
900,3952.545,0.335,2641.559,4f5d(1G～)6s,～,7月2日,8,N
900,3952.545,0.335,27934.638,4f5d(3H～)6p, ,9月2日,10,N
800,3999.237,0.396,2382.246,4f5d(1G～)6s,～,9月2日,10,N
800,3999.237,0.396,27379.949,4f5d(1G～)6p, ,11月2日,12,N
800,4012.387,0.67,4523.033,4f5d(3H～)6s,4H～,9月2日,10,N
800,4012.387,0.67,29438.817,4f5d(3H～)6p, ,11月2日,12,N
600,4040.752,0.66,3593.882,4f5d(1G～)6s,～,9月2日,10,N
600,4040.752,0.66,28334.756,4f5d(3H～)6p, ,9月2日,10,N
1800,4073.48,1.09,3854.01,,,,8,N
1800,4073.48,1.09,28396.15,,,,6,N
910,4083.22,0.62,5651.36,,,,12,
910,4083.22,0.62,30134.91,,,,12,
600,4137.649,0.82,4165.55,4f2(3H)6s,4H,9月2日,10,N
600,4137.649,0.82,28327.071,4f2(3H4)6p3/2,"(4,3/2)～",11月2日,12,N
1300,4165.59,0.9,7341,,,,12,N
1300,4165.59,0.9,31340.39,,,,14,N
2000,4289.935,0.584,2641.559,4f5d(1G～)6s,～,7月2日,8,
2000,4289.935,0.584,25945.396,4f5d(1G～)6p, ,7月2日,8,
1500,4296.07,0.532,4165.55,,,,10,N
1500,4296.07,0.532,27432.78,,,,10,N
910,4364.66,0.295,3995.46,,,,8,N
910,4364.66,0.295,26900.354,,,,8,N
700,4460.204,0.8,3854.012,4f2(3H)6s,4H,7月2日,8,N
700,4460.204,0.8,26268.203,4f2(3H4)6p1/2,"(4,1/2)～",7月2日,8,N
1400,4471.24,0.56,5616.74,,,,10,
1400,4471.24,0.56,27975.62,,,,10,
840,4486.91,0.22,2382.246,,,,10,N
840,4486.91,0.22,24663.053,,,,10,N
600,4562.358,0.518,3854.012,4f2(3H)6s,4H,7月2日,8,N
600,4562.358,0.518,25766.355,4f2(3H4)6p1/2,"(4,1/2)～",9月2日,10,N
820,4593.93,0.311,5616.74,,,,10,N
820,4593.93,0.311,27378.52,,,,12,N
1700,4628.16,0.425,4165.55,,,,10,N
1700,4628.16,0.425,25766.36,,,,10,N
230,4773.94,0.2,7454.95,,,,4,
230,4773.94,0.2,28396.15,,,,6,
180,5044.02,0.135,9771.96,,,,16,N
180,5044.02,0.135,29591.87,,,,14,N
240,5075.35,0.115,8278.05,,,,12,
240,5075.35,0.115,27975.62,,,,10,
450,5353.53,0.288,7092.265,,,,12,
450,5353.53,0.288,25766.35,,,,10,
300,5393.392,0.199,8896.729,,,,12,
300,5393.392,0.199,27432.782,,,,10,
280,5409.23,0.098,8896.729,,,,12,
280,5409.23,0.098,27378.515,,,,12,
35,7061.75,0.081,15593.66,,,,14,
35,7061.75,0.081,29750.547,,,,12,
35,7086.353,0.126,17232.652,,,,16,
35,7086.353,0.126,31340.393,,,,14,
16,7851.18,0.0199,15593.66,,,,14,
16,7851.18,0.0199,28327.071,,,,12,
