Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
90,3111.427,0.34,0,4f76s2,a 8S～,7月2日,8,
90,3111.427,0.34,32130.25,4f6(7F)5d6s2,8P,9月2日,10,
90,3212.804,0.33,0,4f76s2,a 8S～,7月2日,8,
90,3212.804,0.33,31116.38,4f6(7F)5d6s2,8P,7月2日,8,
90,3334.313,0.39,0,4f76s2,a 8S～,7月2日,8,
90,3334.313,0.39,29982.5,4f6(7F)5d6s2,8P,5月2日,6,
1000,4594.03,1.6,0,4f76s2,a 8S～,7月2日,8,
1000,4594.03,1.6,21761.26,4f7(8S～)6s6p(1P～),y 8P,9月2日,10,
900,4627.22,1.53,0,4f76s2,a 8S～,7月2日,8,
900,4627.22,1.53,21605.17,4f7(8S～)6s6p(1P～),y 8P,7月2日,8,
800,4661.88,1.45,0,4f76s2,a 8S～,7月2日,8,
800,4661.88,1.45,21444.58,4f7(8S～)6s6p(1P～),y 8P,5月2日,6,
70,5215.1,0.4,13778.68,4f7(8S～)5d (9D～)6s,a 10D～,2月13日,14,
70,5215.1,0.4,32948.41,4f7(8S～)5d (9D～)6p,y 10P,11月2日,12,
50,5357.61,0.23,13457.21,4f7(8S～)5d (9D～)6s,a 10D～,11月2日,12,
50,5357.61,0.23,32117.1,4f7(8S～)5d (9D～)6p,z 10D,2月13日,14,
50,5830.98,0.51,13778.68,4f7(8S～)5d (9D～)6s,a 10D～,2月13日,14,
50,5830.98,0.51,30923.71,4f7(8S～)5d (9D～)6p,z 10F,2月15日,16,
