Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
1000,3645.42,0.43,0,,,,5,N
1000,3645.42,0.43,27423.91,,,,3,N
250,3759.08,0.49,1970.7,5d2,a 3F,4,9,N
250,3759.08,0.49,28565.4,5d6p,x 3F¡«,4,9,N
400,3790.83,0.99,1016.1,5d2,a 3F,3,7,N
400,3790.83,0.99,27388.11,5d6p,y 3D¡«,2,5,N
400,3794.78,1.07,1970.7,5d2,a 3F,4,9,N
400,3794.78,1.07,28315.25,5d6p,y 3D¡«,3,7,N
400,3871.64,0.467,1016.1,5d2,a 3F,3,7,N
400,3871.64,0.467,26837.66,5d6p,x 3F¡«,3,7,N
1000,3949.1,1.47,3250.35,5d6s,a 3D,3,7,
1000,3949.1,1.47,28565.4,5d6p,x 3F¡«,4,9,
500,3988.52,0.97,3250.35,5d6s,a 3D,3,7,
500,3988.52,0.97,28315.25,5d6p,y 3D¡«,3,7,
400,3995.75,0.72,1394.46,5d2, ,2,5,
400,3995.75,0.72,26414.01,5d6p,x 3F¡«,2,5,
300,4031.69,0.68,2591.6,5d6s,a 3D,2,5,N
300,4031.69,0.68,27388.11,5d6p,y 3D¡«,2,5,N
,,,,,,,,
,,,,,,,,
300,4077.35,0.7,1895.15,5d6s,a 3D,1,3,
300,4077.35,0.7,26414.01,5d6p,x 3F¡«,2,5,
600,4086.72,0.68,0,5d2,a 3F,2,5,N
600,4086.72,0.68,24462.66,5d6p,y 1D¡«,2,5,N
500,4123.23,0.75,2591.6,5d6s,a 3D,2,5,
500,4123.23,0.75,26837.66,5d6p,x 3F¡«,3,7,
1500,4196.55,0.381,2591.6,,,,5,N
1500,4196.55,0.381,26414.01,,,,5,N
500,4333.74,0.62,1394.46,5d2, ,2,5,N
500,4333.74,0.62,24462.66,5d6p,y 1D¡«,2,5,N
2000,4429.9,0.303,1895.15,,,,3,
2000,4429.9,0.303,24462.66,,,,5,
410,4613.39,0.11,5718.12,,,1,3,
410,4613.39,0.11,27388.11,,,2,5,
230,4728.42,0.0177,1394.46,,,,5,
230,4728.42,0.0177,22537.3,,,,7,
1000,4921.78,0.088,1970.7,,,,9,N
1000,4921.78,0.088,22282.9,,,,11,N
720,4999.47,0.09,3250.35,,,,7,
720,4999.47,0.09,23246.93,,,,5,
850,5183.42,0.089,3250.35,,,,7,
850,5183.42,0.089,22537.3,,,,7,
140,5380.99,0.057,7394.57,,,,1,N
140,5380.99,0.057,25973.37,,,,3,N
220,5797.58,0.0096,1970.7,,,,9,N
220,5797.58,0.0096,19214.54,,,,9,N
260,6262.3,0.0114,3250.35,,,,7,N
260,6262.3,0.0114,19214.54,,,,9,N
