Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
700,3081.47,2.62,1993.92,5d(2D)6s2,2D,5月2日,6,N
700,3081.47,2.62,34436.49,5d6s(3D)6p,2P～,3月2日,4,N
400,3118.43,2.03,0,5d(2D)6s2,2D,3月2日,4,N
400,3118.43,2.03,32058.1,5d6s(3D)6p,2P～,1月2日,2,N
500,3278.97,1,0,5d(2D)6s2,2D,3月2日,4,N
500,3278.97,1,30488.62,6s2(1S)7p,2P～,3月2日,4,N
1000,3281.74,3.05,1993.92,5d(2D)6s2,2D,5月2日,6,
1000,3281.74,3.05,32456.87,5d6s(1D)6p,2D～,5月2日,6,
800,3312.11,1.85,0,5d(2D)6s2,2D,3月2日,4,
800,3312.11,1.85,30183.55,5d6s(3D)6p,2F～,5月2日,6,
1000,3359.56,2.44,1993.92,5d(2D)6s2,2D,5月2日,6,
1000,3359.56,2.44,31751.17,5d6s(3D)6p,2F～,7月2日,8,
800,3376.5,1.68,0,5d(2D)6s2,2D,3月2日,4,
800,3376.5,1.68,29607.98,5d6s(1D)6p,2D～,3月2日,4,
600,3567.84,0.69,0,5d(2D)6s2,2D,3月2日,4,N
600,3567.84,0.69,28020.18,5d6s(1D)6p,2F～,5月2日,6,N
300,3647.77,0.92,4136,6s2(1S)6p,2P～,1月2日,2,N
300,3647.77,0.92,31542.24,6s2(1S)6d,2D,3月2日,4,N
400,3841.18,0.265,1993.92,5d(2D)6s2,2D,5月2日,6,N
400,3841.18,0.265,28020.18,5d6s(1D)6p,2F～,5月2日,6,N
400,4124.73,0.89,7476.35,6s2(1S)6p,2P～,3月2日,4,N
400,4124.73,0.89,31713.6,6s2(1S)6d,2D,5月2日,6,N
400,4518.57,0.226,0,5d(2D)6s2,2D,3月2日,4,N
400,4518.57,0.226,22124.7,5d6s(3D)6p,2D～,3月2日,4,N
400,5135.09,0.091,1993.92,5d(2D)6s2,2D,5月2日,6,N
400,5135.09,0.091,21462.35,5d6s(3D)6p,2D～,5月2日,6,N
200,6004.52,0.49,7476.35,6s2(1S)6p,2P～,3月2日,4,
200,6004.52,0.49,24125.86,6s2(1S)7s,2S,1月2日,2,
