Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
400,3784.25,0.55,3066.755,4f4(5I)6s,4I,11月2日,12,N
400,3784.25,0.55,29484.605,4f4(5I)6p,4I～,11月2日,12,N
500,3805.36,0.45,2585.46,4f4(5I)6s,6I,2月13日,14,N
500,3805.36,0.45,28856.895,4f4(5I)6p,6I～,2月15日,16,N
  400*,3851.66,0.091,2585.46,4f4(5I)6s,6I,2月13日,14,N
  400*,3851.66,0.091,28540.945, ,～,2月15日,16,N
,,,,,,,,
,,,,,,,,
  700*,3863.33,0.117,0,4f4(5I)6s,6I,7月2日,8,N
  700*,3863.33,0.117,25877.16,4f4(5I)6p,6I～,9月2日,10,N
  700*,3863.4,0.72,0,4f4(5I)6s,6I,7月2日,8,N
  700*,3863.4,0.72,25876.545,4f4(5I)6p,6H～,5月2日,6,N
400,3900.21,0.395,3801.93,4f4(5I)6s,6I,2月15日,16,N
400,3900.21,0.395,29434.255,4f4(5I)6p,6H～,2月13日,14,N
400,3911.16,0.347,3801.93,4f4(5I)6s,6I,2月15日,16,N
400,3911.16,0.347,29362.52, ,～,2月15日,16,N
400,3941.51,0.413,513.33,4f4(5I)6s,6I,9月2日,10,N
400,3941.51,0.413,25877.16,4f4(5I)6p,6I～,9月2日,10,N
400,3951.16,0.393,1470.105,4f4(5I)6s,6I,11月2日,12,N
400,3951.16,0.393,26772.08,4f4(5I)6p,6I～,11月2日,12,N
700,4012.25,1.34,5085.64,4f4(5I)6s,6I,2月17日,18,N
700,4012.25,1.34,30002.31,4f4(5I)6p,6K～,2月19日,20,N
600,4040.8,0.382,1470.105,4f4(5I)6s,6I,11月2日,12,N
600,4040.8,0.382,26210.74, ,～,2月13日,14,N
900,4061.09,0.8,3801.93,4f4(5I)6s,6I,2月15日,16,N
900,4061.09,0.8,28418.97,4f4(5I)6p,6K～,2月17日,18,N
500,4109.46,0.55,2585.46,4f4(5I)6s,6I,2月13日,14,N
500,4109.46,0.55,26912.765,4f4(5I)6p,6K～,2月15日,16,N
600,4156.08,0.42,1470.105,4f4(5I)6s,6I,11月2日,12,N
600,4156.08,0.42,25524.47,4f4(5I)6p,6K～,2月13日,14,N
400,4177.32,0.252,513.33,4f4(5I)6s,6I,9月2日,10,N
400,4177.32,0.252,24445.38,4f4(5I)6p,6K～,11月2日,12,N
400,4247.38,0.227,0,4f4(5I)6s,6I,7月2日,8,N
400,4247.38,0.227,23537.38, ,～,9月2日,10,N
1000,4303.58,0.437,0,4f4(5I)6s,6I,7月2日,8,N
1000,4303.58,0.437,23229.98,4f4(5I)6p,6K～,9月2日,10,N
470,4706.54,0.098,0,,,,8,
470,4706.54,0.098,21241.075,,,,6,
290,4959.13,0.0413,513.33,,,,10,
290,4959.13,0.0413,20672.57,,,,10,
720,5249.59,0.242,7868.91,,,,18,
720,5249.59,0.242,26912.76,,,,16,
150,5371.93,0.115,11392.19,,,,20,
150,5371.93,0.115,30002.31,,,,20,
160,5431.52,0.054,9042.76,,,,16,
160,5431.52,0.054,27448.71,,,,14,
220,5620.54,0.13,12459.99,,,,18,
220,5620.54,0.13,30246.77,,,,18,
220,5688.52,0.073,7950.07,,,,14,
220,5688.52,0.073,25524.47,,,,14,
