Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
  700*,4062.804,0.58,3403.21,4f3(4Iбл13/2)6s1/2,"(13/2,1/2)бл",6,13,
  700*,4062.804,0.58,28009.8,4f3(4Iбл)6p,3K,7,15,
,,,,,,,,
,,,,,,,,
600,4100.717,0.84,4437.14,4f3(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17,
600,4100.717,0.84,28816.25,4f3(4Iбл)6p,5K,9,19,
500,4143.112,0.89,2998.36,4f3(4Iбл13/2)6s1/2,"(13/2,1/2)бл",7,15,
500,4143.112,0.89,27128,4f3(4Iбл)6p,5K,8,17,
1000,4179.391,0.68,1649.01,4f3(4Iбл11/2)6s1/2,"(11/2,1/2)бл",6,13,
1000,4179.391,0.68,25569.19,4f3(4Iбл)6p,5K,7,15,
500,4189.479,0.68,2998.36,4f3(4Iбл13/2)6s1/2,"(13/2,1/2)бл",7,15,
500,4189.479,0.68,26860.95,4f3(4Iбл)6p,5I,7,15,
500,4206.719,0.46,4437.14,4f3(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17,N
500,4206.719,0.46,28201.95,4f3(4Iбл)6p,5I,8,17,N
700,4222.931,0.47,441.95,4f3(4Iбл9/2)6s1/2,"(9/2,1/2)бл",5,11,
700,4222.931,0.47,24115.48,4f3(4Iбл)6p,5K,6,13,
700,4225.346,0.87,0,4f3(4Iбл9/2)6s1/2,"(9/2,1/2)бл",4,9,
700,4225.346,0.87,23660.08,4f3(4Iбл)6p,5I,4,9,
1700,4408.819,0.358,0,,,,9,
1700,4408.819,0.358,22675.44,,,,11,
620,5173.9,0.33,7805.61,,,,19,
620,5173.9,0.33,27128,,,,17,
560,5220.11,0.307,6417.83,,,,17,
560,5220.11,0.307,25569.19,,,,15,
65,5940.72,0.15,11749.49,,,,13,
65,5940.72,0.15,28577.79,,,,15,
65,6087.53,0.06,9045,,,,7,
65,6087.53,0.06,25467.47,,,,9,
190,6161.18,0.102,8489.87,,,,11,
190,6161.18,0.102,24716.04,,,,11,
28,6347.11,0.087,12826.94,,,,13,
28,6347.11,0.087,28577.79,,,,15,
75,6673.41,0.087,13029.09,,,,17,
75,6673.41,0.087,28009.8,,,,15,
24,7227.7,0.021,13029.09,,,,17,
24,7227.7,0.021,26860.95,,,,15,
20,745.172,0.02,13029.09,,,,17,
20,745.172,0.02,26445.11,,,,15,
