Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
500,3830.261, ,285.53,4f8(7F)5d6s2,8G,2月13日,14,N
500,3830.261, ,26386.005, ,～,2月15日,16,N
500,3901.325, ,462.12,4f8(7F)5d6s2,8G,2月15日,16,N
500,3901.325, ,26087.175,4f85d6s6p?,～,2月17日,18,N
300,4032.284, ,2310.12,4f8(7F)5d6s2,8D,11月2日,12,N
300,4032.284, ,27102.955, ,～,11月2日,12,N
400,4061.558, ,462.12,4f8(7F)5d6s2,8G,2月15日,16,N
400,4061.558, ,25076.265, ,～,2月15日,16,N
700,4318.847, ,0,4f96s2,6H～,2月15日,16,N
700,4318.847, ,23147.82,4f9(6H～15/2)6s6p(1P～1),"(15/2,1)",2月15日,16,N
1000,4326.472, ,0,4f96s2,6H～,2月15日,16,N
1000,4326.472, ,23107.025,4f9(6H～15/2)6s6p(1P～1),"(15/2,1)",2月17日,18,N
300,4336.455, ,2771.675,4f96s2,6H～,2月13日,14,N
300,4336.455, ,25825.505,4f9(6H～13/2)6s6p(1P～1),"(13/2,1)",2月15日,16,N
600,4338.435, ,0,4f96s2,6H～,2月15日,16,N
600,4338.435, ,23043.31,4f9(6H～15/2)6s6p(1P～1),"(15/2,1)",2月13日,14,N
300,4356.837, ,2771.675,4f96s2,6H～,2月13日,14,N
300,4356.837, ,25717.655,4f9(6H～13/2)6s6p(1P～1),"(13/2,1)",2月13日,14,N
50,5354.88, ,462.12,4f8(7F)5d6s2,8G,2月15日,16,N
50,5354.88, ,19131.48,4f85d6s6p?,～,2月17日,18,N
