Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
800,3717.914,1.44,0,4f13(2F～)6s2,2F～,7月2日,8,N
800,3717.914,1.44,26889.125,4f12(3H5)5d5/26s2,"(5,5/2)",9月2日,10,N
500,3744.064,0.99,0,4f13(2F～)6s2,2F～,7月2日,8,N
500,3744.064,0.99,26701.325,4f13(2F～7/2)6s6p(1P～1), ,7月2日,8,N
700,3883.132,1.06,0,4f13(2F～)6s2,2F～,7月2日,8,N
700,3883.132,1.06,25745.117,4f13(2F～7/2)6s6p(1P～1), ,5月2日,6,N
500,3887.348,0.372,0,4f13(2F～)6s2,2F～,7月2日,8,N
500,3887.348,0.372,25717.197,4f12(3H5)5d5/26s2,"(5,5/2)",7月2日,8,N
400,3916.477,1.98,8771.243,4f13(2F～)6s2,2F～,5月2日,6,N
400,3916.477,1.98,34297.17,4f13(2F～5/2)6s6p(1P～1),"(5/2,1)",7月2日,8,N
1000,4094.187,0.979,0,4f13(2F～)6s2,2F～,7月2日,8,N
1000,4094.187,0.979,24418.018,4f13(2F～7/2)6s6p(1P～1),"(7/2,1)",5月2日,6,N
1000,4105.841,0.636,0,4f13(2F～)6s2,2F～,7月2日,8,N
1000,4105.841,0.636,24348.692,4f12(3H5)5d3/26s2,"(5,3/2)",9月2日,10,N
900,4187.615,0.64,0,4f13(2F～)6s2,2F～,7月2日,8,N
900,4187.615,0.64,23873.207,4f12(3F4)5d5/26s2, ,7月2日,8,N
600,4203.727,0.243,0,4f13(2F～)6s2,2F～,7月2日,8,N
600,4203.727,0.243,23781.698,4f12(3F4)5d5/26s2,"(4,5/2)",9月2日,10,N
250,4359.928,0.12,0,4f13(2F～)6s2,2F～,7月2日,8,N
250,4359.928,0.12,22929.717,4f12(3H5)5d5/26s2, ,5月2日,6,N
140,4386.434,0.037,0,4f13(2F～)6s2,2F～,7月2日,8,N
140,4386.434,0.037,22791.176,4f12(3H5)5d3/26s2,"(5,3/2)",7月2日,8,N
70,4733.335,0.02,0,4f13(2F～)6s2,2F～,7月2日,8,N
70,4733.335,0.02,21120.836,4f12(3F4)5d3/26s2,"(4,3/2)",7月2日,8,N
60,5307.116,0.022,0,4f13(2F～)6s2,2F～,7月2日,8,N
60,5307.116,0.022,18837.385,4f12(3H6)5d5/26s2,"(6,5/2)",9月2日,10,N
50,5675.835,0.013,0,4f13(2F～)6s2,2F～,7月2日,8,N
50,5675.835,0.013,17613.659,4f13(2F～7/2)6s6p(3P～1),"(7/2,1)",9月2日,10,N
