Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
800,4045.97,1.92,0,4f106s2,5I,8,17,N
800,4045.97,1.92,24708.971,4f10(5I8)6s6p(1Pбл1),"(8,1)бл",7,15,N
400,4167.974,1.92,4134.222,4f106s2,5I,7,15,N
400,4167.974,1.92,28119.931,4f10(5I7)6s6p(1Pбл1),"(7,1)бл",6,13,N
800,4186.821,1.26,0,4f106s2,5I,8,17,N
800,4186.821,1.26,23877.739,4f10(5I8)6s6p(1Pбл1),"(8,1)бл",8,17,N
140,4191.64,0.71,4134.222,4f106s2,5I,7,15,N
140,4191.64,0.71,27984.513,4f9(6Hбл)5d2(3F) (8Lбл)6s,бл,7,15,N
400,4194.846,0.88,0,4f106s2,5I,8,17,N
400,4194.846,0.88,23832.06,4f9(6Hбл)5d2(3F) (8Kбл)6s,бл,8,17,N
1000,4211.714,2.08,0,4f106s2,5I,8,17,
1000,4211.714,2.08,23736.61,4f10(5I8)6s6p(1Pбл1),"(8,1)бл",9,19,
250,4215.159,0.81,4134.222,4f106s2,5I,7,15,
250,4215.159,0.81,27851.435,4f9(6Hбл)5d2(3P) (8Iбл)6s,бл,8,17,
300,4218.092,1.2,4134.222,4f106s2,5I,7,15,
300,4218.092,1.2,27834.933,4f10(5I7)6s6p(1Pбл1),"(7,1)бл",7,15,
300,4221.11,1.28,4134.222,4f106s2,5I,7,15,N
300,4221.11,1.28,27818,4f10(5I7)6s6p(1Pбл1),"(7,1)бл",8,17,N
150,4225.154,1.95,7050.603,4f106s2,5I,6,13,N
150,4225.154,1.95,30711.717,4f10(5I6)6s6p(1Pбл1),"(6,1)бл",7,15,N
130,4589.364,0.137,0,4f106s2,5I,8,17,N
130,4589.364,0.137,21783.407,4f9(6Hбл)5d6s2,5Kбл,7,15,N
