Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
500,3862.851,1.16,0,4f126s2,3H,6,13,N
500,3862.851,1.16,25880.274,4f12(3H)6s6p,бл,6,13,N
300,3892.684,0.728,0,4f126s2,3H,6,13,N
300,3892.684,0.728,25681.933,4f11(4Fбл)5d 6s2,бл,5,11,N
250,3937.014,0.292,0,4f126s2,3H,6,13,N
250,3937.014,0.292,25392.779,4f11(4Fбл)5d 6s2,бл,6,13,N
250,3944.42, ,5035.193,4f126s2,3F,4,9,N
250,3944.42, ,30380.282,4f11(4Iбл)5d2(3F) (4Fбл)6s,бл,5,11,N
200,3973.036,0.479,0,4f126s2,3H,6,13,N
200,3973.036,0.479,25162.553,4f11(4Iбл)5d 6s2,бл,5,11,N
250,3973.575,0.366,0,4f126s2,3H,6,13,N
250,3973.575,0.366,25159.143, ,бл,7,15,N
1000,4007.965,1.73,0,4f126s2,3H,6,13,N
1000,4007.965,1.73,24943.272,4f12(3H)6s6p,бл,7,15,N
200,4020.512, ,6958.329,4f126s2,3H,5,11,N
200,4020.512, ,31823.748,4f12(3H)6s6p,бл,6,13,N
250,4087.632,0.303,0,4f126s2,3H,6,13,N
250,4087.632,0.303,24457.139,4f11(4Iбл)5d 6s2,бл,6,13,N
500,4151.108,0.96,0,4f126s2,3H,6,13,N
500,4151.108,0.96,24083.166,4f12(3H)6s6p,бл,5,11,N
70,4606.606,0.0754,0,4f126s2,3H,6,13,N
70,4606.606,0.0754,21701.885,4f11(4Iбл11/2)5d5/26s2,"(11/2,5/2)бл",6,13,N
30,5826.786,0.0104,0,4f126s2,3H,6,13,N
30,5826.786,0.0104,17157.307,4f12(3H6)6s6p(3Pбл1),"(6,1)бл",7,15,N
25,6221.019,0.0084,0,4f126s2,3H,6,13,N
25,6221.019,0.0084,16070.095,4f11(4Iбл13/2)5d3/26s2,"(13/2,3/2)бл",6,13,N
