Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
300,4040.81,0.373,0,4f116s2,4I～,2月15日,16,N
300,4040.81,0.373,24740.52,4f105d6s2, ,2月13日,14,N
900,4053.87,1.62,0,4f116s2,4I～,2月15日,16,N
900,4053.87,1.62,24660.8,4f11(4I～15/2)6s6p(1P～1),"(15/2,1)",2月15日,16,N
1000,4103.8,1.55,0,4f116s2,4I～,2月15日,16,N
1000,4103.8,1.55,24360.81,4f11(4I～15/2)6s6p(1P～1),"(15/2,1)",2月17日,18,N
300,4108.62,2,5419.7,4f116s2,4I～,2月13日,14,N
300,4108.62,2,29751.91,4f11(4I～13/2)6s6p(1P～1),"(13/2,1)",2月13日,14,N
500,4127.16,2.1,5419.7,4f116s2,4I～,2月13日,14,N
500,4127.16,2.1,29642.6,4f11(4I～13/2)6s6p(1P～1),"(13/2,1)",2月15日,16,N
900,4163.03,0.897,0,4f116s2,4I～,2月15日,16,N
900,4163.03,0.897,24014.22,4f11(4I～15/2)6s6p(1P～1),"(15/2,1)",2月13日,14,N
300,4173.2,0.258,0,4f116s2,4I～,2月15日,16,N
300,4173.2,0.258,23955.69,4f11(4I～13/2)6s6p(3P～2),"(13/2,2)",2月13日,14,N
200,4227.13,1.1,5419.7,4f116s2,4I～,2月13日,14,N
200,4227.13,1.1,29069.78,4f11(4I～13/2)6s6p(1P～1),"(13/2,1)",11月2日,12,N
150,4254.38,0.115,0,4f116s2,4I～,2月15日,16,N
150,4254.38,0.115,23498.57,4f11(4I～13/2)6s6p(3P～2),"(13/2,2)",2月17日,18,N
150,4350.73,0.089,0,4f116s2,4I～,2月15日,16,N
150,4350.73,0.089,22978.19,4f10(5I5)5d5/26s2,"(5,5/2)",2月13日,14,N
30,4939.01,0.026,0,4f116s2,4I～,2月15日,16,N
30,4939.01,0.026,20241.31,4f10(5I6)5d5/26s2,"(6,5/2)",2月13日,14,N
25,5982.85,0.0093,0,4f116s2,4I～,2月15日,16,N
25,5982.85,0.0093,16709.82,4f11(4I～15/2)6s6p(3P～1),"(15/2,1)",2月17日,18,N
30,6604.91, ,0,4f116s2,4I～,2月15日,16,N
30,6604.91, ,15136.06,4f10(5I7)5d3/26s2,"(7,3/2)",2月15日,16,N
