Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
300,3574.43,0.95,0,5d6s2,2D,3月2日,4,N
300,3574.43,0.95,27968.54,4f5d(3D～)6s,～,3月2日,4,N
300,4060.33,0.56,4121.572,5d2(3F)6s,4F,9月2日,10,N
300,4060.33,0.56,28743.24,4f5d(3G～)6s,4G～,11月2日,12,N
400,4187.32,0.551,0,5d6s2,2D,3月2日,4,N
400,4187.32,0.551,23874.95,5d6s(3D)6p,～,5月2日,6,N
400,4280.27,0.569,1053.164,5d6s2,2D,5月2日,6,N
400,4280.27,0.569,24409.68,4f5d(1G～)6s,～,7月2日,8,N
500,4949.77,0.9,0,5d6s2,2D,3月2日,4,N
500,4949.77,0.9,20197.34,5d6s(1D)6p,～,1月2日,2,N
600,5145.42,0.82,3010.002,5d2(3F)6s,4F,5月2日,6,N
600,5145.42,0.82,22439.36,5d2(3F)6p,4D～,3月2日,4,N
800,5177.31,0.82,3494.526,5d2(3F)6s,4F,7月2日,8,N
800,5177.31,0.82,22804.25,5d2(3F)6p,4D～,5月2日,6,N
1000,5211.86,0.497,4121.572,5d2(3F)6s,4F,9月2日,10,N
1000,5211.86,0.497,23303.26,5d2(3F)6p,4D～,7月2日,8,N
700,5234.27,0.422,4121.572,5d2(3F)6s,4F,9月2日,10,N
700,5234.27,0.422,23221.1,5d6s(3D)6p,～,7月2日,8,N
700,5455.15,0.407,1053.164,5d6s2,2D,5月2日,6,N
700,5455.15,0.407,19379.4,5d2(3F)6p,2D～,5月2日,6,N
700,5501.34,0.512,0,5d6s2,2D,3月2日,4,N
700,5501.34,0.512,18172.35,5d2(3F)6p,2D～,3月2日,4,N
240,5648.25,0.533,9919.821,,,,10,
240,5648.25,0.533,27619.54,,,,10,
600,5791.34,0.393,4121.572,5d2(3F)6s,4F,9月2日,10,N
600,5791.34,0.393,21384,5d2(3F)6p,4F～,9月2日,10,N
320,5930.68,0.0517,0,,,,4,N
320,5930.68,0.0517,16856.8,,,,6,N
1000,6249.93,0.368,4121.572,5d2(3F)6s,4F,9月2日,10,
1000,6249.93,0.368,20117.38,5d2(3F)6p,4G～,11月2日,12,
600,6394.23,0.301,3494.526,5d2(3F)6s,4F,7月2日,8,N
600,6394.23,0.301,19129.31,5d2(3F)6p,4G～,9月2日,10,N
130,6543.16,0.118,2668.188,,,,4,N
130,6543.16,0.118,17947.13,,,,6,N
140,6578.5,0.064,0,,,,4,
140,6578.5,0.064,15196.83,,,,6,
180,6709.5,0.109,3010.002,,,,6,N
180,6709.5,0.109,17910.17,,,,8,N
70,6925.24,0.087,7011.909,,,,6,N
70,6925.24,0.087,21447.86,,,,8,N
110,7045.96,0.075,2668.188,,,,4,
110,7045.96,0.075,16856.8,,,,6,
50,7161.25,0.122,7011.909,,,,6,
50,7161.25,0.122,20972.17,,,,6,
65,7345.34,0.103,8052.162,,,,8,N
65,7345.34,0.103,21662.52,,,,8,N
50,7379.66,0.086,9919.821,,,,10,
50,7379.66,0.086,23460.92,,,,10,
50,7498.83,0.0247,8052.162,,,,8,N
50,7498.83,0.0247,21384,,,,10,N
