Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
,,,,,,,,
,,,,,,,,
500,4639.55, ,1376.6,4f36s2,4I～,11月2日,12,N
500,4639.55, ,22924.39, , ,9月2日,10,N
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
500,4730.67,0.34,1376.6,4f36s2,4I～,11月2日,12,N
500,4730.67,0.34,22509.4, , ,9月2日,10,N
700,4736.69,0.53,0,4f36s2,4I～,9月2日,10,N
700,4736.69,0.53,21105.88, , ,7月2日,8,N
500,4924.6,0.59,1376.6,4f36s2,4I～,11月2日,12,N
500,4924.6,0.59,21677.15, , ,11月2日,12,N
,,,,,,,,
,,,,,,,,
1000,4951.37,0.83,0,4f36s2,4I～,9月2日,10,N
1000,4951.37,0.83,20190.85,4f3(4I～)6s6p(1P～)?,4I?,9月2日,10,N
,,,,,,,,
,,,,,,,,
500,5026.96,0.4,1376.6,4f36s2,4I～,11月2日,12,N
500,5026.96,0.4,21263.71,4f3(4I～)6s6p?,4K?,2月13日,14,N
800,5045.52,0.71,4381.1,4f36s2,4I～,2月15日,16,N
800,5045.52,0.71,24195.13,4f36s6p?,4K?,2月17日,18,N
500,5087.12,0.44,2846.75,4f36s2,4I～,2月13日,14,N
500,5087.12,0.44,22498.81, , ,2月15日,16,N
700,5133.44,0.38,0,4f36s2,4I～,9月2日,10,N
700,5133.44,0.38,19474.75,4f36s6p?,4I?,11月2日,12,N
