Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
  600*,3745.465,0.27,1489.55,4f66s2,7F,3,7,N
  600*,3745.465,0.27,28180.95,4f5(6F¡«)5d6s2,7F¡«,4,9,N
  400*,3990.025,0.43,3125.46,4f66s2,7F,5,11,N
  400*,3990.025,0.43,28180.95,4f5(6F¡«)5d6s2,7F¡«,4,9,N
1000,4296.743,1,4020.66,4f66s2,7F,6,13,N
1000,4296.743,1,27287.58,4f6(7F)6s6p(1P¡«),7G¡«,7,15,N
600,4336.137, ,3125.46,4f66s2,7F,5,11,N
600,4336.137, ,26180.92, ,¡«,6,13,N
300,4362.912,0.49,0,4f66s2,7F,0,1,N
300,4362.912,0.49,22914.07,4f6(7F)6s6p(1P¡«),7G¡«,1,3,N
500,4470.886, ,2273.09,4f66s2,7F,4,9,N
500,4470.886, ,24633.75,4f5(6F¡«)5d6s2,¡«,4,9,N
500,4716.097, ,3125.46,4f66s2,7F,5,11,N
500,4716.097, ,24323.51,4f6(7F)6s6p(1P¡«),7D¡«,5,11,N
500,4728.423,0.49,1489.55,4f66s2,7F,3,7,N
500,4728.423,0.49,22632.3,4f6(7F)6s6p(1P¡«),7D¡«,3,7,N
500,4760.27,0.13,811.92,4f66s2,7F,2,5,N
500,4760.27,0.13,21813.22,4f6(7F)6s6p(1P¡«),7D¡«,2,5,N
600,4841.701,0.87,4020.66,4f66s2,7F,6,13,N
600,4841.701,0.87,24668.79,4f6(7F)6s6p(1P¡«),¡«,5,11,N
500,4883.971, ,3125.46,4f66s2,7F,5,11,N
500,4883.971, ,23594.84,4f6(7F)6s6p(1P¡«),7D¡«,4,9,N
