Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
500,4632.32,0.138,0,4f5d 6s2,1G¡«,4,9
500,4632.32,0.138,21581.408,4f5d(3H¡«)6s6p(3P¡«), ,5,11
600,5009.098,0.62,3196.607,4f(2F¡«) 5d2(3F)6s (4F),5I¡«,4,9
600,5009.098,0.62,23154.693, , ,3,7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
700,5223.461,0.65,4762.718,4f26s2,3H,4,9
700,5223.461,0.65,23901.786,4f2(3H4)6s6p(1P¡«1),"(4,1)¡«",4,9
700,5245.916,0.491,4762.718,4f26s2,3H,4,9
700,5245.916,0.491,23819.871,4f2(3H4)6s6p(1P¡«1),"(4,1)¡«",5,11
600,5601.28,0.65,6809.128,4f(2F¡«) 5d2(3F)6s (4F),5I¡«,8,17
600,5601.28,0.65,24657.245,4f(2F¡«)5d2(3F) (4I¡«)6p,5I,8,17
600,5669.959,0.347,3210.583,4f(2F¡«) 5d2(3F)6s (4F),¡«,5,11
600,5669.959,0.347,20842.504,4f(2F¡«)5d2(3F) (4H¡«)6p,5I,6,13
800,5696.993,0.514,5315.803,4f(2F¡«) 5d2(3F)6s (4F),5I¡«,7,15
800,5696.993,0.514,22864.055,4f(2F¡«)5d2(3F) (4I¡«)6p,5K,8,17
,,,,,,,
,,,,,,,
600,5719.031,0.507,5802.108,4f(2F¡«) 5d2(3F)6s (4F),5H¡«,7,15
600,5719.031,0.507,23282.722,4f(2F¡«)5d2(3F) (4H¡«)6p,5I,8,17
600,5940.857,0.277,3764.008,4f(2F¡«) 5d2(3F)6s (4F),5I¡«,5,11
600,5940.857,0.277,20591.937,4f(2F¡«)5d2(3F) (4I¡«)6p,5K,6,13
