Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,mask,
,,(108s-1),Levels (cm -1 ),,,,,,
400,3684.13,0.91,0,4f7(8S¡«)5d6s2,9D¡«,2,5,,
400,3684.13,0.91,27135.695,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«),9P,3,7,,
400,3713.57,0.92,215.124,4f7(8S¡«)5d6s2,9D¡«,3,7,N,
400,3713.57,0.92,27135.695,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«),9P,3,7,N,
400,3717.48,0.68,532.977,4f7(8S¡«)5d6s2,9D¡«,4,9,N,
400,3717.48,0.68,27425.245,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«), ,4,9,N,
600,3783.05,0.94,999.121,4f7(8S¡«)5d6s2,9D¡«,5,11,,
600,3783.05,0.94,27425.245,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«), ,4,9,,
500,4053.64,0.62,999.121,4f7(8S¡«)5d6s2,9D¡«,5,11,N,
500,4053.64,0.62,25661.34,4f7(8S¡«)5d (7D¡«)6s6p(3P¡«), ,6,13,N,
500,4058.22,0.57,215.124,4f7(8S¡«)5d6s2,9D¡«,3,7,N,
500,4058.22,0.57,24849.514,4f7(8S¡«)5d (7D¡«)6s6p(3P¡«), ,4,9,N,
600,4078.7,0.59,532.977,4f7(8S¡«)5d6s2,9D¡«,4,9,N,
600,4078.7,0.59,25043.649,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«), ,5,11,N,
500,4175.54,0.42,1719.087,4f7(8S¡«)5d6s2,9D¡«,6,13,,
500,4175.54,0.42,25661.34,4f7(8S¡«)5d (7D¡«)6s6p(3P¡«), ,6,13,,
500,4190.78,0.3,999.121,4f7(8S¡«)5d6s2,9D¡«,5,11,N,Fe
500,4190.78,0.3,24854.297,4f8(7F)5d (8G)6s,9G,6,13,N,Fe
1000,4225.85,0.89,1719.087,4f7(8S¡«)5d6s2,9D¡«,6,13,,
1000,4225.85,0.89,25376.313,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«), ,7,15,,
400,4313.84,0.43,215.124,4f7(8S¡«)5d6s2,9D¡«,3,7,,
400,4313.84,0.43,23389.782,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«), ,3,7,,
400,4327.12,0.52,0,4f7(8S¡«)5d6s2,9D¡«,2,5,N,"Mn,Tm"
400,4327.12,0.52,23103.66,4f7(8S¡«)5d2(3F) (10F¡«)6p, ,1,3,N,"Mn,Tm"
500,4346.46, ,999.121,4f7(8S¡«)5d6s2,9D¡«,5,11,,
500,4346.46, ,23999.912,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«), ,5,11,,
300,4401.86,0.38,1719.087,4f7(8S¡«)5d6s2,9D¡«,6,13,,
300,4401.86,0.38,24430.425,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«), ,6,13,,
300,4422.41,0.28,215.124,4f7(8S¡«)5d6s2,9D¡«,3,7,N,
300,4422.41,0.28,22820.895,4f7(8S¡«)5d (7D¡«)6s6p(3P¡«),9D,4,9,N,
250,4430.63,0.3,0,4f7(8S¡«)5d6s2,9D¡«,2,5,N,
250,4430.63,0.3,22563.824,4f7(8S¡«)5d (7D¡«)6s6p(3P¡«),9D,3,7,N,
250,4519.66,0.38,215.124,4f7(8S¡«)5d6s2,9D¡«,3,7,,
250,4519.66,0.38,22334.508,4f7(8S¡«)5d (9D¡«)6s6p(1P¡«), ,2,5,,
200,5103.45, ,7947.294,4f7(8S¡«)5d2(3F) (10F¡«)6s,11F¡«,7,15,N,
200,5103.45, ,27536.397,4f7(8S¡«)5d2(3F) (10F¡«)6p,11G,8,17,N,
200,5155.84, ,7480.348,4f7(8S¡«)5d2(3F) (10F¡«)6s,11F¡«,6,13,N,
200,5155.84, ,26870.393,4f7(8S¡«)5d2(3F) (10F¡«)6p,11G,7,15,N,
