Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
90,2195.54,0.714,0.0,6s2,1S,0,1,,
90,2195.54,0.714,45532.33,5d6p,3D¡«,1,3,,
1000,2615.42,4.53,0.0,6s2,1S,0,1,N,
1000,2615.42,4.53,38223.49,6s6p,1P¡«,1,3,N,
250,2701.71, ,14199.08,5d6s,3D,3,7,N,
250,2701.71, ,51201.66,5d6p,3P¡«,2,5,N,
200,2754.17,0.92,12435.32,5d6s,3D,2,5,N,
200,2754.17,0.92,48733.19,5d6p,3D¡«,3,7,N,
400,2894.84,1.66,14199.08,5d6s,3D,3,7,,
400,2894.84,1.66,48733.19,5d6p,3D¡«,3,7,,
250,2900.3, ,12435.32,5d6s,3D,2,5,N,Fe
250,2900.3, ,46904.38,5d6p,3D¡«,2,5,N,Fe
500,2911.39,2.42,14199.08,5d6s,3D,3,7,,
500,2911.39,2.42,48536.83,5d6p,3F¡«,4,9,,
250,2963.32, ,11796.24,5d6s,3D,1,3,N,
250,2963.32, ,45532.33,5d6p,3D¡«,1,3,N,
150,3020.54, ,12435.32,5d6s,3D,2,5,N,Fe
150,3020.54, ,45532.33,5d6p,3D¡«,1,3,N,Fe
400,3077.6,1.24,12435.32,5d6s,3D,2,5,,
400,3077.6,1.24,44918.68,5d6p,3F¡«,3,7,,
250,3254.31,0.6,14199.08,5d6s,3D,3,7,,
250,3254.31,0.6,44918.68,5d6p,3F¡«,3,7,,
250,3397.07, ,11796.24,5d6s,3D,1,3,N,
250,3397.07, ,41224.96,5d6p,3F¡«,2,5,N,
250,3472.48, ,12435.32,5d6s,3D,2,5,N,
250,3472.48, ,41224.96,5d6p,3F¡«,2,5,N,
500,3507.39,0.125,0.0,6s2,1S,0,1,N,
500,3507.39,0.125,28503.16,6s6p,3P¡«,1,3,N,
250,3554.43, ,17332.58,5d6s,1D,2,5,N,Fe
250,3554.43, ,45458.56,5d6p,1D¡«,2,5,N,Fe
120,5476.69, ,14199.08,5d6s,3D,3,7,N,
120,5476.69, ,32453.26,6s6p,3P¡«,2,5,N,
120,6221.87,0.099,12435.32,5d6s,3D,2,5,,
120,6221.87,0.099,28503.16,6s6p,3P¡«,1,3,,
