Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
600,4621.94,0.56,2366.597,4f46s2,5I,6,13,N
600,4621.94,0.56,23996.513, ,бл,6,13,N
1000,4634.24,0.84,0,4f46s2,5I,4,9,N
1000,4634.24,0.84,21572.61,4f46s6p,5Hбл,3,7,N
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
600,4683.45,0.52,0,4f46s2,5I,4,9,N
600,4683.45,0.52,21345.837, ,бл,4,9,N
500,4719.02,0.33,0,4f46s2,5I,4,9,N
500,4719.02,0.33,21184.881, ,бл,4,9,N
700,4883.81,0.88,5048.602,4f46s2,5I,8,17,N
700,4883.81,0.88,25518.7,4f46s6p,5Kбл,9,19,N
500,4896.93,0.59,1128.056,4f46s2,5I,5,11,N
500,4896.93,0.59,21543.326,4f46s6p,5Kбл,6,13,N
900,4924.53,0.9,0,4f46s2,5I,4,9,N
900,4924.53,0.9,20300.875,4f46s6p,5Kбл,5,11,N
500,4944.83,0.67,1128.056,4f46s2,5I,5,11,N
500,4944.83,0.67,21345.572, ,бл,6,13,N
600,4954.78,0.29,0,4f46s2,5I,4,9,N
600,4954.78,0.29,20176.912, ,бл,5,11,N
