Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
1000,3568.271,0.64,3909.62,4f6(7F)6s,8F,2月13日,14,N,
1000,3568.271,0.64,31926.4,4f55d6s?,～,2月15日,16,N,
1000,3592.603,0.66,3052.65,4f6(7F)6s,8F,11月2日,12,,
1000,3592.603,0.66,30879.74,4f55d6s?,～,2月13日,14,,
800,3609.491,0.58,2237.97,4f6(7F)6s,8F,9月2日,10,N,Fe
800,3609.491,0.58,29934.8,4f55d6s?,～,11月2日,12,N,Fe
800,3634.29,0.56,1489.16,4f6(7F)6s,8F,7月2日,8,,
800,3634.29,0.56,28997.14,4f55d6s?,～,9月2日,10,,
250,3693.989,0.091,0,4f6(7F)6s,8F,1月2日,2,N,Fe
250,3693.989,0.091,27063.3,4f55d6s?,～,3月2日,4,N,Fe
  700*,3739.117,0.17,326.64,4f6(7F)6s,8F,3月2日,4,N,
  700*,3739.117,0.17,27063.3,4f55d6s?,～,3月2日,4,N,
  700*,3739.197, ,4386.03,4f6(7F)6s,6F,9月2日,10,N,
  700*,3739.197, ,31122.17, ,～,11月2日,12,N,
  600*,3745.605,0.066,0,4f6(7F)6s,8F,1月2日,2,N,
  600*,3745.605,0.066,26690.3,4f55d6s?,8G～,1月2日,2,N,
900,3885.286, ,3909.62,4f6(7F)6s,8F,2月13日,14,N,
900,3885.286, ,29640.51,4f6(7F)6p?,～,2月13日,14,N,
600,3922.397, ,3052.65,4f6(7F)6s,8F,11月2日,12,N,Fe
600,3922.397, ,28540.12,4f6(7F)6p,～,11月2日,12,N,Fe
500,4256.393, ,3052.65,4f6(7F)6s,8F,11月2日,12,N,
500,4256.393, ,26540.12,4f55d6s,～,2月13日,14,N,
500,4280.789, ,3909.62,4f6(7F)6s,8F,2月13日,14,N,
500,4280.789, ,27263.25,4f55d6s,～,2月15日,16,N,
700,4424.339, ,3909.62,4f6(7F)6s,8F,2月13日,14,N,Ca
700,4424.339, ,26505.53,4f6(7F)6p,～,11月2日,12,N,Ca
500,4467.342, ,5317.56,4f6(7F)6s,6F,11月2日,12,N,Fe
500,4467.342, ,27695.96,4f55d6s?,～,2月13日,14,N,Fe
