Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
800,3131.26,1.06,0.0,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",4,9,,
800,3131.26,1.06,31926.82,4f125d6s, ,5,11,,
400,3362.61,0.934,236.95,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",3,7,N,Ca
400,3362.61,0.934,29967.17,4f125d6s, ,2,5,N,Ca
700,3425.08,0.652,236.95,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",3,7,,
700,3425.08,0.652,29424.98,4f125d6s, ,3,7,,
600,3441.5,0.56,236.95,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",3,7,N,Fe
600,3441.5,0.56,29285.72,4f136p, ,2,5,N,Fe
600,3453.66,0.266,236.95,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",3,7,,
600,3453.66,0.266,29183.39,4f125d6s, ,4,9,,
1000,3462.2,0.54,0.0,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",4,9,,
1000,3462.2,0.54,28875.12,4f125d6s, ,5,11,,
500,3700.26,0.223,236.95,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",3,7,N,
500,3700.26,0.223,27254.42,4f125d6s, ,4,9,N,
400,3701.36,0.157,0.0,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",4,9,N,
400,3701.36,0.157,27009.39,4f125d6s, ,4,9,N,
700,3761.33,0.351,0.0,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",4,9,N,
700,3761.33,0.351,26578.77,4f12(3F)6s2,3F,3,7,N,
500,3761.91,0.194,0.0,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",4,9,N,
500,3761.91,0.194,26574.66,4f125d6s, ,4,9,N,
800,3795.75,0.3,236.95,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",3,7,N,
800,3795.75,0.3,26574.66,4f125d6s, ,4,9,N,
1000,3848.02,0.466,0.0,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",4,9,,
1000,3848.02,0.466,25980.02,4f136p, ,3,7,,
300,4242.15,0.0465,236.95,4f13(2Fбл7/2)6s1/2,"(7/2,1/2)бл",3,7,N,
300,4242.15,0.0465,23803.28,4f125d6s, ,4,9,N,
