Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,Mask
,,(108s-1),Levels (cm -1 ),,,,,
25,2464.5,1,0,4f14(1S)6s2,1S,0,1,
25,2464.5,1,40563.97,4f14(1S)6s7p,1P¡«,1,3,
20,2671.958,0.143,0,4f14(1S)6s2,1S,0,1,N
20,2671.958,0.143,37414.59,4f13(2F¡«)5d6s2,¡«,1,3,N
130,3464.37,0.683,0,4f14(1S)6s2,1S,0,1,N
130,3464.37,0.683,28857.014,4f13(2F¡«7/2)5d5/26s2,"(7/2,5/2)¡«",1,3,N
1000,3987.99,1.92,0,4f14(1S)6s2,1S,0,1,N
1000,3987.99,1.92,25068.222,4f14(1S)6s6p,1P¡«,1,3,N
50,3990.885, ,19710.388,4f14(1S)6s6p,3P¡«,2,5,N
50,3990.885, ,44760.37,4f14(1S)6p2,3P,2,5,N
40,4576.209, ,17992.007,4f14(1S)6s6p,3P¡«,1,3,N
40,4576.209, ,39838.04,4f14(1S)6s6d,3D,2,5,N
40,4935.5, ,19710.388,4f14(1S)6s6p,3P¡«,2,5,N
40,4935.5, ,39966.09,4f14(1S)6s6d,3D,3,7,N
130,5556.466,0.0115,0,4f14(1S)6s2,1S,0,1,N
130,5556.466,0.0115,17992.007,4f14(1S)6s6p,3P¡«,1,3,N
40,6799.6, ,17992.007,4f14(1S)6s6p,3P¡«,1,3,N
40,6799.6, ,32694.692,4f14(1S)6s7s,3S,1,3,N
40,7699.49, ,19710.388,4f14(1S)6s6p,3P¡«,2,5,N
40,7699.49, ,32694.692,4f14(1S)6s7s,3S,1,3,N
