Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ca III ,200.0895,1400,2.60E+08,328 582.45  ,1,,,,,,,,,,,,,,
Ca III ,200.1402,1100,4.90E+06,277 380.86  ,2,,,,,,,,,,,,,,
Ca III ,200.2987,1100,3.00E+08,331 048.86  ,0,,,,,,,,,,,,,,
Ca III ,201.4103,1000,3.20E+06,277 022.40  ,3,,,,,,,,,,,,,,
Ca III ,201.8697,1300,3.50E+08,331 403.20  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,202.0772,1000, ,328 090.99  ,2,,,,,,,,,,,,,,
Ca III ,202.605,1000,2.16E+08,327 962.11  ,1,,,,,,,,,,,,,,
Ca III ,202.6589,470,3.60E+07,331 403.20  ,1,,,,,,,,,,,,,,
Ca III ,202.7667,470,9.90E+06,327 922.87  ,2,,,,,,,,,,,,,,
Ca III ,203.3358,1700,1.51E+08,326 186.32  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,204.1538,1700,2.60E+07,277 380.86  ,2,,,,,,,,,,,,,,
Ca III ,204.5803,1300,1.84E+08,328 606.78  ,2,,,,,,,,,,,,,,
Ca III ,204.6537,1000, ,328 588.76  ,3,,,,,,,,,,,,,,
Ca III ,204.6819,1000,1.45E+08,328 582.45  ,1,,,,,,,,,,,,,,
Ca III ,204.7193,700,8.90E+07,331 403.20  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,204.8293,1000, ,326 186.32  ,3,,,,,,,,,,,,,,
Ca III ,205.6595,1000,3.60E+06,277 022.40  ,3,,,,,,,,,,,,,,
Ca III ,206.2155,700,2.35E+08,331 048.86  ,0,,,,,,,,,,,,,,
Ca III ,206.3524,600,1.60E+07,325 467.67  ,2,,,,,,,,,,,,,,
Ca III ,206.7627,700, ,328 090.99  ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,207.4841,700,6.00E+07,327 922.87  ,2,,,,,,,,,,,,,,
Ca III ,207.8916,2100,2.90E+08,325 467.67  ,2,,,,,,,,,,,,,,
Ca III ,209.8497,2100,1.44E+08,324 660.47  ,3,,,,,,,,,,,,,,
Ca II ,210.324,  ,8.20E+07,72 722.23  , 3/2 ,,,,,,,,,,,,,,
Ca III ,210.7136,700,4.50E+07,328 582.45  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca VII , ,  ,3.32E+01,48 981.4   ,0,,,,,,,,,,,,,,
Ca II ,211.276,  ,9.70E+07,72 730.93  , 5/2 ,,,,,,,,,,,,,,
Ca II ,211.315,  ,1.60E+07,72 722.23  , 3/2 ,,,,,,,,,,,,,,
Ca III ,211.4413,3400,7.90E+08,324 660.47  ,3,,,,,,,,,,,,,,
Ca III ,212.3029,5000,9.20E+08,324 110.24  ,4,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,212.6812,900,5.70E+07,290 934.30  ,0,,,,,,,,,,,,,,
Ca II ,212.875,  ,2.00E+05,60 611.28  , 3/2 ,,,,,,,,,,,,,,
Ca III ,212.9191,2600,7.20E+08,328 090.99  ,2,,,,,,,,,,,,,,
Ca II ,213.151,  ,1.80E+06,60 611.28  , 3/2 ,,,,,,,,,,,,,,
Ca II ,213.23,  ,2.00E+06,60 533.02  , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,213.3953,2500,6.10E+08,325 467.67  ,2,,,,,,,,,,,,,,
Ca III ,213.684,180, ,327 922.87  ,2,,,,,,,,,,,,,,
Ca III ,213.9531,400, ,328 606.78  ,2,,,,,,,,,,,,,,
Ca III ,214.0359,1900,8.40E+08,328 588.76  ,3,,,,,,,,,,,,,,
Ca III ,214.063,210, ,328 582.45  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,214.3747,600,1.90E+07,323 655.06  ,2,,,,,,,,,,,,,,
Ca III ,214.9523,48, ,328 582.45  ,1,,,,,,,,,,,,,,
Ca I ,215.08,2,6.10E+06,46 479.813 ,1,,,,,,,,,,,,,,
Ca III ,215.2435,4000,7.20E+08,326 186.32  ,3,,,,,,,,,,,,,,
Ca III ,216.0347,600, ,323 655.06  ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,216.3416,800,9.80E+07,328 090.99  ,2,,,,,,,,,,,,,,
Ca III ,216.941, 130q , ,327 962.11  ,1,,,,,,,,,,,,,,
Ca III ,217.1322,800,4.70E+07,327 922.87  ,2,,,,,,,,,,,,,,
Ca III ,217.1566,1400,6.00E+08,328 606.78  ,2,,,,,,,,,,,,,,
Ca III ,217.271,170, ,328 582.45  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,217.8584,1100,4.70E+08,327 962.11  ,1,,,,,,,,,,,,,,
Ca III ,218.2014,800,3.70E+08,336 749.11  ,1,,,,,,,,,,,,,,
Ca III , , m , ,370 454.0   ,2,,,,,,,,,,,,,,
Ca III ,218.6263,250, ,325 467.67  ,2,,,,,,,,,,,,,,
Ca III ,219.1209,600,3.40E+07,323 003.56  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,219.6169,200, ,328 090.99  ,2,,,,,,,,,,,,,,
Ca II ,219.779,  ,3.10E+07,70 677.62  , 1/2 ,,,,,,,,,,,,,,
Ca I ,220.073,5,1.53E+07,45 425.358 ,1,,,,,,,,,,,,,,
Ca III ,220.2404,800,1.08E+08,327 962.11  ,1,,,,,,,,,,,,,,
Ca III ,220.4315,1000,8.30E+07,327 922.87  ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,220.861,  ,6.20E+07,70 677.62  , 1/2 ,,,,,,,,,,,,,,
Ca VI , ,  ,1.20E+01,45 142.7+x , 3/2 ,,,,,,,,,,,,,,
Ca VI , ,  ,2.90E-04,45 142.7+x , 3/2 ,,,,,,,,,,,,,,
Ca III ,221.9851,1000,2.00E+07,323 655.06  ,2,,,,,,,,,,,,,,
Ca III ,222.5559,160, ,324 660.47  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca VII , ,  ,2.70E-01,48 981.4   ,0,,,,,,,,,,,,,,
Ca III ,223.1436,600,9.50E+05,272 188.70  ,1,,,,,,,,,,,,,,
Ca III ,223.3614,230,3.30E+05,272 188.70  ,1,,,,,,,,,,,,,,
Ca VI , ,  ,4.80E+00,44 586.7+x , 1/2 ,,,,,,,,,,,,,,
Ca VI , ,  ,2.00E-03,44 586.7+x , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,225.2446,350, ,323 003.56  ,1,,,,,,,,,,,,,,
Ca III ,225.5205,440, ,325 467.67  ,2,,,,,,,,,,,,,,
Ca III ,226.6072,23,1.40E+07,366 778.85  ,1,,,,,,,,,,,,,,
Ca III ,226.9842,700,7.40E+07,322 663.28  ,0,,,,,,,,,,,,,,
Ca I ,227.546,6,3.01E+07,43 933.477 ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,227.6012,33,1.30E+07,366 926.33  ,2,,,,,,,,,,,,,,
Ca III ,227.6512,1300,2.19E+08,323 655.06  ,2,,,,,,,,,,,,,,
Ca V , ,  ,1.60E-01,43 836.5   ,0,,,,,,,,,,,,,,
Ca III ,228.1468,39,1.98E+07,367 472.91  ,3,,,,,,,,,,,,,,
Ca III ,228.3683,26,1.30E+07,366 778.85  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,229.3639,150, ,325 467.67  ,2,,,,,,,,,,,,,,
Ca III ,229.8335, 70h ,4.60E+07,390 392.62  ,3,,,,,,,,,,,,,,
Ca III ,230.4948,19, ,367 026.65  ,3,,,,,,,,,,,,,,
Ca III ,230.5413,30,9.30E+06,367 472.91  ,3,,,,,,,,,,,,,,
