Ion, Observed , Rel. , Aki, Ek ,J
Fe III ,200.0046,44000,2.30E+08,139 680.37   ,3
Fe III ,200.0148,2200, ,140 453.14   ,3
Fe III , ,  ,2.60E-01,50 411.95   ,2
Fe II ,200.037731,80000,9.50E+07,70 314.624  , 9/2 
Fe I ,200.0578,2, ,57 346.148  ,3
 , , , , , 
Fe III ,200.0593, 18000* ,3.50E+06,123 697.15   ,2
Fe III ,200.0593, 18000* , ,140 453.14   ,3
Fe I ,200.0671,2, ,57 343.828  ,3
Fe II ,200.09046,1400,6.00E+06,107 454.552  , 1/2 
Fe II ,200.09291,1600, ,107 371.685  , 5/2 
 , , , , , 
Fe III ,200.116,44000,6.00E+07,116 419.72   ,2
Fe III ,200.1264,44000, ,116 475.56   ,3
Fe III ,200.1372,18000,9.00E+07,136 796.90   ,3
Fe III ,200.149,18000,4.50E+07,136 793.80   ,2
Fe III ,200.1828,59000,1.60E+08,139 846.19   ,6
 , , , , , 
Fe II ,200.1833, 250bl(Fe III) , ,109 601.572  , 3/2 
Fe III ,200.2267,1200, ,139 625.21   ,4
Fe I ,200.23799,13, ,50 628.372  ,3
Fe III ,200.2477,44000,4.20E+08,159 493.02   ,3
Fe II ,200.2483, 210d? , ,113 481.304  , 3/2 
 , , , , , 
Fe II ,200.25557,1000, ,107 498.510  , 3/2 
Fe III ,200.2601,33000,5.50E+07,139 827.18   ,4
Fe III ,200.2994,2200, ,119 697.69   ,2
Fe II ,200.31909,600,3.90E+07,103 967.555  , 1/2 
Fe III ,200.3503, 80000* ,4.80E+07,139 680.37   ,3
 , , , , , 
Fe III ,200.3503, 80000* ,2.20E+08,116 419.72   ,2
Fe II ,200.3506, 600bl(Fe III) , ,110 166.534  , 9/2 
Fe I ,200.3605,1, ,57 621.928  ,4
Fe II ,200.3605, 310bl(Fe I) , ,113 934.512  , 5/2 
Fe I ,200.3728,0, ,57 618.806  ,2
 , , , , , 
Fe I ,200.38696,14, ,50 303.225  ,4
Fe II ,200.39104,2900,5.00E+06,63 559.498  , 1/2 
Fe II ,200.42293,700, ,107 371.685  , 5/2 
Fe III ,200.4289,5400, ,134 549.01   ,3
Fe II ,200.43221,500,2.60E+07,107 454.552  , 1/2 
 , , , , , 
Fe II ,200.4384,800,4.00E+06,110 144.841  , 7/2 
Fe II ,200.4441, 310d? , ,108 539.473  , 5/2 
Fe III ,200.4949,32000,2.60E+07,119 697.69   ,2
Fe III ,200.5088,59000,1.70E+08,116 380.24   ,1
Fe I ,200.5297,2, ,50 555.762  ,2
 , , , , , 
Fe III ,200.5451,32000,4.30E+07,123 697.15   ,2
Fe I ,200.5594,2, ,57 572.513  ,2
Fe III ,200.5712,44000,2.00E+08,139 625.21   ,4
Fe II ,200.572, 700d , ,72 651.914  , 7/2 
Fe II ,200.576,1300, ,72 650.698  , 9/2 
 , , , , , 
Fe I ,200.62444,27, ,56 756.503  ,6
Fe I ,200.6245, 4bl , ,56 756.704  ,4
Fe III ,200.6268,44000,5.40E+07,116 419.72   ,2
Fe I ,200.6318,1, ,56 754.726  ,5
Fe I ,200.6464,1, ,56 751.099  ,5
 , , , , , 
Fe II ,200.70128,16000,2.00E+07,72 619.499  , 5/2 
Fe I ,200.7179, 4d , ,49 805.257  ,3
Fe II ,200.71838,1200,4.20E+06,107 298.265  , 5/2 
Fe I ,200.72193,22, ,56 732.335  ,4
Fe II ,200.74417,9000,8.00E+06,63 272.981  , 5/2 
 , , , , , 
Fe II ,200.77084,13000,1.60E+07,63 465.134  , 3/2 
Fe III ,200.7858,80000,2.90E+08,116 380.24   ,1
Fe II ,200.79467,1000, ,107 197.107  , 7/2 
Fe I ,200.8233,2, ,56 707.284  ,5
Fe III ,200.847,59000,5.10E+08,116 365.03   ,0
 , , , , , 
Fe I ,200.8478,-3, ,57 149.702  ,3
Fe I ,200.8505, 0d? , ,57 149.113  ,4
Fe I ,200.8552,1, ,57 147.784  ,5
Fe II ,200.8552, 900bl(Fe I) , ,94 700.415  , 5/2 
Fe II ,200.9031, 700bl(Fe I) , ,72 169.004  , 3/2 
 , , , , , 
Fe I ,200.9031,0, ,57 744.932  ,3
