Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
K II ,203.4679,5,8.81E+07,229 524.9      ,2,,,,,,,,,,,,,,
K II ,203.5408,50,1.20E+09,229 507.0      ,3,,,,,,,,,,,,,,
K II ,203.6014,10,3.89E+05,229 492.5      ,3,,,,,,,,,,,,,,
K II ,203.7005,45,6.74E+08,229 524.9      ,2,,,,,,,,,,,,,,
K II ,204.4832,10,7.49E+07,229 507.0      ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,204.5283,40,1.80E+09,229 495.9      ,4,,,,,,,,,,,,,,
K II ,204.543,15,7.78E+07,229 492.5      ,3,,,,,,,,,,,,,,
K II ,207.6798,60,9.73E+08,227 484.8      ,3,,,,,,,,,,,,,,
K II ,207.8694,70,1.85E+09,227 487.5      ,4,,,,,,,,,,,,,,
K II ,208.1885,25,2.39E+08,227 367.2      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,208.2891,25,1.26E+07,227 343.9      ,3,,,,,,,,,,,,,,
K II ,208.3942,15,3.79E+06,227 367.2      ,2,,,,,,,,,,,,,,
K II ,208.4933,60,3.69E+08,227 343.9      ,3,,,,,,,,,,,,,,
K II ,208.9855,50,5.71E+08,227 230.6      ,4,,,,,,,,,,,,,,
K II ,209.4558,4,2.27E+07,227 123.2      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,212.2827,15,9.37E+05,227 484.8      ,3,,,,,,,,,,,,,,
K II ,212.8138,15,1.66E+07,227 367.2      ,2,,,,,,,,,,,,,,
K II ,212.919,40,4.61E+08,227 343.9      ,3,,,,,,,,,,,,,,
K II ,213.0687,50,4.00E+08,227 367.2      ,2,,,,,,,,,,,,,,
K II ,213.2947,10,5.12E+07,227 487.5      ,4,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,213.3061,10,1.09E+08,227 484.8      ,3,,,,,,,,,,,,,,
K II ,213.8427,1,1.06E+07,227 367.2      ,2,,,,,,,,,,,,,,
K XIX , ,  ,5.13E+06,(29 880 277.00)    , 3/2 ,,,,,,,,,,,,,,
K II ,213.9246,20,1.64E+08,227 123.2      ,2,,,,,,,,,,,,,,
K II ,213.9494,10,3.98E+07,227 343.9      ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,214.0277,7,1.62E+07,227 100.9      ,1,,,,,,,,,,,,,,
K II ,214.1823,5,2.03E+07,227 123.2      ,2,,,,,,,,,,,,,,
K II ,214.286,15,8.69E+07,227 100.9      ,1,,,,,,,,,,,,,,
K II ,214.4699,50,6.90E+08,227 230.6      ,4,,,,,,,,,,,,,,
K II ,214.9667,0,2.99E+06,227 123.2      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,218.932,6, , ,  ,,,,,,,,,,,,,,
K II ,220.984,4, , ,  ,,,,,,,,,,,,,,
K II ,226.434,5, , ,  ,,,,,,,,,,,,,,
K II ,229.679,1, , ,  ,,,,,,,,,,,,,,
K II ,234.23,3, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,235.87,1, , ,  ,,,,,,,,,,,,,,
K VI , ,  ,1.57E+01,43 358.8      ,0,,,,,,,,,,,,,,
K VI , ,  ,1.40E-01,43 358.8      ,0,,,,,,,,,,,,,,
K II ,250.46,3, , ,  ,,,,,,,,,,,,,,
K V , ,  ,2.40E+00,39 758.1      , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K V , ,  ,5.10E-04,39 758.1      , 1/2 ,,,,,,,,,,,,,,
K III ,255.002,6,1.58E+08,246 625.6      , 3/2 ,,,,,,,,,,,,,,
K III ,263.511,5,1.29E+08,246 625.6      , 3/2 ,,,,,,,,,,,,,,
K III ,268.99,5,7.48E+07,246 625.6      , 3/2 ,,,,,,,,,,,,,,
K IV , ,  ,1.04E+01,38 546.3      ,0,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K III ,273.696,1, ,243 947.4      , 3/2 ,,,,,,,,,,,,,,
K II ,274.355,4, , ,  ,,,,,,,,,,,,,,
K II ,277.789,2,2.82E+07,219 192.1      ,2,,,,,,,,,,,,,,
K III ,280.04,3,4.97E+06,243 120.6      , 5/2 ,,,,,,,,,,,,,,
K II ,280.899,3, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K III ,287.735,1,4.05E+06,242 165.3      , 3/2 ,,,,,,,,,,,,,,
K III ,289.89,1, ,243 947.4      , 3/2 ,,,,,,,,,,,,,,
K III ,290.336,4,1.33E+07,243 120.6      , 5/2 ,,,,,,,,,,,,,,
K I , ,  ,8.15E+02,34 148.4861   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,4.69E+02,34 148.0284   , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K III ,293.845,5,4.24E+07,241 443.5      , 5/2 ,,,,,,,,,,,,,,
K I , ,  ,1.13E+03,33 972.8148   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,6.82E+02,33 972.2064   , 1/2 ,,,,,,,,,,,,,,
K III ,294.894,1, ,246 625.6      , 3/2 ,,,,,,,,,,,,,,
K II ,295.088,2, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K III ,295.433,3,3.00E+07,242 526.7      , 1/2 ,,,,,,,,,,,,,,
K I , ,  ,1.73E+03,33 737.3284   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,1.10E+03,33 736.4979   , 1/2 ,,,,,,,,,,,,,,
K III ,298.62,5,1.18E+08,242 165.3      , 3/2 ,,,,,,,,,,,,,,
K I ,299.2108, a ,3.16E+03,33 411.3986   , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,299.2215, a ,2.12E+03,33 410.2306   , 1/2 ,,,,,,,,,,,,,,
K III ,299.242,6,2.51E+08,240 829.9      , 7/2 ,,,,,,,,,,,,,,
K III ,302.343,3,2.13E+08,242 526.7      , 1/2 ,,,,,,,,,,,,,,
K II ,303.043,2, , ,  ,,,,,,,,,,,,,,
K I ,303.4751, a ,6.74E+03,32 941.9262   , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,303.4911, a ,4.78E+03,32 940.2030   , 1/2 ,,,,,,,,,,,,,,
K II ,304.716,2,1.92E+07,219 192.1      ,2,,,,,,,,,,,,,,
K III ,305.207,6,1.85E+08,241 443.5      , 5/2 ,,,,,,,,,,,,,,
K III ,305.684,5,1.18E+08,242 165.3      , 3/2 ,,,,,,,,,,,,,,
K III ,306.125,3,1.31E+08,245 382.3      , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,306.218,5,8.82E+08,215 851.5      ,2,,,,,,,,,,,,,,
K II ,307.5,3,4.30E+07,219 192.1      ,2,,,,,,,,,,,,,,
K I ,310.1791, a ,1.62E+04,32 230.11     , 3/2 ,,,,,,,,,,,,,,
K I ,310.2051, a ,1.22E+04,32 227.44     , 1/2 ,,,,,,,,,,,,,,
K II ,310.5,6,4.97E+08,215 400.9      ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K II ,314.275,2,1.98E+08,215 014.6      ,1,,,,,,,,,,,,,,
K II ,315.715,2,2.73E+07,219 192.1      ,2,,,,,,,,,,,,,,
K II ,317.181,2,1.09E+08,214 722.7      ,0,,,,,,,,,,,,,,
K II ,319.007,5,3.19E+08,217 722.3      ,3,,,,,,,,,,,,,,
K III ,320.195,6,6.12E+07,243 947.4      , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K III ,320.934,6,3.94E+07,245 382.3      , 1/2 ,,,,,,,,,,,,,,
