Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Mg III ,200.2917,2, ,584 687.9   ,3,,,,,,,,,,,,,
Mg IX , ,  ,2.24E+07,1 808 860     ,3,,,,,,,,,,,,,
Mg III , ,  ,2.27E-03,475 502.9   ,1,,,,,,,,,,,,,
Mg III ,200.486,6,3.33E+07,475 502.9   ,1,,,,,,,,,,,,,
Mg III ,200.7623,1, ,584 571.1   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,200.7906,0, ,584 563.9   ,3,,,,,,,,,,,,,
Mg III ,200.8771,2, ,584 689.2   ,4,,,,,,,,,,,,,
Mg IV , ,  ,1.09E+05,605 033.5   , 1/2 ,,,,,,,,,,,,,
Mg III ,201.3546,0, ,584 571.1   ,2,,,,,,,,,,,,,
Mg III ,201.3838,1, ,584 563.9   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II ,201.391,  , ,487 205     , 5/2 ,,,,,,,,,,,,,
Mg III ,201.6752,1, ,584 345.7   ,1,,,,,,,,,,,,,
Mg III ,201.7927,0, ,584 463.5   ,4,,,,,,,,,,,,,
Mg III ,201.9217,0, ,584 687.9   ,3,,,,,,,,,,,,,
Mg IV , ,  ,4.81E-03,603 138.1   , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,202.2404,1, ,584 354.1   ,2,,,,,,,,,,,,,
Mg III ,202.398,1, ,584 571.1   ,2,,,,,,,,,,,,,
Mg III ,202.4285,2, ,584 563.9   ,3,,,,,,,,,,,,,
Mg I ,202.5824, 9g ,6.12E+07,49 346.729 ,1,,,,,,,,,,,,,
Mg IV , ,  ,1.34E+06,604 662.9   , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,8.07E-04,604 662.9   , 3/2 ,,,,,,,,,,,,,
Mg II ,202.832,  , ,486 856     , 7/2 ,,,,,,,,,,,,,
Mg III ,203.2923,2, ,584 354.1   ,2,,,,,,,,,,,,,
Mg III ,203.3272,0, ,584 345.7   ,1,,,,,,,,,,,,,
Mg III , ,  ,2.82E-05,474 655.0   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,203.9553,15,1.54E+08,474 655.0   ,2,,,,,,,,,,,,,
Mg IX , ,  ,3.71E+06,1 807 860     ,2,,,,,,,,,,,,,
Mg IV , ,  ,1.58E-03,604 003.1   , 5/2 ,,,,,,,,,,,,,
Mg V , ,  ,8.04E+06,990 600?    ,2,,,,,,,,,,,,,
Mg V , ,  ,3.22E+07,990 600?    ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg V , ,  ,8.04E+06,990 600?    ,1,,,,,,,,,,,,,
Mg III , ,  ,8.18E-04,475 502.9   ,1,,,,,,,,,,,,,
Mg III ,205.5491,15,2.35E+08,475 502.9   ,1,,,,,,,,,,,,,
Mg VIII , ,  ,6.81E+06,1 597 480?    , 5/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,1.02E+08,1 597 480?    , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,6.46E+07,1 199 470     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,7.18E+06,1 199 470     , 3/2 ,,,,,,,,,,,,,
Mg III ,206.4902,25,4.21E+08,474 053.2   ,3,,,,,,,,,,,,,
Mg III , ,  ,4.69E-03,474 053.2   ,3,,,,,,,,,,,,,
Mg III ,207.4298,1, ,584 345.7   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg V , ,  ,1.03E+07,990 600?    ,1,,,,,,,,,,,,,
Mg I , ,  ,7.24E-12,47 957.058 ,1,,,,,,,,,,,,,
Mg I , ,  ,1.06E-03,47 957.027 ,2,,,,,,,,,,,,,
Mg III ,208.5891,15,1.61E+08,479 456.0   ,1,,,,,,,,,,,,,
Mg VIII , ,  ,8.97E+05,1 383 760     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I , ,  ,2.69E+00,47 851.162 ,2,,,,,,,,,,,,,
Mg III , ,  ,4.73E-04,474 655.0   ,2,,,,,,,,,,,,,
Mg III ,209.1963,20,2.57E+08,474 655.0   ,2,,,,,,,,,,,,,
Mg III ,209.4207,2,1.21E+07,479 265.3   ,0,,,,,,,,,,,,,
Mg VIII , ,  ,7.98E+06,1 383 760     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,209.7936,13,1.50E+08,475 502.9   ,1,,,,,,,,,,,,,
Mg III ,211.2773,15,1.69E+08,478 846.1   ,2,,,,,,,,,,,,,
Mg III , ,  ,3.43E-03,474 053.2   ,3,,,,,,,,,,,,,
Mg III ,213.4054,16,2.36E+08,478 374.5   ,1,,,,,,,,,,,,,
Mg III , ,  ,7.72E-04,474 655.0   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I , ,  ,1.64E+03,46 403.065 ,2,,,,,,,,,,,,,
Mg VIII , ,  ,1.16E+06,1 486 970     , 1/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,1.16E+05,1 486 970     , 3/2 ,,,,,,,,,,,,,
Mg IX , ,  ,7.39E+07,1 816 730     ,0,,,,,,,,,,,,,
Mg III ,217.7694,20,2.12E+08,477 435.7   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,7.13E+07,1 816 210     ,1,,,,,,,,,,,,,
Mg II ,218.257,  , ,483 373     , 5/2 ,,,,,,,,,,,,,
Mg IX , ,  ,4.80E+06,1 841 560     ,1,,,,,,,,,,,,,
Mg VIII , ,  ,7.74E+06,1 381 450     , 1/2 ,,,,,,,,,,,,,
Mg IX , ,  ,5.98E+07,1 755 470?    ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,7.99E+07,1 756 470?    ,2,,,,,,,,,,,,,
Mg II ,221.141,  , ,483 373     , 5/2 ,,,,,,,,,,,,,
Mg X , ,  ,9.67E+07,1 727 830     , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,8.95E+04,114 898.72  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,9.63E+04,114 896.79  , 1/2 ,,,,,,,,,,,,,
