Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ti II ,200.049, 0: , ,82 246.515  , 5/2 ,,,,,,,,,,,,,,
Ti II ,200.663, 1: , ,82 151.461  , 7/2 ,,,,,,,,,,,,,,
Ti III ,200.736,4,3.40E+08,130 739.82   ,1,,,,,,,,,,,,,,
Ti III ,200.7604,2,1.20E+08,130 739.82   ,1,,,,,,,,,,,,,,
Ti II ,200.778, 0: , ,82 065.643  , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti XV , ,  ,1.10E-01,762 056      ,0,,,,,,,,,,,,,,
Ti III ,201.08,6,5.40E+08,130 739.82   ,1,,,,,,,,,,,,,,
Ti II ,201.2069,8, ,74 645.2073 , 5/2 ,,,,,,,,,,,,,,
Ti II ,201.2721,2, ,81 943.4136 , 5/2 ,,,,,,,,,,,,,,
Ti V ,201.7614,1, ,493 300.5    ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,201.805, 0: , ,59 387.976  , 3/2 ,,,,,,,,,,,,,,
Ti II ,202.102, 1: , ,59 440.190  , 1/2 ,,,,,,,,,,,,,,
Ti II ,202.15011,104, ,74 645.2073 , 5/2 ,,,,,,,,,,,,,,
Ti II ,202.292141,58, ,74 378.721  , 3/2 ,,,,,,,,,,,,,,
Ti II ,202.316, 1: , ,59 387.976  , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,203.24549,13, ,74 378.721  , 3/2 ,,,,,,,,,,,,,,
Ti I ,203.60291,0, ,49 099.463  ,2,,,,,,,,,,,,,,
Ti I ,203.68215,4, ,49 080.327  ,1,,,,,,,,,,,,,,
Ti II ,204.06193,20, ,73 950.1912 , 3/2 ,,,,,,,,,,,,,,
Ti I ,204.09868,0, ,49 150.329  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,204.117, 0: , ,83 519.365  , 7/2 ,,,,,,,,,,,,,,
Ti II ,204.146883,24, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,
Ti I ,204.31073,5, ,49 099.463  ,2,,,,,,,,,,,,,,
Ti II ,204.324, 4: , ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,
Ti V ,204.5858,4, ,488 928.7    ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,204.974782,28, ,83 519.365  , 7/2 ,,,,,,,,,,,,,,
