Wavelength (nm),Al I (1.3e-1),Al II (8.7e-1),Al III (2.5e-5)
201.6052,,6.053e-1,
201.6189,,5.276e-2,
201.6234,,4.187e-1,
201.6332,,5.244e-2,
201.637,,2.827e-1,
202.2082,,3.629e-1,
207.3633,,,1.712e-10
207.3684,,,1.200e-10
207.4009,,3.524e+0,
208.9163,,,1.250e-9
209.2667,,,2.497e-9
209.4263,,1.481e+0,
209.4741,,1.285e-1,
209.4789,,1.028e+0,
209.5097,,1.287e-1,
209.5138,,6.950e-1,
211.8316,8.368e+2,,
212.33586,1.649e+3,,
212.96627,1.280e+3,,
213.47331,2.287e+3,,
213.47596,2.527e+2,,
214.55548,1.825e+3,,
215.06989,3.268e+3,,
215.0728,3.622e+2,,
216.88265,2.818e+3,,
217.40707,5.040e+3,,
217.41127,5.597e+2,,
219.2604,,2.707e+0,
219.4191,,2.347e-1,
219.4244,,1.876e+0,
219.5457,,2.352e-1,
219.5502,,1.271e+0,
220.46181,1.821e+2,,
220.46676,4.634e+3,,
220.9508,,,1.091e-9
221.00603,8.270e+3,,
221.01301,9.194e+2,,
221.346,,,1.895e-9
224.3047,,1.321e-1,
225.8007,2.333e+2,,
226.34644,8.583e+3,,
226.37374,4.641e+2,,
226.90963,1.428e+4,,
226.92225,1.583e+3,,
229.9362,,,5.533e-10
229.9425,,,3.691e-10
232.4198,,5.502e-1,
232.5437,,4.777e-2,
232.5496,,3.809e-1,
232.6443,,4.780e-2,
232.6493,,2.577e-1,
236.70518,1.264e+4,,
237.20695,4.844e+2,,
237.3122,2.258e+4,,
237.33497,2.507e+3,,
237.83941,9.587e+2,,
247.5256,,1.520e+0,
252.4401,,,6.986e-11
252.5244,,,3.880e-11
252.6484,,1.738e-1,
256.79823,5.134e+3,,
257.5094,1.443e+4,,
257.53962,1.602e+3,,
263.1546,,2.702e+1,
263.7691,,9.469e-1,
263.8254,,6.545e-1,
263.8692,,4.438e-1,
265.24758,2.270e+3,,
266.03863,4.540e+3,,
276.2772,,,2.662e-9
276.2863,,,1.783e-9
281.6185,,3.202e+2,
296.106,,,5.865e-11
299.5528,,4.633e-2,
299.8149,,8.657e-2,
302.407,,4.289e-2,
302.6765,,7.113e-2,
307.4684,,6.229e-2,
308.2151,4.003e+4,,
308.8518,,8.591e-2,
309.27084,7.455e+4,,
309.28369,7.910e+3,,
318.01,,,1.885e-11
318.3836,,,3.770e-11
327.5766,,2.448e-1,
334.8513,,,5.300e-10
335.0894,,,2.926e-10
335.1462,,4.533e-2,
342.89,,6.478e-2,
352.4869,,,4.034e-11
352.495,,,2.819e-11
358.6557,,3.314e+1,
358.6931,,2.875e+0,
358.7072,,2.293e+1,
358.7325,,2.869e+0,
358.7445,,1.544e+1,
360.163,,,6.587e-6
360.1927,,,7.341e-7
361.2355,,,3.688e-6
364.9204,,1.528e-1,
365.1067,,1.146e-1,
365.1087,,3.435e-1,
365.5004,,6.393e-1,
365.5016,,1.140e-1,
370.2106,,,5.857e-8
370.3225,,5.575e-1,
371.3123,,,1.177e-7
373.3903,,1.958e-1,
373.8012,,3.255e-1,
386.6168,,1.733e-1,
394.4006,4.727e+4,,
396.15201,9.330e+4,,
398.0097,,,9.318e-11
398.02,,,6.509e-11
399.5837,,3.568e-2,
399.6141,,2.465e-2,
399.6368,,1.662e-2,
402.6318,,1.039e-1,
408.2452,,,8.784e-11
408.8611,,,1.752e-10
414.9913,,,2.654e-8
414.9968,,,1.330e-9
415.0173,,,1.854e-8
422.6816,,5.776e-2,
422.7495,,3.986e-2,
422.7987,,2.690e-2,
434.6903,,1.666e-2,
434.7275,,2.193e-2,
434.7825,,2.856e-2,
435.757,,,9.127e-11
436.466,,,1.604e-10
451.257,,,4.360e-7
452.894,,,8.657e-8
452.919,,,7.793e-7
458.5818,,8.050e-2,
458.8199,,5.587e-2,
458.975,,3.771e-2,
463.937,,3.271e-2,
463.979,,4.288e-2,
464.042,,5.588e-2,
466.3046,,2.948e+1,
470.114,,,5.733e-10
470.142,,,8.196e-10
490.403,,,2.777e-10
490.419,,,1.940e-10
514.442,,7.796e-2,
514.494,,1.019e-1,
514.571,,1.330e-1,
515.823,,1.079e-1,
559.33,,5.954e+0,
561.329,,2.369e-2,
569.66,,,4.410e-6
572.273,,,2.200e-6
585.376,,2.035e-1,
586.177,,1.415e-1,
586.79,,9.508e-2,
597.197,,2.864e-2,
600.641,,2.651e-2,
605.519,,,5.941e-11
605.984,,,3.277e-11
618.158,,2.570e-1,
618.233,,3.345e-1,
618.345,,4.373e-1,
620.153,,3.550e-1,
622.619,,3.885e+0,
623.162,,2.903e+0,
623.175,,8.704e+0,
624.32,,2.891e+0,
624.337,,1.610e+1,
630.179,,,2.360e-11
630.194,,,1.652e-11
633.571,,5.055e-1,
681.689,,9.117e-1,
682.339,,2.727e+0,
683.713,,4.513e+0,
690.5638,1.370e+2,,
690.6279,1.945e+2,,
691.793,,1.109e-1,
692.034,,2.108e+0,
702.638,,,2.791e-11
704.208,,6.025e+1,
705.671,,3.605e+1,
706.368,,1.202e+1,
708.3969,2.059e+2,,
708.4643,2.942e+2,,
713.919,,1.516e-2,
736.1568,3.350e+2,,
736.2296,4.794e+2,,
744.944,,9.227e-2,
747.141,,6.068e+0,
755.074,,,2.671e-11
762.797,,5.281e-2,
763.522,,,1.267e-9
763.532,,9.837e-2,
763.56,,,8.438e-10
766.026,,,9.754e-10
768.197,,,1.951e-9
770.252,,1.467e-2,
770.571,,1.922e-2,
770.986,,2.505e-2,
783.5309,6.030e+2,,
783.6134,8.603e+2,,
788.178,,,1.853e-8
788.252,,,2.058e-9
790.551,,,1.031e-8
792.158,,,5.279e-11
792.18,,,3.689e-11
811.965,,1.794e-2,
835.432,,1.419e+0,
835.92,,1.229e-1,
835.949,,9.804e-1,
836.325,,1.228e-1,
836.348,,6.620e-1,
864.07,,1.522e+1,
867.11,,2.711e-2,
867.514,,3.549e-2,
868.041,,4.623e-2,
869.367,,,6.981e-11
869.419,,,9.972e-11
877.2871,1.280e+3,,
877.3902,1.833e+3,,
