Wavelength (nm),Ca I (3.8e-2),Ca II (9.5e-1),Ca III (1.3e-2)
200.08954,,,2.714e-14
200.2986,,,7.314e-15
201.86956,,,2.432e-14
202.60553,,,2.465e-14
202.65914,,,2.502e-15
203.3358,,,5.195e-14
204.154,,,7.264e-12
204.5799,,,3.189e-14
204.6818,,,1.513e-14
204.71906,,,6.185e-15
206.2156,,,5.729e-15
207.4842,,,1.148e-14
207.891,,,7.904e-14
209.8495,,,6.173e-14
210.3235,,2.450e+3,
210.7129,,,4.697e-15
211.2757,,4.342e+3,
211.3146,,4.781e+2,
211.4407,,,3.386e-13
212.3019,,,5.489e-13
212.9188,,,1.344e-13
213.39506,,,1.663e-13
214.0354,,,2.044e-13
214.3745,,,6.725e-15
215.07949,1.524e+2,,
215.243,,,2.477e-13
216.3413,,,1.830e-14
217.13137,,,8.991e-15
217.15628,,,1.040e-13
217.8586,,,5.364e-14
218.2017,,,1.190e-14
219.12063,,,7.932e-15
219.7787,,6.219e+2,
220.07266,4.450e+2,,
220.2408,,,1.233e-14
220.43139,,,1.588e-14
220.8611,,1.244e+3,
221.9851,,,7.079e-15
227.54656,1.085e+3,,
227.6513,,,7.751e-14
228.1471,,,1.771e-17
229.8335,,,1.511e-18
231.08,,,2.100e-14
231.2074,,,4.118e-12
232.1239,,,3.711e-18
232.3329,,,3.089e-18
233.5126,,,1.446e-18
233.8654,,,1.931e-18
234.1544,,,1.433e-18
234.3796,,,1.104e-18
235.1363,,,8.778e-15
235.5344,,,2.171e-18
235.6632,,,2.756e-18
239.3172,,,4.531e-14
239.8559,8.335e+2,,
243.1091,,,1.143e-14
244.255,,,1.236e-14
247.0287,,,6.255e-15
247.2533,,,1.003e-14
249.352,,,1.029e-14
249.77328,,,5.473e-12
254.1499,,,1.080e-11
262.0813,,,8.804e-12
263.4136,,,1.080e-11
265.5383,,,4.697e-15
268.7764,,,2.823e-11
270.4858,,,8.329e-12
275.1798,,,6.955e-18
276.4095,,,9.166e-18
277.1275,,,4.066e-12
279.1587,,,6.958e-12
279.6346,,,2.236e-17
279.7203,,,1.247e-17
279.9386,,,1.848e-17
281.3879,,,9.263e-12
281.5391,,,8.749e-18
281.854,,,9.135e-18
282.0573,,,1.154e-17
282.4116,,,8.484e-18
282.8001,,,6.566e-18
284.3169,,,1.277e-17
284.5058,,,1.604e-17
286.6539,,,8.091e-12
286.9943,,,2.375e-11
288.1782,,,2.341e-11
289.9785,,,1.030e-10
292.4331,,,2.030e-11
298.8627,,,4.191e-11
298.9276,,,1.209e-11
299.49574,6.815e+2,,
299.73158,7.430e+2,,
299.96451,5.181e+2,,
300.08635,9.798e+2,,
300.68615,2.312e+3,,
300.92056,7.984e+2,,
302.8583,,,7.290e-12
311.9667,,,1.710e-11
313.60191,9.453e+1,,
314.07859,1.882e+2,,
314.11591,6.917e+1,,
315.07489,4.620e+2,,
315.12687,6.913e+1,,
315.8869,,9.145e+4,
317.9331,,1.589e+5,
318.05168,6.970e+1,,
318.1275,,1.711e+4,
320.99566,1.871e+2,,
321.51687,4.698e+2,,
321.5342,1.307e+2,,
322.59039,9.563e+2,,
322.61548,1.708e+2,,
327.46709,8.339e+1,,
328.60681,1.473e+2,,
334.45078,4.636e+2,,
335.02035,9.107e+2,,
335.03546,3.408e+2,,
336.19124,1.597e+3,,
336.21334,3.326e+2,,
337.2679,,,3.969e-11
347.4763,1.648e+2,,
348.75982,2.794e+2,,
353.7777,,,1.240e-11
362.4112,9.076e+2,,
363.07522,2.119e+3,,
363.09782,6.550e+2,,
364.4413,3.544e+3,,
364.47679,6.706e+2,,
367.34179,7.850e+1,,
367.52874,1.099e+2,,
367.82137,1.477e+2,,
370.6024,,2.546e+4,
373.6902,,4.918e+4,
374.83486,1.312e+2,,
375.02911,1.837e+2,,
375.33353,2.848e+2,,
387.04774,3.137e+2,,
387.25403,3.294e+2,,
387.57764,6.196e+2,,
393.3663,,4.024e+6,
394.89004,1.983e+2,,
395.70537,5.819e+2,,
396.8469,,1.979e+6,
397.37076,1.039e+3,,
403.8502,,,1.929e-16
409.26318,5.866e+2,,
409.49253,8.959e+2,,
409.49621,1.120e+2,,
409.7098,,5.087e+1,
409.85282,1.248e+3,,
409.85751,1.120e+2,,
410.85257,5.476e+3,,
410.9815,,9.245e+1,
413.6247,,,1.091e-16
413.7043,,,1.386e-17
415.3566,,,9.988e-16
416.4302,,,1.418e-16
417.565,,,6.997e-16
418.42,,,1.787e-15
420.4615,,,2.492e-17
420.7216,,,3.272e-15
421.1614,,,2.107e-17
421.3132,,,8.463e-16
422.67276,1.463e+5,,
422.8155,,,1.988e-16
423.3736,,,3.619e-16
424.0742,,,2.977e-16
425.6645,,,2.346e-17
427.189,,,1.407e-16
427.3875,,,3.990e-16
427.8215,,,6.641e-16
427.9722,,,1.452e-16
428.3011,5.667e+3,,
428.363,,,5.056e-18
428.4388,,,1.882e-16
428.9367,4.760e+3,,
429.0071,,,1.386e-16
429.8988,3.697e+3,,
430.101,,,1.060e-16
430.1494,,,8.563e-16
430.2528,1.776e+4,,
430.2803,,,6.910e-15
430.7744,5.298e+3,,
431.8652,5.871e+3,,
432.9182,,,2.039e-16
433.3566,,,2.575e-16
434.0345,,,2.346e-17
434.4808,,,3.085e-17
435.5079,1.410e+3,,
435.8366,,,8.152e-16
439.9584,,,4.227e-15
440.6286,,,2.174e-15
442.5437,4.381e+3,,
443.129,,,2.804e-15
443.4957,9.818e+3,,
443.5679,3.008e+3,,
445.4779,1.783e+4,,
445.5887,2.931e+3,,
448.4402,,,1.484e-16
448.4948,,,4.055e-16
449.9885,,,2.886e-15
451.6586,,,2.006e-15
452.6928,1.479e+3,,
455.3291,,,7.785e-17
457.2125,,,3.404e-15
457.8551,1.364e+3,,
458.1395,2.267e+3,,
458.1467,2.712e+2,,
458.5865,3.194e+3,,
