Wavelength (nm),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
200.0047,,,1.167e-5
200.037732,,4.768e+2,
200.11662,,,6.217e-5
200.13638,,,6.917e-6
200.1488,,,2.472e-6
200.18307,,,1.471e-5
200.2475,,,1.224e-6
200.25932,,,3.511e-6
200.34963,,,2.434e-6
200.35032,,,2.279e-4
200.49451,,,1.679e-5
200.50899,,,1.063e-4
200.54576,,,1.560e-5
200.5714,,,1.315e-5
200.62691,,,5.595e-5
200.701387,,4.320e+1,
200.78602,,,1.813e-4
200.8474,,,1.065e-4
201.069688,,3.117e+2,
201.07297,,,2.366e-6
201.15455,,,2.883e-5
201.18949,,,1.264e-5
201.26824,,,3.186e-5
201.44222,,,1.957e-6
201.4797,,,7.780e-6
201.50732,,,1.620e-5
201.548736,,1.912e+2,
201.67096,,,8.664e-6
201.7299,,,9.046e-6
201.85766,,,1.132e-5
201.877724,,3.197e+2,
202.075101,,2.126e+2,
202.20394,,,2.456e-6
202.32993,,,1.473e-5
202.52901,,,1.914e-6
202.55023,,,4.341e-6
202.557,,,2.178e-5
202.60475,,,3.350e-5
202.8564,,,1.899e-8
202.95319,,,8.115e-6
203.0773,,,1.512e-6
203.240945,,2.691e+2,
203.43052,,,1.380e-5
203.45529,,,4.891e-6
203.47078,,,2.519e-5
203.51026,,,4.321e-6
203.51726,,,9.609e-6
203.53715,,,5.664e-6
203.59378,,,3.397e-5
203.60262,,,6.304e-6
203.643626,,1.423e+2,
203.68551,,,2.621e-5
203.71544,,,1.704e-5
203.73035,,,3.047e-5
203.80998,,,3.257e-5
203.89172,,,2.621e-5
203.9522,,,3.199e-5
204.04114,,,2.955e-5
204.05476,,,1.398e-5
204.068999,,5.089e+2,
204.0773,,,2.678e-5
204.34879,,,3.123e-6
204.4041,,,1.477e-5
204.43137,,,5.503e-5
204.45496,,,2.075e-6
204.4977,,,8.178e-5
204.5841,,,2.223e-5
204.71307,,,1.512e-6
204.9398,,,5.080e-5
205.103385,,3.146e+2,
205.44938,,,3.060e-6
205.526768,,1.505e+2,
205.58701,,,3.172e-5
205.61636,,,1.543e-4
205.70653,,,9.553e-5
205.794,,,6.772e-6
205.857,,,1.646e-4
205.96909,,,1.575e-4
206.156,,,1.539e-2
206.1762,,,2.351e-4
206.20878,,,3.664e-6
206.36773,,1.819e+2,
206.4987,,,9.424e-8
206.5277,,,3.614e-8
206.52774,,,1.824e-6
206.5486,,,9.636e-9
206.60082,,7.158e+1,
206.73145,,,1.848e-5
206.791357,,1.359e+2,
206.799901,,4.303e-1,
206.8252,,,2.469e-2
206.98179,,,1.340e-6
207.033359,,2.811e+1,
207.0553,,,8.449e-5
207.2248,,,9.558e-9
207.42394,,,2.128e-6
207.63317,,,1.411e-6
207.8993,,,3.508e-2
207.9296,,,9.409e-7
208.0229,,,1.344e-6
208.024306,,1.337e+2,
208.23824,,,1.244e-6
208.3119,,,2.532e-8
208.3547,,,1.576e-5
208.4017,,,1.616e-8
208.423,,,6.156e-9
208.4366,,,5.515e-4
208.45251,,,2.690e-5
208.4536,,,8.465e-9
208.58462,,,3.042e-6
208.592143,,3.777e-1,
208.71454,,,1.591e-4
208.754134,,2.526e+2,
208.7915,,,5.448e-5
208.86357,,,3.015e-5
209.0142,,,2.134e-5
209.01521,,,6.867e-4
209.02556,,,1.161e-4
209.1323,,,7.623e-5
