Wavelength (nm),K I (3.1e-2),K II (9.7e-1),K III (2.7e-11)
203.4671,,1.818e-6,
203.5413,,3.476e-5,
203.7001,,1.391e-5,
204.4823,,2.170e-6,
204.5288,,6.715e-5,
204.543,,2.258e-6,
207.6802,,3.773e-5,
207.8698,,9.219e-5,
208.1889,,6.732e-6,
208.4925,,1.460e-5,
208.9864,,2.953e-5,
212.9199,,1.824e-5,
213.0692,,1.127e-5,
213.2942,,2.551e-6,
213.3065,,4.226e-6,
213.9256,,4.785e-6,
213.9498,,1.575e-6,
214.2856,,1.526e-6,
214.4699,,3.568e-5,
255.001,,,1.144e-18
263.511,,,9.338e-19
268.996,,,5.414e-19
280.04,,,8.944e-20
290.336,,,2.394e-19
293.845,,,9.718e-19
295.432,,,1.961e-19
298.621,,,1.625e-18
299.242,,,8.380e-18
302.343,,,1.392e-18
305.202,,,4.240e-18
305.684,,,1.625e-18
306.125,,,5.672e-19
306.2141,,1.307e-4,
310.4998,,4.715e-5,
314.2706,,1.986e-5,
319.0041,,5.053e-5,
320.194,,,6.518e-19
320.935,,,1.706e-19
322.0533,,2.307e-5,
322.0626,,2.836e-5,
325.397,,,1.316e-18
327.879,,,2.771e-18
328.905,,,3.167e-18
329.0637,,5.874e-5,
332.24,,,6.140e-18
335.843,,,1.869e-18
336.433,,,1.193e-18
338.061,,2.519e-4,
338.485,,1.369e-4,
338.488,,4.806e-6,
340.4194,,5.231e-5,
342.082,,,7.016e-19
342.181,,,7.862e-19
344,,1.025e-4,
344.803,,,2.292e-19
346.831,,,1.200e-18
348.113,,,2.338e-19
351.382,,,1.106e-18
353.07,,1.399e-4,
356.215,,1.028e-5,
360.8923,,5.394e-5,
361.8485,,2.951e-4,
362.645,,1.110e-5,
368.1556,,1.009e-3,
372.1354,,1.444e-5,
376.7423,,1.286e-4,
378.3192,,9.639e-4,
380.0162,,3.694e-5,
381.657,,3.586e-5,
381.7547,,1.362e-4,
386.143,,2.996e-5,
387.8614,,9.910e-6,
388.3375,,1.622e-5,
389.7896,,2.918e-3,
392.6371,,1.827e-5,
393.441,,2.000e-5,
394.2537,,1.866e-5,
395.6111,,8.605e-6,
396.6691,,1.708e-4,
397.255,,1.716e-5,
397.2586,,2.866e-4,
399.4986,,2.433e-4,
400.122,,5.438e-4,
401.2013,,3.513e-4,
402.4903,,1.478e-5,
403.9671,,1.682e-4,
404.2611,,6.016e-4,
404.41422,4.079e+2,,
404.72132,1.903e+2,,
409.3698,,3.804e-5,
411.4946,,1.235e-3,
413.4705,,2.295e-3,
414.9086,,8.865e-4,
414.922,,1.818e-4,
418.6232,,1.495e-2,
422.296,,8.338e-4,
422.566,,7.573e-4,
426.334,,3.885e-3,
430.498,,6.962e-4,
430.911,,2.710e-3,
434,,3.440e-4,
436.296,,1.398e-5,
438.816,,7.420e-4,
446.67,,2.744e-4,
450.539,,6.120e-4,
460.849,,1.688e-3,
465.942,,2.163e-4,
482.924,,2.480e-3,
496.503213,5.281e+1,,
500.564,,1.092e-3,
505.625,,3.228e-4,
511.225448,7.211e+1,,
533.96873,8.420e+1,,
535.95761,9.458e+1,,
547.008,,2.037e-4,
578.23999,9.444e+1,,
580.17662,1.870e+2,,
583.18899,8.977e+1,,
612.028,,2.439e-3,
624.655,,3.235e-4,
630.728,,8.852e-4,
642.798,,2.265e-4,
691.10815,2.991e+2,,
693.8764,5.929e+2,,
766.48991,7.217e+4,,
769.89646,3.595e+4,,
825.016,1.879e+2,,
825.174,1.306e+2,,
850.344,2.721e+2,,
850.511,1.902e+2,,
890.218,4.564e+2,,
890.401,3.193e+2,,
