Wavelength (nm),Mn I (1.1e-1),Mn II (8.9e-1)
200.1896,,1.387e+1
203.73039,,1.157e+3
203.76474,,8.218e+2
203.99717,,6.665e+2
207.6217,,3.475e+2
208.47656,,4.706e+2
208.8924,,8.945e+1
209.74753,,4.555e+2
210.24965,,1.917e+2
211.39784,,4.607e+2
211.9437,,3.234e+1
211.97742,,2.277e+2
213.34555,,1.882e+2
222.99399,,3.968e+2
222.99967,,3.356e+2
223.16576,,2.944e+2
232.0386,,7.213e+2
233.2135,,6.207e+1
233.3234,,4.847e+1
236.6894,,1.383e+2
237.3359,,1.195e+3
239.7286,,3.190e+1
239.787,,3.725e+1
239.8247,,7.732e+0
239.8794,,4.398e+1
239.9062,,1.242e+1
240.0151,,5.555e+1
240.0219,,1.365e+1
240.1948,,1.254e+1
240.2079,,7.239e+1
242.73748,,7.614e+2
242.7716,,1.281e+3
242.7939,,1.153e+3
243.6538,,6.730e+1
243.7367,,2.128e+3
243.78463,,1.657e+3
243.8191,,6.403e+2
244.0454,,7.105e+1
244.1056,,8.074e+1
244.1472,,4.605e+0
244.6391,,9.537e+1
244.6589,,6.199e+0
244.9742,,5.856e+1
245.2162,,5.961e+0
245.232,,1.140e+2
245.2491,,4.141e+3
245.3132,,1.265e+3
245.36177,,2.329e+2
245.7784,,1.740e+1
245.8577,,1.339e+2
245.87354,,6.000e+1
246.2125,,5.762e+0
246.2408,,1.986e+1
246.62136,,6.976e+2
246.64128,,4.733e+2
246.7683,,6.092e+0
246.7755,,2.426e+1
247.285,,3.458e+2
247.3555,,3.225e+1
247.3694,,4.343e+0
247.9351,,4.757e+1
248.61474,,3.973e+2
248.842,,8.273e+1
249.09086,,6.849e+2
249.90029,,1.809e+3
250.75956,,6.748e+2
250.7814,,6.217e+1
251.42,,2.582e+2
251.66,,2.932e+2
251.6739,,1.647e+3
251.8178,,1.691e+2
251.9309,,7.587e+1
252.00911,,1.600e+2
252.025,,1.110e+2
252.0519,,2.083e+2
252.0614,,1.014e+2
252.3008,,1.718e+2
252.8005,,2.322e+2
253.27771,,8.180e+2
253.33304,,5.987e+2
253.4216,,9.089e+2
253.50332,,1.292e+2
253.56594,,1.276e+3
253.59771,,3.660e+2
253.79233,,2.054e+3
253.80444,,7.701e+2
254.29265,,1.684e+3
254.34567,,2.975e+3
254.6704,,5.214e+1
254.8371,,7.614e+1
254.87498,,3.244e+3
254.93229,,4.799e+1
254.98249,,5.526e+1
255.1526,,9.823e+1
255.1851,,9.310e+2
255.18576,,1.419e+2
255.31617,,2.182e+2
255.45209,,1.184e+2
255.6572,,4.063e+3
255.6895,,1.116e+3
255.7543,,1.883e+3
255.75973,,1.023e+3
255.83045,,2.966e+2
255.86072,,7.404e+3
255.88628,,4.448e+2
255.94156,,1.629e+3
255.96745,,2.714e+2
255.97394,,3.961e+2
256.22597,,2.839e+2
256.3644,,9.962e+3
256.38453,,1.785e+2
256.41126,,1.051e+2
256.52227,,1.157e+3
256.8717,,2.845e+2
257.09202,,1.819e+2
257.09618,,2.003e+2
257.2422,,1.391e+2
257.610377,,5.734e+5
257.6174,,2.262e+2
257.82715,,5.238e+2
257.88116,,1.983e+3
258.2977,,8.128e+2
258.3546,,2.869e+2
258.4511,,3.108e+2
258.51224,,1.714e+2
258.54358,,6.376e+2
258.58832,,1.017e+3
258.7294,,1.715e+2
258.8973,,1.603e+3
258.97252,,2.905e+3
258.98172,,2.197e+2
258.99791,,4.878e+2
259.01513,,1.617e+2
259.0152,,1.389e+3
259.02937,,3.738e+2
259.06668,,1.312e+2
259.12393,,9.236e+2
259.14263,,1.322e+3
259.2039,,2.916e+2
259.3297,,1.575e+3
259.372102,,4.566e+5
259.5651,,3.123e+2
259.7574,,3.088e+1
259.8247,,2.061e+2
259.8812,,1.774e+2
259.88993,,1.676e+3
259.89038,,2.229e+3
259.9006,,1.245e+2
259.95526,,1.700e+2
260.1836,,1.576e+2
260.1986,,2.803e+2
260.2724,,1.901e+3
260.30335,,6.338e+2
260.3261,,1.736e+2
260.3719,,2.727e+3
260.3841,,9.657e+1
260.43004,,1.824e+2
260.568028,,3.261e+5
260.5749,,2.727e+3
260.6107,,3.695e+2
260.62593,,2.211e+2
260.68387,,1.357e+2
260.8428,,2.888e+2
260.8809,,3.304e+2
260.95583,,4.665e+2
261.0202,,2.076e+4
261.0566,,1.936e+2
261.08486,,1.380e+2
261.2624,,2.974e+2
261.6528,,1.841e+2
261.8146,,1.763e+4
261.89198,,2.953e+2
261.90035,,4.044e+2
261.9297,,5.776e+2
262.47572,,6.049e+2
262.49562,,1.948e+2
262.5608,,1.356e+4
262.6464,,2.533e+2
262.70557,,1.748e+2
262.82879,,4.948e+2
262.8506,,2.595e+1
262.87669,,1.568e+2
263.1972,,2.676e+2
263.23533,,1.167e+4
263.55868,,1.148e+2
263.56229,,3.897e+2
263.78783,,6.515e+2
263.8171,,9.189e+3
263.98473,,4.819e+3
264.22366,,5.381e+1
264.27758,,5.933e+1
264.76261,,1.286e+2
264.80521,,4.828e+2
264.89401,,1.809e+3
265.1035,,7.645e+2
265.18619,,1.086e+2
265.24995,,9.068e+2
265.58082,,2.380e+2
265.5921,,4.460e+3
265.6173,,8.655e+2
265.90889,,2.917e+2
266.25416,,3.895e+2
266.6724,,1.563e+3
266.68933,,1.013e+3
266.70271,,3.040e+3
267.1801,,1.285e+2
267.18185,,1.708e+2
267.25798,,6.672e+3
267.33791,,1.839e+3
267.44397,,8.529e+2
267.4756,,1.051e+3
267.49823,,1.103e+3
267.5514,,2.139e+2
267.5518,,9.046e+2
267.72453,,2.144e+2
267.7848,,8.931e+2
267.91618,,8.186e+2
267.9947,,7.956e+2
268.03356,,8.646e+2
268.03814,,2.000e+2
268.0683,,1.569e+3
268.1252,,1.356e+3
268.45357,,1.318e+3
268.5877,,1.460e+3
268.5985,,1.881e+2
268.7364,,5.981e+2
268.7461,,1.267e+2
268.97798,,1.217e+3
269.0976,,1.485e+3
269.1715,,8.361e+1
269.198,,9.407e+2
269.2446,,6.917e+2
269.31892,,2.567e+3
269.3565,,4.749e+2
269.4089,,3.174e+2
269.4112,,1.744e+2
269.53611,,1.857e+3
269.8725,,1.216e+1
269.89845,,2.566e+3
269.98434,,1.702e+1
270.10281,,1.585e+3
270.11658,,1.776e+3
270.15252,,2.189e+1
