Wavelength (nm),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
200.4214,,,2.988e-40
200.5216,,,1.725e-37
200.5548,,,2.795e-40
200.8468,,,4.095e-40
201.1865,,,2.761e-39
201.4169,,,1.701e-41
201.7024,,,2.526e-41
201.7246,,,1.502e-42
202.1225,,,5.851e-41
202.2298,,,2.509e-40
202.3228,,,1.113e-40
202.8557,,,1.429e-39
203.1128,,,9.424e-40
203.5898,,,5.029e-40
203.778,,,2.373e-40
204.1665,,,7.891e-40
204.3289,,,4.288e-39
204.4821,,,1.035e-41
204.545,,,5.703e-40
204.7992,,,1.213e-42
204.8305,,,2.568e-42
204.8725,,,1.399e-40
205.1486,,,1.712e-41
205.1853,,,1.014e-40
205.5185,,,2.253e-40
205.8755,,,1.199e-40
206.0363,,,2.748e-40
206.2987,,,1.200e-40
206.5278,,,9.097e-41
206.6598,,,8.603e-39
206.6714,,,2.209e-40
206.6923,,,3.631e-40
207.2673,,,5.082e-40
209.4805,,,6.088e-41
209.9563,,,1.606e-40
210.042,,,5.982e-41
210.2763,,,6.524e-40
210.4753,,,2.118e-42
210.9279,,,1.274e-42
211.2653,,,4.941e-42
211.6749,,,5.969e-40
212.0765,,,1.666e-42
212.4512,,,7.304e-42
212.6627,,,3.772e-40
212.7613,,,4.192e-41
214.0722,,,1.678e-38
214.1071,,,1.373e-39
214.4197,,,5.893e-40
214.4547,,,1.155e-38
214.5232,,,1.541e-40
214.6235,,,4.346e-42
214.8573,,,4.350e-40
215.1653,,,2.497e-40
215.9089,,,4.538e-42
216.3177,,,4.669e-41
216.9706,,,3.566e-41
217.4524,,,3.060e-40
218.2848,,,4.464e-38
218.5299,,,3.256e-42
218.5494,,,2.947e-42
219.0179,,,1.052e-41
219.6121,,,3.564e-41
220.2831,,,5.319e-37
220.8065,,,8.899e-41
221.2353,,,3.825e-42
221.4208,,,9.725e-38
221.7354,,,2.201e-42
222.5928,,,7.127e-37
223.0328,,,3.281e-36
223.2188,,,3.608e-37
223.9484,,,5.846e-37
224.671,,,1.696e-36
225.1473,,,6.500e-37
227.8414,,,2.252e-37
227.9482,,,8.582e-41
228.162,,,4.304e-41
228.5658,,,1.192e-37
230.9986,,,2.951e-37
238.6992,,,3.597e-38
239.3592,,,2.032e-39
239.4028,,,2.518e-38
240.6588,,,1.814e-37
245.9309,,,1.175e-36
246.8855,,,5.243e-37
247.4731,,,1.177e-36
249.3148,,1.819e-11,
249.7015,,,2.682e-36
250.6302,,1.077e-13,
251.0264,,,8.927e-37
251.5457,,1.527e-13,
253.0246,,,3.114e-37
253.154,,1.188e-13,
254.2799,,,1.382e-37
255.3546,,,7.440e-37
256.3304,,,6.756e-37
258.6307,,2.763e-13,
259.4959,,1.801e-13,
261.1811,,1.844e-12,
266.0997,,1.532e-12,
267.1829,,1.503e-12,
267.8085,,5.785e-13,
274.03,,,2.519e-44
280.8705,,1.450e-13,
280.952,,2.609e-11,
282.9867,,2.280e-13,
283.3534,,,2.670e-42
283.9564,,4.931e-13,
284.1721,,6.908e-11,
285.6508,,2.453e-13,
285.9486,,1.050e-11,
286.8249,,,7.417e-42
287.1277,,1.206e-11,
287.2957,,1.785e-13,
288.1149,,3.717e-11,
288.6259,,7.431e-13,
289.3954,,2.083e-13,
290.1143,,1.252e-12,
290.4709,,8.182e-14,
290.4918,,5.653e-11,
291.7521,,6.997e-11,
291.905,,1.341e-12,
291.9849,,6.336e-13,
292.0944,,2.920e-11,
292.3484,,6.761e-12,
293.0881,,4.771e-13,
293.4078,,3.188e-13,
293.7726,,1.064e-12,
294.5699,,3.437e-13,
294.7445,,2.831e-13,
295.1235,,6.896e-12,
295.2396,,1.509e-13,
296.0115,,3.800e-13,
297.0727,,9.958e-14,
297.4238,,1.403e-13,
297.499,,3.102e-11,
297.7128,,5.824e-13,
297.966,,2.455e-12,
298.4174,,1.537e-11,
298.4191,,1.964e-12,
300.4151,,6.725e-14,
300.7446,,1.032e-11,
300.9143,,1.196e-13,
301.54,,1.402e-13,
302.907,,3.948e-13,
303.7075,,1.771e-12,
304.5597,,9.741e-14,
305.0208,,5.143e-13,
305.3665,,2.900e-12,
305.616,,8.246e-11,
305.7375,,3.132e-13,
305.8715,,1.039e-13,
306.135,,3.956e-13,
306.6534,,1.491e-13,
307.4332,,1.594e-12,
307.832,,7.189e-11,
308.0251,,1.907e-12,
309.2731,,3.420e-10,
310.44,,7.925e-14,
312.4413,,8.714e-13,
312.9376,,1.415e-10,
313.5478,,4.559e-11,
313.7853,,6.843e-13,
314.57,,3.682e-13,
314.9275,,3.612e-11,
316.3243,,6.945e-14,
316.3732,,9.748e-13,
316.7484,,7.609e-14,
317.5085,,2.968e-13,
317.9055,,2.243e-13,
318.8134,,9.221e-14,
318.979,,5.653e-11,
321.2191,,5.371e-11,
321.6286,,1.718e-13,
322.5978,,1.509e-13,
323.4927,,1.699e-13,
325.7968,,9.563e-13,
326.0215,,8.938e-14,
327.422,,2.443e-13,
328.5608,,9.718e-11,
330.23686,1.092e+3,,
330.29785,5.423e+2,,
330.4951,,2.050e-13,
331.8036,,2.357e-13,
332.7689,,1.816e-13,
342.736,5.994e-13,,
348.89,9.683e-13,,
350.237,1.374e-12,,
351.093,9.069e-13,,
353.3057,,1.104e-10,
363.1272,,4.663e-11,
384.802,5.994e-13,,
386.543,1.770e-12,,
388.181,6.316e-12,,
388.571,8.726e-13,,
390.033,1.648e-12,,
391.803,2.014e-12,,
392.577,1.037e-12,,
393.059,3.518e-13,,
394.283,3.279e-13,,
411.3703,,1.464e-13,
412.3069,,1.077e-13,
417.667,1.068e-12,,
418.546,1.130e-12,,
420.486,3.904e-13,,
432.4615,9.890e+1,,
434.412,,2.058e-13,
436.859,,1.742e-13,
439.0022,9.982e+1,,
439.334,1.782e+2,,
443.234,7.776e-13,,
449.418,1.348e+2,,
449.7657,2.400e+2,,
466.48107,2.563e+2,,
466.85595,4.602e+2,,
497.85414,6.123e+2,,
498.28134,1.096e+3,,
507.12,2.277e-12,,
515.34024,1.870e+2,,
516.212,8.331e-13,,
562.068,7.776e-13,,
568.26333,2.164e+3,,
568.81933,4.329e+2,,
568.82047,3.889e+3,,
588.995094,1.663e+5,,
589.592424,8.310e+4,,
615.42255,3.253e+2,,
616.07471,6.480e+2,,
818.32556,1.995e+4,,
819.47904,3.986e+3,,
819.4824,3.586e+4,,
