Wavelength (nm),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
200.1072,,,1.012e-12
200.495,,2.542e-2,
200.914,,,1.116e-12
200.9899,,,4.377e-13
201.492,,9.179e-2,
201.666,,1.892e-1,
204.9903,,,8.281e-11
205.81331,2.364e+3,,
206.2207,,1.503e-1,
207.2015,,2.114e+1,
207.2695,,1.497e+0,
207.27,,2.936e+1,
207.5028,,,2.050e-12
207.5042,,,3.038e-12
207.5052,,,3.824e-13
207.5082,,,4.396e-12
207.5094,,,3.810e-13
212.29904,1.476e+3,,
212.4122,2.876e+4,,
217.0396,,,1.488e-12
217.1559,,,3.104e-12
217.5933,,,1.524e-12
217.6901,,,1.706e-11
218.0839,,,1.209e-11
218.2066,,,8.332e-12
219.1939,,,3.955e-13
220.7978,3.488e+3,,
221.08922,7.658e+3,,
221.17454,2.410e+3,,
221.66689,1.401e+4,,
221.80569,2.413e+3,,
222.2031,,,4.005e-12
222.222,,,1.731e-13
222.5248,,2.660e-1,
223.2507,,1.342e-1,
224.9199,,,1.590e-13
229.5477,,,9.243e-12
230.30585,6.592e+3,,
230.6424,,,9.332e-13
230.8188,,,1.554e-11
230.853,,2.883e-2,
231.173,,5.939e-1,
232.9945,,,1.419e-12
241.8281,,,1.670e-12
242.3049,,,2.449e-12
242.9365,,,3.508e-12
243.51545,7.288e+3,,
243.9943,,3.483e-1,
244.3517,,1.611e-1,
244.9449,,,9.690e-12
244.9458,,,1.436e-11
244.9482,,,1.803e-12
244.9505,,,2.079e-11
244.953,,,1.798e-12
246.5912,,,8.340e-13
248.1508,,,6.279e-13
248.3197,,,8.195e-13
248.5623,,,1.062e-12
250.0945,,2.567e-1,
250.1988,,3.665e-1,
250.3295,,8.344e-2,
250.4331,,7.491e-1,
250.5089,,4.098e-1,
250.6897,2.614e+4,,
251.43156,2.179e+4,,
251.61122,8.028e+4,,
251.92019,1.619e+4,,
252.41077,2.207e+4,,
252.8471,,,1.035e-11
252.85079,2.666e+4,,
253.23811,8.179e+2,,
254.1818,,,1.076e-4
254.6092,,,1.331e-9
255.9196,,,5.124e-9
263.12818,4.383e+3,,
264.0788,,,1.021e-11
264.5538,,9.246e-2,
265.552,,,2.398e-11
265.5805,,1.871e-1,
265.9779,,4.547e-1,
267.0156,,9.187e-2,
267.7906,,3.003e-1,
272.2249,,1.445e-1,
272.6702,,2.936e-1,
281.7113,,,2.105e-12
283.1489,,,1.482e-12
283.9628,,,1.013e-12
287.4627,,,8.319e-13
